{'短评内容': '房间挺干净，不错', '短评打分': 5}
{'短评内容': '隔音差成狗 一个晚上没睡好 只睡了三四个小时 跟以前住的布丁差别太大了', '短评打分': 3}
{'短评内容': '感觉还不错，装修很有年轻感，超值，前台也很热情，推荐', '短评打分': 5}
{'短评内容': '房间环境一般，中规中矩。这个价格可以了。离西湖比较近，顺便出去转了一圈。空调建议好好清洗下。总体上满意。', '短评打分': 4}
{'短评内容': '今天我同学到酒店找我，昨天早上也来过的。因为今天我身体有些不适，早饭中饭也没有吃，睡到二点多的时候，把手机扔在酒店，出去吃东西。结果我同学过来找我，说是不知道这个人。我同学倒是点评了一句。这个酒店的服务员怎么会这样的？我实话实说吧。', '短评打分': 4}
{'短评内容': '环境一般般', '短评打分': 5}
{'短评内容': '房间就是太小了点，其他的都还可以', '短评打分': 3}
{'短评内容': '现在的环境没有早期的好了', '短评打分': 5}
{'短评内容': '服务还可以.', '短评打分': 5}
{'短评内容': '一般般过的去', '短评打分': 5}
{'短评内容': '一个人适宜。。。', '短评打分': 5}
{'短评内容': '好差', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '服务态度极差', '短评打分': 5}
{'短评内容': '服务态度差', '短评打分': 5}
{'短评内容': '不咋的', '短评打分': 5}
{'短评内容': '过的去', '短评打分': 5}
{'短评内容': '酒店环境不错，大堂干净卫生干净，前台服务很好服务很热情，吧台的卫生不错干净。卫生干净服务不错态度很好，很热情。房间干净整齐，酒店卫生也不错，房间干净，清爽，环境非常不错，房间舒适干净热水很大水花也大好评！墙面干净，浴帘也白干净，床单是白色的干净，被套花色很有特色干净很漂亮。服务态度好 卫生干净 装修很清新，房间精致温馨，他们的服务态度也很不错，热情四溢，今天住的这家布丁，前台小美女的服务态度很不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店环境不错，大堂干净卫生干净，前台服务很好服务很热情，吧台的卫生不错干净。卫生干净服务不错态度很好，很热情。房间干净整齐，酒店卫生也不错，房间干净，清爽，环境非常不错，房间舒适干净热水很大水花也大好评！墙面干净，浴帘也白干净，床单是白色的干净，被套花色很有特色干净很漂亮。服务态度好 卫生干净 装修很清新，房间精致温馨，他们的服务态度也很不错，热情四溢，今天住的这家布丁，前台小美女的服务态度很不错', '短评打分': 5}
{'短评内容': '酒店环境不错，大堂干净卫生干净，前台服务很好服务很热情，吧台的卫生不错干净。卫生干净服务不错态度很好，很热情。房间干净整齐，酒店卫生也不错，房间干净，清爽，环境非常不错，房间舒适干净热水很大水花也大好评！墙面干净，浴帘也白干净，床单是白色的干净，被套花色很有特色干净很漂亮。服务态度好 卫生干净 装修很清新，房间精致温馨，他们的服务态度也很不错，热情四溢，今天住的这家布丁，前台小美女的服务态度很不错', '短评打分': 5}
{'短评内容': '性价比超级高，而且前台的态度很好。出行吃饭都很不错，住的还算舒服。挺不错的，价格也比较合适，以后还会住，这酒店是不错的，还可以吧！旁边的早餐店很好吃。周边的小吃很多。无线网络信号不错，总体来说还是可以的.环境挺好，挺安静的，卫生很好，服务态度也很好,大厅环境还可以，房间普通吧，服务人员不错.酒店的地理位置挺好的，刚到酒店前台小姑娘就非常的热情，酒店的大厅也非常宽敞，前台很干净，地面也很干净.阿姨也', '短评打分': 5}
{'短评内容': '微缩的房间，真是简单', '短评打分': 4}
{'短评内容': '快捷酒店，经济实惠，房间很干净舒适，就是有点小，总体不错。', '短评打分': 5}
{'短评内容': '快捷酒店，经济实惠，房间很干净舒适，就是有点小，总体不错。', '短评打分': 4}
{'短评内容': '地方不好找', '短评打分': 4}
{'短评内容': '酒店很方便，也很干净', '短评打分': 5}
{'短评内容': '服务态度非常好、房间都是迷你型的', '短评打分': 5}
{'短评内容': '地段不错，交通很方便，前台的服务态度也很好，在火车站的时候还主动打电话告诉怎么去，房间看起来也很温馨。不过觉得这间的卫生方面还有待加强啊，被子下发现有瓜子壳，浴室的毛巾也有点旧，玻璃隔断也比较透，不建议不是太熟的人合住。总体来说性价比还行。', '短评打分': 5}
{'短评内容': '房间不大，但很干净/温馨，服务挺好。下次出门还会选择这家酒店的。离机场大巴不远', '短评打分': 5}
{'短评内容': '交通便利，附近有半道红公交站，房间有点小，没有洗漱用品，要自己买，整体一般', '短评打分': 5}
{'短评内容': '酒店位置在文晖路，不是很好找，就在汉庭酒店湖墅店的正对面。酒店房间非常非常非常小，不过我入住当天免费升级房间还是不错的，设施齐全，但是酒店电视居然没有中央5台奥运频道，对于想看奥运会的旅客来说，你得认真考虑选择。\n酒店房间就是小，其他服务还是不错的。推荐一下。酒店靠近武林广场，走路大约20分钟。酒店就在杭州万豪酒店不远处。', '短评打分': 5}
{'短评内容': '酒店很干净，就是房间小了点。已经是第二次入住了', '短评打分': 5}
{'短评内容': '住的大床C 房间还可以 卫生间和浴室相连 浴室水很冲 洗澡很爽 就是卫生间出口有点滑 好几次都差点滑倒 最好放个防滑垫 主要是咱的拖鞋质量实在是太差了 洗澡后很容易出危险 其他都很满意 下次还会继续选择布丁  ', '短评打分': 5}
{'短评内容': '刚入住，就得环境还可以，就是房间也太小了，都活动不过来咯!~', '短评打分': 3}
{'短评内容': '房间比较小， 但是还可以，算是不错了。毕竟只有100出头的价格。', '短评打分': 5}
{'短评内容': '房间比较小， 但是还可以，算是不错了。毕竟只有100出头的价格。', '短评打分': 5}
{'短评内容': '布丁一如既往不错，就是这间大床A冲淋的下水貌似有些堵了，而且和以前来杭州住的比起来怎么感觉小了？！', '短评打分': 3}
{'短评内容': '位置不错，房间稍小，卫生不错，其他也不错，就是房间小了点，但是价格便宜', '短评打分': 5}
{'短评内容': '很有特色的，虽然面积小，而且不提拱一次性用品', '短评打分': 5}
{'短评内容': '酒店还是不错的，卫生环境挺好，挺干净的！就是周围吃东西不是很方便！吹风机力太小了点儿！', '短评打分': 5}
{'短评内容': '性价比高，位置还不错，交通比较方便，隔音一般，设施略显简单，不过确实便宜一些，以后还会住的', '短评打分': 5}
{'短评内容': '设施还可以，服务态度好，出门方便，，坐车方便。', '短评打分': 5}
{'短评内容': '温馨房，房间实在是太小了，房间牙刷牙膏，沐浴露，洗发水浴巾都没有。酒店装修的还可以。房间很干净。', '短评打分': 3}
{'短评内容': '性价比很高，不错，交通也不错，建议入住。', '短评打分': 5}
{'短评内容': '房间不大，但很干净。服务很人性化。值得推荐', '短评打分': 5}
{'短评内容': '好，非常窝心，住的很开心，前台小姐卖萌和可爱。', '短评打分': 5}
{'短评内容': '性价比很高，值得推荐！……性价比很高，值得推荐！……', '短评打分': 5}
{'短评内容': '服务很好！客房看到我也跟我打招呼，其他地方好像很少打招呼的额···', '短评打分': 5}
{'短评内容': '酒店服务很好，虽然小但是比起入住过其他的布丁个人认为这个店比较好，支持！！！', '短评打分': 5}
{'短评内容': ' 房间挺干净 水很大 有窗 120多元 性价比可以', '短评打分': 3}
{'短评内容': '第一次住布丁  感觉非常好啊！ 离武林广场就1站公交,晚上漫步去西湖  ,附近交通方便～  酒店很干净 房间也很卡通 无线网络速度相当快！ 除了没洗发水和沐浴露  其他满分！强力推荐', '短评打分': 5}
{'短评内容': '虽然小，但很温馨，也很干净,第一次住布丁，下次再光临', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店整体还算可以吧,就是房间太小了,也不提供洗漱用品,这个有点小不方便', '短评打分': 5}
{'短评内容': '住的还算不错，就是很迷你啊，小小的，空气不是很流通，可能也是空间的原因，但这个价，也算对的起了', '短评打分': 3}
{'短评内容': '我和我哥哥过去的，房间有些小，但是个人感觉很安全诶，很有安全感，呵呵！我觉得我住的酒店还是蛮多的，布丁很少住，这次住给我的感觉非常不错，房间还是很安静，靠的都是小区，远离马路，最赞的是我个人认为的服务哈，打扫房间的大姐看到我都主动跟我招呼的，前台的MM们热心的告诉我怎么去西湖，我脚扭到了还给我拿药水，特感动，所以谢谢这家店的工作人员，我下次还会过来入住，谢谢！', '短评打分': 5}
{'短评内容': '太小了，又小又不便宜，里面洗浴用品都不提供，比汉庭差多了。', '短评打分': 1}
{'短评内容': '感觉很好 大晚上的没地儿住了 找到了个好地儿 哈哈 下次还去住', '短评打分': 5}
{'短评内容': '相当的垃圾  什么东西都没的 里面 还所谓的大床房  整一牢房   很抑郁 睡的相当的不爽  还神经病的这么多不挑  挑了个最垃圾的  ', '短评打分': 1}
{'短评内容': '开始感觉挺偏的，还市中心呢，周围都找不到什么吃的。不过去西湖很近哦，才几站到断桥那边。不得不说，杭州的公交有够烂的，公交烂路差人又多！房间说是有9平方米，怎么感觉那么小呢。', '短评打分': 5}
{'短评内容': '还好。中规中矩的。不过200的价格是相对贵了的。。。', '短评打分': 5}
{'短评内容': '酒店精致可爱，适合年轻情侣们休闲度假的选择。不过要留意酒店不备洗漱用品，只有四条毛巾。', '短评打分': 5}
{'短评内容': '位置不错，离武林广场很近，一如既望的喜欢布丁。', '短评打分': 5}
{'短评内容': '房间太小了，一个人住还可以，两个人就有点挤了，不过，洗澡水还是很好的，整体感觉还行吧', '短评打分': 5}
{'短评内容': '房间很好，布置还不错，出门旅行要带的东西一定要带齐，免得去了什么也没有。特别是洗漱用具之类的', '短评打分': 5}
{'短评内容': '如果是平时去的话还可以的，节假日就不推荐了。', '短评打分': 5}
{'短评内容': '酒店卫生挺好。服务不错！', '短评打分': 3}
{'短评内容': '＋很干净，够住了～', '短评打分': 3}
{'短评内容': '布置很可爱\n房间有点小，隔音比较差- -\n但是总体确实不错\n很干净', '短评打分': 5}
