{'短评内容': '垃圾房间 垃圾服务 房间牙刷没有要自己拿  手纸也没有 给前台打了三遍电话说要马上送 一直没送 后面再打电话就没人接 到前台说  前台服务员对你还爱理不理的 垃圾宾馆', '短评打分': 1}
{'短评内容': '挺好，干净', '短评打分': 5}
{'短评内容': '在空调的下方设置了晾衣架 很人性化 很实用 毛巾 袜子等第二天就能晾干 方便收拾整理 前台服务态度很好', '短评打分': 5}
{'短评内容': '改名叫汇丽旅舍吧', '短评打分': 1}
{'短评内容': '环境好，很干净，停车位也很多，建议大家选这家入住，属物有所值！', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '去检查身体的，靠近医院还挺方便，因为特惠房所以设施就差了，又小又不透气，卫生间也小还破的，出门在外将就吧，本来也不是订的好房间', '短评打分': 4}
{'短评内容': '离办事的地方很近，方便！中规中矩的经济型酒店', '短评打分': 5}
{'短评内容': '整体还行！', '短评打分': 4}
{'短评内容': '好好好！', '短评打分': 5}
{'短评内容': '房问较紧凑，周边方便，门锁不灵光', '短评打分': 5}
{'短评内容': '正常的 还好', '短评打分': 5}
{'短评内容': '地方容易找到，服务热情，交通方便', '短评打分': 5}
{'短评内容': '干净好，地方容易找到，交通方便', '短评打分': 5}
{'短评内容': '房间较小，周围还算便利。空调有异味。', '短评打分': 4}
{'短评内容': '不错，交通便利，房间干净', '短评打分': 5}
{'短评内容': '服务态度不好，说换房间不给换。开始和 前台说了分 个 安静的房间 ，当我说话是空气 ', '短评打分': 4}
{'短评内容': '这里的饭菜又便宜又好吃，坏境也很好。', '短评打分': 5}
{'短评内容': '环境还可以，地点不错，价格适中，房间比较小，但是有些设施需要定期保养，淋雨头坏了应该及时维修或更换，洗浴液应该及时补充。', '短评打分': 5}
{'短评内容': '一般，凑合住住。餐厅很小。离地铁较远，旁边有公交车站', '短评打分': 5}
{'短评内容': '酒店环境清洁、施舍齐全，服务热情周到，周边就餐方便，离市中心也较近，值得推荐！', '短评打分': 5}
{'短评内容': '前台服务素质实在不堪！', '短评打分': 3}
{'短评内容': '很安静', '短评打分': 3}
{'短评内容': '蛮不错的一家酒店，很干净，就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '在瑞金北村公交车站牌下就看到酒店了 位置离市中心不远 环境也安静 住了三天 每天都会自动来换房中用品 就是特价房位置有点尴尬，，，哈哈 隔音效果也不错的 ', '短评打分': 5}
{'短评内容': '很好，就是最近说是抓杀人犯，所以所有房间门都不能反锁，不知道到底是真是假，反正我觉得挺吓人的！', '短评打分': 3}
{'短评内容': '房间很干净，还有麻将桌不错，价格也实惠。', '短评打分': 5}
{'短评内容': '1.地理位置还不错，去总统府，夫子庙打车11元，去明孝陵打车大概15块；但是步行到地铁站比较远，要10~15分钟，酒店门口有公交车站，但是不是在主要路线上，有公交车坐1站可以去换乘地铁\n2.房间比较昏暗，订的是标准间房间的窗户很小，还是面对走廊的窗户，感觉很压抑\n3.洗手间设施不错', '短评打分': 1}
{'短评内容': '去年刚建的，环境很好，周围设施也很齐全，工作人员服务也很周到', '短评打分': 5}
{'短评内容': '地方不是那么好找，房间太小了，价格也不算优惠，总的来说，性价比不高', '短评打分': 1}
{'短评内容': '＋还不错很好很好', '短评打分': 3}
{'短评内容': '干净清爽，交通便捷，服务态度佳。周边饭店较多', '短评打分': 5}
{'短评内容': '适合喜欢安静的旅客们入住，热水和卫生都很好。服务态度也很热情。而且附近也有很多家不错的饭店，推荐168莫泰！', '短评打分': 3}
{'短评内容': '干净、热情，值得一说的是餐厅提供三餐，价格合理，而且味道很好', '短评打分': 5}
{'短评内容': '地段和环境还有其他都不错，就是免费停车位太少。', '短评打分': 1}
{'短评内容': '还好，房间有点小，帮朋友预定的，看上去设施还不错', '短评打分': 5}
