{'短评内容': '空调有点冷，被子薄了', '短评打分': 5}
{'短评内容': '窗帘很脏了啊！好像是呕吐的喷射物？！床头没有插座。', '短评打分': 4}
{'短评内容': '酒店位于繁华路段，但房间很安静，房间很干净温馨舒服，前台服务好，看我们几个女孩子就安排在无烟楼层，就是卫生间太小。', '短评打分': 5}
{'短评内容': '酒店总体还不错，在陕西路小吃街附近，吃饭不是问题。卫生间较小。服务还不错，房间有免费矿泉水提供，入住的房间空调坏了，要求前台换房，前台说满房了，可以加被子，后来和修空调的师傅说了下，他和前台说了说，就给换了一间，无语。。。', '短评打分': 4}
{'短评内容': '还不错，出差都住这.........................................', '短评打分': 5}
{'短评内容': '吵的很，洗手盆已坏', '短评打分': 3}
{'短评内容': '帮朋友订的', '短评打分': 5}
{'短评内容': '帮朋友订的', '短评打分': 5}
{'短评内容': '一贯的锦江之星品质，挺好的。', '短评打分': 5}
{'短评内容': '干净卫生，早饭得花钱买但也不错，关键是交通方便，因为携程的贵州景区直通车去黄果树和西江千户苗寨都是这个酒店门口出发。', '短评打分': 5}
{'短评内容': '干净卫生，早饭得花钱买但也不错，关键是交通方便，因为携程的贵州景区直通车去黄果树和西江千户苗寨都是这个酒店门口出发。', '短评打分': 5}
{'短评内容': '干净卫生，早饭得花钱买但也不错，关键是交通方便，因为携程的贵州景区直通车去黄果树和西江千户苗寨都是这个酒店门口出发。', '短评打分': 5}
{'短评内容': '干净卫生，早饭得花钱买但也不错，关键是交通方便，因为携程的贵州景区直通车去黄果树和西江千户苗寨都是这个酒店门口出发。', '短评打分': 5}
{'短评内容': '干净卫生，早饭得花钱买但也不错，关键是交通方便，因为携程的贵州景区直通车去黄果树和西江千户苗寨都是这个酒店门口出发。', '短评打分': 5}
{'短评内容': '锦江之星一直值得信赖，房间布置温馨舒适，洗手间虽小倒也设施齐全。最大的优点是携程的景区直通车上车点就是酒店门口，真得太方便了。唯一的缺点是公共区域不禁烟。', '短评打分': 5}
{'短评内容': '不夠安靜，其他都還可以。', '短评打分': 3}
{'短评内容': '酒店房间确实如评论中说的。。很小。。', '短评打分': 4}
{'短评内容': '环境很好，交通便利，前台态度非常好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '位置不错，离购物中心和小吃街均很近，难能可贵的是还有自己的停车场。', '短评打分': 5}
{'短评内容': '地理位置好，服务周到，可以停车这挺不错。', '短评打分': 5}
{'短评内容': '是贵阳三家锦江之星最好的一家,不管是房间还是大堂,标间比较大,虽然靠马路,用了两道窗户来隔音,就立马很安静了.', '短评打分': 5}
{'短评内容': ' 到贵阳一直住这里，很干净服务也很好，满意！', '短评打分': 3}
{'短评内容': '这里的环境很不错，整体感觉干净温馨！', '短评打分': 3}
{'短评内容': ' 不错满干净服务很好～', '短评打分': 3}
{'短评内容': '不错的一家酒店，挺温馨！', '短评打分': 3}
