{'短评内容': '位置好，交通便利。房间很好', '短评打分': 5}
{'短评内容': '没什么可评价，没什么可说的。', '短评打分': 3}
{'短评内容': '我们是三家带孩子出来的，卫生状况好，热水很足，而且房间很安静，最方便的是对面就是大润发超市，挺便利的，推荐', '短评打分': 5}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '无早，大床房满了免费升的商务大床房，如家一贯的干净整洁，陈设简单实用、打扫及时干净，地段很好、出行非常方便', '短评打分': 5}
{'短评内容': '房间布局合理，干净整洁！价格也不贵，超赞！！！', '短评打分': 5}
{'短评内容': '钟点房时间没到还要多收钱', '短评打分': 3}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，标间的空间也挺大的', '短评打分': 5}
{'短评内容': '让我具体陌陌吧不是鲁豫有约我看看旅途', '短评打分': 5}
{'短评内容': '快捷、方便、干净、卫生，挺好的', '短评打分': 4}
{'短评内容': '态度非常好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第一次用携程，感觉非常好用！预定的如家酒店也特别干净，服务员也都很热情', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错还好，不错还好，不错还好，不错还好。', '短评打分': 5}
{'短评内容': ' 房间够大，北京如家都没这么大，干净整洁。', '短评打分': 3}
{'短评内容': '还行，每次来阜新都住这', '短评打分': 3}
{'短评内容': '酒店总体说来还是不错的，其他的就没什么可以评价的了', '短评打分': 5}
{'短评内容': '不错，还好，就是离市中心稍微有点远，不过打车还是挺方便的。', '短评打分': 5}
{'短评内容': '不错，总体还可以。不错，总体还可以。不错，总体还可以。', '短评打分': 5}
{'短评内容': '挺干净的，但是位置有点偏，吃饭什么的不太方便。', '短评打分': 5}
{'短评内容': '酒店位置交通便利，吃饭的地方还算不远，唯一的确定就是感觉房间有点小……', '短评打分': 5}
{'短评内容': '非常干净，床还是很舒服的，真的是如家的感觉。只是餐厅太小了。', '短评打分': 5}
{'短评内容': '酒店很干净。要是能调房间就更好了。', '短评打分': 3}
{'短评内容': '挺好的！服务好，必须舒适，干净！经济实惠！是好的休息之地！', '短评打分': 5}
{'短评内容': '还是不错的，阜新第一家如家；交通便利；床比较舒服，比其他城市的如家好；就是早餐简单了点', '短评打分': 5}
{'短评内容': '不错的地方！挺干净的！服务态度也不错！就是房间稍小！大床房和商务大床没有区别！', '短评打分': 5}
{'短评内容': '周围没有配套设施，吃的东西很少，很不方便。', '短评打分': 1}
{'短评内容': '新店，位置很方便，离商业街很近，环境也还好，出差住挺方便的', '短评打分': 5}
