{'短评内容': '方便', '短评打分': 5}
{'短评内容': '酒店很气派，装修比较豪华。停车位充足。房间很大，床也很大，睡得很舒服。早餐种类质量还不错。老人和孩子都很喜欢。', '短评打分': 5}
{'短评内容': '停车很方便啊', '短评打分': 5}
{'短评内容': '好酒店，替朋友订的，说是很好。', '短评打分': 5}
{'短评内容': '酒店不错啊  美中不足的是，房间的灯光控制好多不管用，有点对不住咱酒店的噱头，除了这个方面，其他都不错的。下次再看看吧', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '设施设备已陈旧，很多设施也老化了，除了设施多，还不如连锁快捷酒店', '短评打分': 3}
{'短评内容': '管理水平要提高', '短评打分': 2}
{'短评内容': '好评！性价比超高！', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '距离体育场挺近', '短评打分': 4}
{'短评内容': '酒店环境还不错', '短评打分': 4}
{'短评内容': '服务好环境好早上的早餐品种多样化', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边环境不错，有个公园和体育场，步行到闹市几分钟。', '短评打分': 4}
