{'短评内容': '没有暖气，开空调加热非常不舒服，房间里有暖气为什么不烧呢?在携程上交了房款登记时还要收押金，实在不妥。', '短评打分': 4}
{'短评内容': '还挺好的啊', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置很好 离火车站海边都很近', '短评打分': 4}
{'短评内容': '前台服务太周到了.房间很干净', '短评打分': 5}
{'短评内容': '很不错，对比了携程和美团，京东最便宜', '短评打分': 5}
{'短评内容': '酒店很好，很干净，毛巾有一次性包装，用的舒心', '短评打分': 5}
{'短评内容': '不错，经济实惠，房间卫生。', '短评打分': 5}
{'短评内容': '住好再评价', '短评打分': 5}
{'短评内容': '定错房间了，定的商务C，床比较小，其他还可以。', '短评打分': 4}
{'短评内容': '位置很不错，距离高铁站比较近，走路20分钟 缺点是去的时候正在装修，第一晚居然没有暖气，冻死了好在第二天来了暖气啊', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间挺大的，卫生可以', '短评打分': 4}
{'短评内容': '房间很干净', '短评打分': 5}
{'短评内容': '安全，清洁，服务态度很好，感到满意。', '短评打分': 5}
{'短评内容': '房间大', '短评打分': 4}
{'短评内容': '房间大', '短评打分': 4}
{'短评内容': '不错！以后出差就住这里了。酒店很干净，交通便利。', '短评打分': 5}
{'短评内容': '挺好的地方，环境也很不错。', '短评打分': 5}
