{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '出差', '短评打分': 5}
{'短评内容': '暑期人比较多，周边交通方便，性价比不错', '短评打分': 4}
{'短评内容': 'WiFiWiFiWiFi真差，网页都打不开', '短评打分': 1}
{'短评内容': '房间卫生，价格合理，住的安静舒适', '短评打分': 4}
{'短评内容': '还可以，环境优美，不错的入住选择！', '短评打分': 5}
{'短评内容': '房间空间大  住宿体验不错', '短评打分': 5}
{'短评内容': '第一次使用网上预约，酒店还行吧！', '短评打分': 5}
{'短评内容': '不错不错，物美价廉。很值得。', '短评打分': 5}
{'短评内容': '还不错了。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间不错，比较实惠，服务较好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店位置不错，离我住的位置挺近，帮朋友订的，方便', '短评打分': 3}
{'短评内容': '房间比较简单，临时住宿洗澡，感觉还算干净', '短评打分': 3}
{'短评内容': '价格公道，房间干净', '短评打分': 3}
{'短评内容': '干净，安静，性价比不错', '短评打分': 3}
{'短评内容': '环境较好，电视机得换了。其它的还不错。', '短评打分': 5}
{'短评内容': '很干净很好', '短评打分': 5}
{'短评内容': '位置不错，比较干净，', '短评打分': 5}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': '房间有宽带，但没有电脑？！比较干净卫生。希望以后及时更新火车及动车车次时刻表。方便旅客。 可否增加订票服务！！', '短评打分': 5}
{'短评内容': '一般可以睡觉 离武汉火车站挺近 的士15分钟到达', '短评打分': 5}
{'短评内容': '旅馆生意很好,我中午到时还不停有人询问是否有房间,靠近友谊大道还好晚上没什么声音,装修较新,大小床适合家庭出游,不足:712房空调声音大', '短评打分': 5}
{'短评内容': ' 卫生条件一般，网速垃圾的不能在垃圾。', '短评打分': 3}
{'短评内容': '位置不错，在附近办事比较方便。酒店性价比很好，就是打车要过马路，呵呵', '短评打分': 5}
{'短评内容': '很不错，房间干净整洁，服务态度也好，有机会还会去的', '短评打分': 5}
{'短评内容': '房间太简陋，装修也有些旧，总之不是太满意！', '短评打分': 3}
{'短评内容': '服务热情，位置较偏，房间很残旧特保是卫生间，停车不是很方便。', '短评打分': 1}
