{'短评内容': '挺好的，就是在地铁旁边，吵', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '性价比很高，适合商务出行，位置优越就在地铁站附近，房间也比较干净卫生，被褥没有异味，洗手间设施也比较新。', '短评打分': 5}
{'短评内容': '位置很好 酒店出门就是地铁 睡觉也不会觉得吵房间设施齐全 虽然感觉有点老 但是都很干净整洁 总体还是很不错的 查看全部', '短评打分': 4}
{'短评内容': '酒店很好，干净卫生，房间很大，床也很大，空调效果好，洗澡水也很很，服务也很好，但是，出差住还是有点奢侈', '短评打分': 4}
{'短评内容': '位置很好 酒店出门就是地铁 睡觉也不会觉得吵 应该隔音窗吧 房间设施齐全 虽然感觉有点老 但是都很干净整洁 总体还是很不错的 有一点是我不太接受的 不知道是热水器性能太好还是怎么样 对我而言只有两种温度 烫和冷 龙头都在中间靠冷水的位置竟然还能烫得我没办法忍 最后只能在热和冷之间来回切换 在冷热水交替的缝隙中快速洗澡 我也是醉了', '短评打分': 4}
{'短评内容': '差到极点！在携程预订酒店不能打水单～携程让和酒店商量，我给前台去电，前台态度极其恶劣，多次让他报工号或者姓名，不说直接挂电话！请问一个服务行业的前台是这样的素质么？！再次拨通后换了一个人也坚决不说，又让大堂副理接听，也是庇护不说！请问这样的管理如何能提高服务质量，真正的把酒店做好！这个酒店以后我是坚决不回来了，2017.12.8晚10点35分左右拨通的电话，我会找出这个前台工作人员是有多没脸告诉别', '短评打分': 1}
{'短评内容': '价格优惠', '短评打分': 5}
{'短评内容': '位置好，设施好，值得推荐。', '短评打分': 4}
{'短评内容': '地理位置好，酒店设施好，值得推荐！', '短评打分': 5}
{'短评内容': '环境位置都一般', '短评打分': 4}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '第一天订到双人的，第二天都订满了，定了个大床房，很大两个人也很宽敞', '短评打分': 5}
{'短评内容': '性价比超高，地段很好，出行很方便，服务很好', '短评打分': 5}
{'短评内容': '酒店地段很好，出门就是地铁，服务也很好，性价比超高', '短评打分': 5}
{'短评内容': '挺好的，环境服务都不错，地段好主要是！', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '距离地铁站近，房间干净。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真的非常不错', '短评打分': 5}
{'短评内容': '空气好环境好！下次一定还去这里', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境不错，隔音效果很好，服务也不错', '短评打分': 5}
{'短评内容': '在京东用券订酒店挺划算。', '短评打分': 4}
{'短评内容': '帮同事订的，很实惠', '短评打分': 5}
{'短评内容': '。。。。', '短评打分': 5}
{'短评内容': '干淨舒服', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '阿福贝贝冬季棉鞋鞋垫精选羊羔毛保暖舒适加毛鞋垫 通用 加毛大棉鞋垫 160码/内长约16.0cm', '短评打分': 5}
{'短评内容': '阿福贝贝冬季棉鞋鞋垫精选羊羔毛保暖舒适加毛鞋垫 通用 加毛大棉鞋垫 160码/内长约16.0cm', '短评打分': 5}
{'短评内容': '阿福贝贝冬季棉鞋鞋垫精选羊羔毛保暖舒适加毛鞋垫 通用 加毛大棉鞋垫 160码/内长约16.0cm', '短评打分': 5}
{'短评内容': '离地铁站很近 交通方便', '短评打分': 5}
{'短评内容': '这个位置就是方便，办事打车都好，设施也不错，值这个价格', '短评打分': 4}
{'短评内容': '交通方便，酒店还不错', '短评打分': 4}
{'短评内容': '各方面都还不错', '短评打分': 4}
{'短评内容': '值得推荐的', '短评打分': 5}
{'短评内容': '距离循礼门地铁站50米，交通方便，设施好，每次去都选这里', '短评打分': 5}
{'短评内容': '很多不错的啦', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '稍微贵了', '短评打分': 5}
{'短评内容': '酒店的服务很好，五星水准，交通非常便捷，就在轻轨站边上，建议坐地铁的可以从1号线C出口出来，酒店就在门前。房间也很大，卫生做的很干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通方便，设施较新，服务较好。滿意。', '短评打分': 5}
{'短评内容': '还可以，服务一般，位置还可以', '短评打分': 3}
{'短评内容': '酒店设施还可以吧，健身房的设备都是英文', '短评打分': 3}
{'短评内容': '酒店位置很好，出门10米就是武汉1号线和2号线的中转站，在武汉这种大城市坐地铁比出租车要方便很多很多', '短评打分': 5}
{'短评内容': '酒店设施一般，而且服务不好，环境也没有图片的那么好，确实是个新开的酒店，酒店大堂感觉很简陋', '短评打分': 3}
