{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '还不错，虽然设施有点老旧，但还是有大酒店都底子，很满意！周边也还比较方便，电梯人不多好坐，就是房间不好找，多挂几个指示牌就好了', '短评打分': 5}
{'短评内容': '老酒店了，该装修了，太陈旧了', '短评打分': 3}
{'短评内容': '住过最差的酒店！没有牙刷 没有沐浴露，洗手间特别残旧！！！', '短评打分': 2}
{'短评内容': '一般吧，感觉还不错，早餐还可以，看个人口味吧，种类还是挺多的，毕竟是自助餐，所以还是蛮好，给个好评吧！', '短评打分': 4}
{'短评内容': '还可以，晚上不算吵，比附近的几个酒店都要好住点。', '短评打分': 5}
{'短评内容': '很不错，早餐味道还行，哈哈，比其他地方划算', '短评打分': 5}
{'短评内容': '挺好的，在附近的酒店中，算是比较安静的。', '短评打分': 5}
{'短评内容': '房间太旧', '短评打分': 2}
{'短评内容': '酒店服务真的差劲，作为服务行业可任何小问题都没法给客户解决。', '短评打分': 2}
{'短评内容': '酒店营业时间久了，应该要重新装修一下了。每次去都住，期待装修一下的新酒店。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '一般般的酒店，感觉不值', '短评打分': 3}
{'短评内容': '远没有携程照片上好', '短评打分': 2}
{'短评内容': '设施比较旧', '短评打分': 4}
{'短评内容': '#ud83d#udc4c，不错。', '短评打分': 5}
{'短评内容': '位置不错，坐车出行较方便，就是酒店内设施有些陈旧了，价格也还比较公道', '短评打分': 4}
{'短评内容': '酒店设施有点久，但环境还可以！', '短评打分': 4}
{'短评内容': '很好 服务态度不错 下次还会再来', '短评打分': 5}
{'短评内容': '很好 服务态度不错 下次还会来', '短评打分': 5}
{'短评内容': '好评！', '短评打分': 5}
{'短评内容': ' 位置很好 市中心 停车场大 还算不错的性价比好的酒店', '短评打分': 5}
{'短评内容': '酒店还不错，就是门卡的声音实在是太刺耳。水果好像是隔一天送一次。', '短评打分': 5}
{'短评内容': '这个价位在当地感觉性价比不是很好，，，，，', '短评打分': 1}
