{'短评内容': '卫生一般，酒店好多“广告”卡片，酒店要加强管理。', '短评打分': 4}
{'短评内容': '卫生一般，酒店好多“广告”卡片，酒店要加强管理。', '短评打分': 4}
{'短评内容': '卫生一般，酒店好多“广告”卡片，酒店要加强管理。', '短评打分': 4}
{'短评内容': '房间卫生可以，就是门缝里塞了好多色情服务小卡片，好烦！有的房间有很大的yamwei', '短评打分': 3}
{'短评内容': '房间老旧，空调没效果，', '短评打分': 2}
{'短评内容': '就是很吵', '短评打分': 5}
{'短评内容': '还不错吧。', '短评打分': 4}
{'短评内容': '还不错吧。', '短评打分': 4}
{'短评内容': '比较安静，还比较满意', '短评打分': 4}
{'短评内容': '很干净，经济实惠，值得再次入住，推荐给大家。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '恩，还可以', '短评打分': 5}
{'短评内容': '位置还不错，房间稍微有点小', '短评打分': 5}
{'短评内容': '感觉很好，很舒适！干净，安静，服务态度好！有无线网哦！很方便。', '短评打分': 5}
{'短评内容': '酒店还不错，就是隔音太差，不过隔壁的排档很好吃，推荐福寿螺和洪湖藕汤', '短评打分': 5}
{'短评内容': '性价比很高，干净，服务还不错。火车东站打的到这边约20元，交通较便利', '短评打分': 3}
{'短评内容': '酒店干净。整洁整体的环境还是满好的，早上的早餐也非常丰富啊，值得推荐，有机会还是会选择这个酒店，另外酒店旁边的大排档也物美价廉啊，味道很好，价格也不贵，好像吃他家以藕烫为名，亲可以自己去找  呵呵', '短评打分': 5}
{'短评内容': '服务不错，环境也还可以。下次依旧选择住这里', '短评打分': 5}
{'短评内容': '酒店不错，干净', '短评打分': 3}
{'短评内容': '服务不错，环境也还可以。下次依旧选择住这里。', '短评打分': 5}
{'短评内容': '经济实惠，干净整洁，不临街的一面还是比较安静的，就是半夜有骚扰的。', '短评打分': 5}
{'短评内容': '酒店干净整洁，设施好，隔音好，服务也不错。', '短评打分': 5}
{'短评内容': '其实住的还行，就是有点不爽的事，5.1那天在回家的火车上发现手链忘在酒店里了，打电话过去总台，让她帮忙找找，她答复我没有，我后来想起来因洗澡拿下来放在床上的，不知道是不是掉到床下了，又打电话到总台让她帮忙找找，她说已经找过了，不信你自己来找，天哪，我是到宜昌旅游的，在回家的火车上，让我回去找，至少态度不好，本来手链掉了就不爽，加上她的态度，以后我是不会推荐朋友去住的。', '短评打分': 1}
{'短评内容': '房间里面的空调声音特别大。不过前台服务员很不错。但是所提供的洗衣服务却没有。还算可以。 ', '短评打分': 5}
{'短评内容': '酒店位置还可以，到火车站和CBD商圈都很近，坐公交车也还方便，价格也挺合理，就是早餐品种太少，地方太小，旅游团一多就没位置了', '短评打分': 5}
{'短评内容': '环境还好！比较卫生，不过半夜鸡叫的事情还时常有的，拔掉电话线安稳睡觉', '短评打分': 5}
{'短评内容': '前台服务人员态度不怎么样，房间价格性价比相对不错', '短评打分': 5}
{'短评内容': '酒店不错，比较干净整洁，比较安静，有自己的停车场。离夷陵广场步行20分钟吧，离机场巴士站 -- 清江大酒店步行10分钟的样子。服务态度不错。可以选择。', '短评打分': 5}
{'短评内容': '床很大，很干净，停车也方便', '短评打分': 3}
{'短评内容': '房价很大，电脑液晶屏，豪华沙发很舒服，大床很干净，可惜没有早餐。', '短评打分': 5}
{'短评内容': '不错,值得推荐', '短评打分': 3}
{'短评内容': '非常不错的酒店，房间装修不错，设备都很新，闹市中取静，到哪都很方便，价格相当于半价，非常实惠，下次来宜昌还要住这儿！', '短评打分': 5}
{'短评内容': '很干净，房间也很大，位子也很好找，下次还来', '短评打分': 5}
{'短评内容': '酒店条件不错,热水,卫生都很好,值得推荐', '短评打分': 3}
{'短评内容': '房间除了有点小外，设施很不错，也算安静，比较不错的商务酒店', '短评打分': 5}
{'短评内容': '酒店环境挺好  挺安静的   价格较合理', '短评打分': 5}
{'短评内容': '帮朋友预定的，挺舒适的酒店，价格也贵，相当划算', '短评打分': 5}
{'短评内容': '一般化的酒店，房间隔音效果特别差，一晚上就没怎么睡着\n不过可以免费打国内长途，还是不错的', '短评打分': 5}
{'短评内容': '宜昌美特普内部整洁，环境安静，服务到位，让顾客感到舒服自在，距离市中心及火车站都较近，惟房型空间略显局促，总之是个不错的商旅住处。', '短评打分': 3}
{'短评内容': '酒店卫生设施好前台热情', '短评打分': 3}
{'短评内容': '非常不错，地理位置很好，价格也很公道，值得推荐', '短评打分': 5}
{'短评内容': '总的来说吧，这酒店就是地面差那么一块地毯。房间里面用地毯多舒服呢，不然到时候冬天脚冷死！', '短评打分': 3}
{'短评内容': '还可以！但是相对于发布价格来说似乎需要改进！', '短评打分': 1}
