{'短评内容': '可以，挺整洁', '短评打分': 5}
{'短评内容': '挺不错，过来面试的。', '短评打分': 5}
{'短评内容': '不错啊，，，，不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '嗯，不错，还有太阳晒', '短评打分': 5}
{'短评内容': '早餐还行，位置比较好，停车位一般。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的，就是有塞小广告的，。。。。', '短评打分': 5}
{'短评内容': '帮亲戚定的，感觉还不错', '短评打分': 4}
{'短评内容': '干净安静', '短评打分': 5}
{'短评内容': '舒适安静', '短评打分': 5}
{'短评内容': '安静舒适', '短评打分': 5}
{'短评内容': '其他都好评，服务态度也很不错，没因为京东下单受歧视，就是马桶坏的不给力', '短评打分': 4}
{'短评内容': '我觉得超划算～而且房间很大！浴室相对小～但够用啊～环境也好～周围银行多，需要走一会才有吃的地方～不过楼下有一家仟吉～总体满意～性价比很高～前台态度也超棒！下次如果有机会来合肥我肯定还选它啊。男朋友也满意。就是快捷酒店有个通病，床单被罩有点磨，每次手肘那边都有点疼啊，这也不是如家一家的问题，其他快捷酒店也有这种情况。总体还是不错的。', '短评打分': 5}
{'短评内容': '挺好的.每次去都安排的很好.前台也很热情！', '短评打分': 5}
{'短评内容': '还不错，总体上比较满意，物美价廉', '短评打分': 4}
{'短评内容': '房间很大，很空，卫生很好，服务态度很好', '短评打分': 4}
{'短评内容': '性价比很高，房间很大，服务很好！', '短评打分': 5}
{'短评内容': '酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。', '短评打分': 5}
{'短评内容': '干净，舒适。有点吵了！不过离市区很近，交通方便就是停车不是很方便！', '短评打分': 3}
{'短评内容': '价格与档位不符！无兑现现金返还业务！不提供一次性用品！', '短评打分': 1}
{'短评内容': '交通便利，距离合肥万达广场四站路、步行街四站路，出门可乘多路公交车，前往火车站也很方便，而且环境不错，挺干净，服务也很好。', '短评打分': 5}
{'短评内容': '环境挺不错的宾馆，值得推荐，安静，几个也合理，也有餐厅，', '短评打分': 5}
{'短评内容': '环境挺好，很安静，值得推荐给其他人，就是晚餐没有，有点遗憾', '短评打分': 5}
{'短评内容': '这次的房间虽然不大，但是还算可以，最主要的是离市中心比较近，方便。', '短评打分': 5}
{'短评内容': '第一天入住时，前期台服务员态度不好！不过其他人员态度还可以', '短评打分': 3}
{'短评内容': '上次选择了179的房间，在网上看了是免费上网的，结果去了却没有，还要换成199的才有，感觉有点受骗', '短评打分': 1}
{'短评内容': '垃圾 和垃圾 网络不好 电视台不多 早餐不好 设施陈旧', '短评打分': 1}
{'短评内容': '服务好，房间干净，位置在市区办事方便。虽然免费早餐一般般，我还是推荐。', '短评打分': 5}
{'短评内容': '酒店一般 房间有点味道 最烦的是晚上有骚扰电话~~~~', '短评打分': 1}
{'短评内容': '酒店感觉不错。很温馨。', '短评打分': 5}
{'短评内容': '房间很大，卫生整洁，就是隔音太差了。', '短评打分': 5}
{'短评内容': '环境不错~房间很大~服务态度很好~就是后面在装修有点吵', '短评打分': 5}
{'短评内容': '住的是单人间，房间不大，不过还是很舒适的，价格比较合理，下次还会入住。', '短评打分': 5}
{'短评内容': '房型设置一般 显得有点空旷，不过房间还是比较大！', '短评打分': 5}
{'短评内容': '房间有点小，还不错', '短评打分': 5}
{'短评内容': '帮同事预订的。 离市区非常近。 离火车站也不远。 合肥的打车真便宜。 酒店颜色很亮，红色不好，希望改绿色吧 。', '短评打分': 5}
{'短评内容': '同事入住的。还不错。就是靠路边有点吵。唉。 颜色很好。', '短评打分': 5}
{'短评内容': '同事出差入住的 感觉态度很好。 房间颜色很亮，特别是绿色，很干净，很喜欢。', '短评打分': 5}
{'短评内容': '酒店设施太简单，还算干净，隔音不好，夜间太嘈杂', '短评打分': 1}
{'短评内容': '房间干净，住着蛮舒服，很满意，就是早餐对我来说口味淡了些。周围没有什么美食街一类的，比较安静，公交车一两站地就有可以吃饭买小东西的地方。', '短评打分': 5}
{'短评内容': '服务很好 卫生状况值得表扬 空间利用率高 房间布局很温馨', '短评打分': 5}
{'短评内容': '房间很小但还算温馨 本来以为特价房是无窗的 但意外的发现有大窗户 满屋的阳光 很惊喜 以后应该还会选择这儿', '短评打分': 5}
{'短评内容': '因为工作需求，只能临时住一天，并且我们还是午夜到的，和前台商量推迟退房，前台很通情达理，没有一点推脱，就让我们晚两个小时退房，真的很不错', '短评打分': 5}
{'短评内容': '服务很棒的，主动问还，而且办事的效率很高，在办理入住手续的是很很快就完事了，能很快的入住', '短评打分': 5}
{'短评内容': '住在这里很方便，距离那都比较近而且也很便宜，住的也很舒适，不远就有商场，购物很便利', '短评打分': 5}
{'短评内容': '整体的感觉很不错，性价比也很高，价格便宜经济实惠，而且房间也很大，浴室很很不错，下次来我还会住在这里', '短评打分': 5}
{'短评内容': '给我的感觉就是非常的干净，酒店的保洁人员打扫房间的时候很彻底，速度很快，而且没有卫生死角，酒店还经常消毒，避免了疾病的传染', '短评打分': 5}
{'短评内容': '179的价格有点贵了，屋里的什么东西都要钱，包括打个长途电话也得要5毛钱1分钟。服务和环境还可以！', '短评打分': 5}
{'短评内容': '+房间布置还行，就是真的很响应低碳，能省的都给省了，这下又要去买。', '短评打分': 5}
{'短评内容': '服务还行，人太多了，有点忙不过来的样子，周围吃东西的地方不好找，里面还可以。', '短评打分': 5}
{'短评内容': '人很多，很忙，卫生和服务都不错，就是附近吃东西的地方不太多。', '短评打分': 5}
{'短评内容': '房间很迷你,空气不太好。', '短评打分': 3}
{'短评内容': '该酒店住置居市中心区主要道路，交通方便，比较干净，价格合理。', '短评打分': 5}
{'短评内容': '+房间设施太简单,饭菜太贵', '短评打分': 1}
{'短评内容': '位置还可以，卫生也是一般房间的设施还是挺好的，价格其实感觉还是稍微偏贵，前台服务也不怎么样，交通比较方便。', '短评打分': 5}
{'短评内容': '服务员工作效率高，前台有叫车服务，蛮周到的，价格也比较经济实惠', '短评打分': 5}
{'短评内容': '酒店地处市中心，出行很方便，内部有个停车场，停车方便，价格比较适中，房间里面很干净，住着蛮舒服的', '短评打分': 5}
{'短评内容': '房间布置的很素雅，干净，整洁，价格经济实惠，服务很好，住宿环境很不错', '短评打分': 5}
{'短评内容': '已入住,有点失望没有所说的叫车服务,拖鞋也是入住打给总台才拿来后才拿来.', '短评打分': 1}
