{'短评内容': '在宁波小港地区算是还可以的酒店。  新装修的房间，总体还不错。服务也是挺好的。  餐厅就餐比较方便，种类也比较丰富。 早餐比较满意，种类齐全。', '短评打分': 4}
{'短评内容': '新装修的房间，总体还不错。服务也是挺好的。 餐厅就餐比较方便，种类也比较丰富。 早餐比较满意，种类齐全。', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '每次来宁波出差都是这里', '短评打分': 5}
{'短评内容': '很好的服务，有小孩子的专用洗漱品赠送！', '短评打分': 5}
{'短评内容': '很划算', '短评打分': 5}
{'短评内容': '酒店设施还行，只是老了点', '短评打分': 3}
{'短评内容': '不错，很好的性价比', '短评打分': 5}
{'短评内容': '不错的宾馆，下次还入住。', '短评打分': 5}
{'短评内容': '酒店一如既往的温馨服务，楼下餐厅也很美味，健身房的设施也很新，即使有楼层在装修也很好的控制了噪音，推荐。', '短评打分': 5}
{'短评内容': '酒店一如既往的温馨服务，楼下餐厅也很美味，健身房的设施也很新，即使有楼层在装修也很好的控制了噪音，推荐。', '短评打分': 5}
{'短评内容': '酒店一如既往的温馨服务，楼下餐厅也很美味，健身房的设施也很新，即使有楼层在装修也很好的控制了噪音，推荐。', '短评打分': 5}
{'短评内容': '在装修', '短评打分': 4}
{'短评内容': '多次入住，干净整洁', '短评打分': 4}
{'短评内容': '经常入住，卫生干净整洁', '短评打分': 3}
{'短评内容': '每次来小港都住这家宾馆，服务员态度热情，环境优雅，挨着半山腰，闹中取静，交通也方便，房间是豪华大床间，舒适宽敞。好酒店。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 4}
{'短评内容': '比较干净的酒店', '短评打分': 3}
{'短评内容': '酒店一般太贵了', '短评打分': 3}
{'短评内容': '宾馆环境很安静，不错哦', '短评打分': 3}
{'短评内容': '一如既往的好！\n\n因为所定的房型没有了，主动给我免费升级豪华间。\n\n顶！', '短评打分': 5}
{'短评内容': '总体感觉不错，服务员很热情，房间比较干净，牙膏牙刷品牌的，拖鞋很好，就是没有一次性免费的剃须刀。以后会常来。', '短评打分': 3}
