{'短评内容': '环境不错，服务也很好。', '短评打分': 5}
{'短评内容': '空调是坏的 晚上冷死人！不值！', '短评打分': 1}
{'短评内容': '这地方很好，离鸟巢很进', '短评打分': 5}
{'短评内容': '房间大，设施不错，就是地毯看着好脏', '短评打分': 5}
{'短评内容': '酒店位置好，距离中国科技馆仅百米，周边环境很方便，适合亲子出行。前台服务很好，看我们带小朋友还尽力帮助选好房间。卫生不错，设施不错，但淋浴没有手持花洒，小朋友不习惯。自主早餐也不错，品类较多。最大遗憾：晚上很吵的唱歌声，据说是旁边的私人会所发出的。', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '环境卫生都很不错', '短评打分': 5}
{'短评内容': '免费升级，早餐东西还不错', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '掌柜发货很及时阿，谢谢啦！', '短评打分': 5}
{'短评内容': '环境很好，住着舒服。', '短评打分': 5}
{'短评内容': '第一次在京东订酒店就不成功，而且预付的房费也不知何时能退！', '短评打分': 2}
{'短评内容': '环境优美，服务态度也很好。需要的可以看看', '短评打分': 5}
{'短评内容': '差评 差评 差评    定错时间了 没有入住  京东客服不给解决问题，站在酒店角度，请问是否可以站在消费者角度去和酒店协商呢？打给酒店，让我自己去沟通，让我自己打，我打了，酒店说委托付费方是一个旅社  中间不知道转了多少道，差评差评差评。。没有入住  还显示我凌晨离店。。。', '短评打分': 1}
{'短评内容': '很好的位置，吃行方便，早餐丰盛，房间干净，服务好，下次还来', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '前台很美！！！！！', '短评打分': 5}
{'短评内容': '不咋地', '短评打分': 3}
{'短评内容': '环境不错，服务很好', '短评打分': 5}
{'短评内容': '环境不错，服务也不错', '短评打分': 5}
{'短评内容': '奥运会时候的设施，下水道臭的不能开门.前台的服务生太不友善，周日的晚上告诉我满房，没有大床房.整个酒店员工的状态像三星酒店的', '短评打分': 4}
{'短评内容': '有些陈旧与老牌的感觉，周边吃的地儿不错', '短评打分': 5}
