{'descr': '还可以吧，', 'star': 5}
{'descr': '没有早餐、我们住的房间～酒店的空调不太好.喷头也不太好用～不过服务很好～我们另一个房间因为厕所一直在响，很及时的给换了房间.酒店外面交通很方便～性价比很高', 'star': 4}
{'descr': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。', 'star': 5}
{'descr': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。', 'star': 5}
{'descr': '1.位置不错，很好找，交通方便，去附近的景点很近。2.酒店环境很一般，电梯很旧，我被安排三楼住，我一出电梯，我的天啊，地板都是破的…我还差点摔了一跤。走廊真的是很low那种，我住的那间房间那条走廊，堆满了床单那些东西，要不是我事先定的民宿在我出发前通知我不能住了，我才随意找的这家酒店…看评论说的地理位置好才定…房间真的…不怎么样啊…我朋友说像招待所，反正睡一晚我就忍忍了，结果一晚都睡不好，外面很吵', 'star': 3}
{'descr': '可以', 'star': 5}
{'descr': '酒店设施真的是差得不行，房间超级小，电视机没法用，卫生间不如几十块钱的旅馆，水温经常无法调节。', 'star': 4}
{'descr': '楼下有药铺，味道比较大', 'star': 5}
{'descr': '找了好几个酒店才弄到', 'star': 4}
{'descr': '交通方便，房间也比较干净。周围吃的地方比较多。不过浴室门把手松了，一拉就掉。有的灯也坏了，灯光较暗。', 'star': 5}
{'descr': '服务员一般', 'star': 4}
{'descr': '地理位置好，前台接待好，周边小吃还不错', 'star': 4}
{'descr': '挺好的', 'star': 4}
{'descr': '酒店不错，房间很干净，酒店服务不错，交通便利', 'star': 5}
{'descr': '爸妈和老友一同出行，定了五间房，回来反馈像钟点房，情侣用的那种房间，不太配他们胃口，但是便宜也是真便宜', 'star': 3}
{'descr': '虽然房间有点小，但是前台服务态度挺好，房间住的也挺舒服的，就是小广告好多啊，从门缝里塞进来', 'star': 5}
{'descr': '房间很干净，地理位置优越，周边配套完善，不足房间面积有点小。', 'star': 3}
{'descr': '圆床很舒服，就是空调不给力，开了等于没开，热了一晚上。。。', 'star': 5}
{'descr': '酒店卫生还算不错，空间略小，但是地理位置很好，对得起这个价格', 'star': 5}
{'descr': '很好啊。一个人住的大床房挺自在，而且对面有很多饭店 楼下也有24小时便利店还是比较方便的', 'star': 5}
{'descr': '很有特色的酒店,第一次住这种,很有意思.\n早餐太简单了, 不过满干净的.', 'star': 5}
{'descr': '优点:性价比还不错，位置离观前和十全街都比较近，房间硬件可以，还有网络是无线的缺点：房间有厕所味道，发现蚊子和苍蝇 ', 'star': 5}
{'descr': '优点:性价比还不错，位置离观前和十全街都比较近，房间硬件可以，还有网络是无线的\n缺点：房间有厕所味道，发现蚊子和苍蝇', 'star': 5}
{'descr': '位置不错，交通便利，但房间有点小，总体感觉还是不错。', 'star': 5}
{'descr': '非常好！地段非常不错，早餐阿姨态度超级亲切，下次苏州还住清沐', 'star': 5}
{'descr': '比想象中舒服很多的 大圆床很舒服 就是五一假期去比平时贵些了', 'star': 5}
{'descr': '整体还可以，就是空间小了一些，不过一个人住蛮好的', 'star': 5}
{'descr': '住的是大圆床 10平方 虽然有点小 但是很满意 被子不会掉下来很好 液晶电视很大也有ITV 还有无线 早饭虽然吃的不多但也够了 总体的服务态度都很好 就是住在马路边有点吵 还有卫生间设计的不会漏水哦 还提供凉拖好人性化 要说遗憾就是卫生间的门向外打开有点别扭 总的来说 很好', 'star': 5}
{'descr': '很干净 床是圆的 很有感觉 周围吃的也很多 非常方便 五一想再定 已经没有了 好可惜 下次来了 还要住在这里', 'star': 5}
{'descr': '各方面条件还不错，就是灯太暗了，被子质量太好了，很厚，盖的我热死了，我老婆也是满身大汗的。唯一不好的就是临街太吵。', 'star': 5}
{'descr': '房价很有个性，镜子很给力。就是房间太拥挤。走廊上一股熬中药的味道。吃饭什么还可以，早饭服务的阿姨很温馨啊。周围吃饭很方便。整体盈利比较高。', 'star': 5}
{'descr': '房间很小，电视看不了，找前台，找服务生找了几遍，还是看不了。旅馆内每天都有人来必叫小姐的广告。隔音不好，走道内的声音能听的很清楚。', 'star': 1}
{'descr': '还行                                           还行还行   ', 'star': 5}
{'descr': '总体还可以，服务也好，房间灯光太暗，临街隔音稍差', 'star': 5}
{'descr': '房间的灯光太暗了，对眼睛不太好，还有就是房间比较小。', 'star': 5}
{'descr': '酒店还行，房间不大，临街不叫吵。交通还算方便了。', 'star': 5}
