{'短评内容': '设施太差', '短评打分': 2}
{'短评内容': '酒店可以算说是在县城中心了，毕竟小地方，加床会比较挤，床很舒服，不会太软，有停车场可以过夜停车，收费10元。早餐12元一个，临时加的话，不小心多买了一份酒店还给我退还了，这点非常不错。花洒水够大，热水够热，总之。值得推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店在闹市区周围 吃喝玩乐都方便 就是酒店设施有些老旧 停车场停一晚二十元 在前台拿票可抵扣10元', '短评打分': 4}
{'短评内容': '停车要加钱，我也晕了', '短评打分': 3}
{'短评内容': '连续两天入住了，酒店设施很新、卫生干净，很有家的感觉！划算，超值！酒店经营理念优秀！ 如果再空间再大一点就好了。', '短评打分': 5}
{'短评内容': '吵杂，晚上没办法睡觉，隔音太差，在县城158的价格贵了。', '短评打分': 2}
{'短评内容': '酒店设施很新、卫生干净，很有家的感觉！划算，超值！酒店经营理念优秀！如果空间再大一点就好了，出行首选的住宿酒店。', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '一般，出差入住，没什么建议', '短评打分': 3}
{'短评内容': '一般，出差入住，没什么建议', '短评打分': 3}
{'短评内容': '卫生很差，床垫很脏，卫生间异闻好难闻。。。服务态度还可以。', '短评打分': 3}
{'短评内容': '没什么好说的，前台服务一般，餐厅爱理不理，一幅不鸟人的模样', '短评打分': 3}
{'短评内容': '除了在县城比较繁华路段之外没什么值得期待的。住过最差的城市便捷酒店了，房间估计太久没人住了，刚进入就有一股霉味，其他的就不说了，凑合住一晚还可以。', '短评打分': 3}
{'短评内容': '利用周末的时候带父母到融水雨卜游玩，了解后觉得雨卜住宿较贵，而且条件差点，所以决定在融水县城住一个晚上，第二天再到雨卜。酒店新开张，设施设备都很新、很干净，早餐也很丰富。不足的是我们的房间沿街，晚上有点吵，如果是住靠里的房（应该是双号）估计会好些。总之值得推荐，下次如果再到融水应该还会入住。\n', '短评打分': 5}
