{'短评内容': '豪华房味大，面积也没25平米，换了标间，有停车场', '短评打分': 4}
{'短评内容': '服务不热情，一次不太愉快的经历！', '短评打分': 3}
{'短评内容': '环境一般，设施很差', '短评打分': 3}
{'短评内容': '不错的酒店，棒棒的，开车来北京，住这边挺方便的，价格也挺优惠的。', '短评打分': 5}
{'短评内容': '不错的酒店，棒棒的，开车来北京，住这边挺方便的，价格也挺优惠的。', '短评打分': 5}
{'短评内容': '酒店离我们办事的地方很近，但是房间实在太小了，感觉性价比不高，而且有一个房间的墙壁上墙纸已经脱落了，还有好多水，不过因为没有豪华房了，所以就没换了', '短评打分': 3}
{'短评内容': '这是我感觉住宿体验最差的一次，四百多元的房价，房间竟然没有挂衣服的地方，连椅子也没有，房间里的电话看不到打前台的方式。房间小的转不开身，连快捷酒店都不如。', '短评打分': 1}
{'短评内容': '地理位置比较偏，还挺难找。但房间内部装修还不错，感觉比较舒心。可是环境卫生还是有待提高。交通不太方便。', '短评打分': 4}
{'短评内容': '环境不错，地理位置佳！', '短评打分': 5}
{'短评内容': '环境不错，地理位置佳！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间很好价格也很实惠', '短评打分': 5}
{'短评内容': '网上预定豪华大床房，标注1.8大床，酒店实际安排房间大床为1.5米，到酒店前台服务不够热情周到，室内外装潢差别颇大，离店时前台退房态度很好，不是很值得推荐', '短评打分': 3}
{'短评内容': '服务周到，房间干净。', '短评打分': 3}
{'短评内容': '还好，房间干净，服务周到。', '短评打分': 3}
{'短评内容': '服务态度周到，环境干净卫生，值得一去', '短评打分': 3}
{'短评内容': '嗯哼不错不错，我得到', '短评打分': 3}
