{'短评内容': '常山最好的酒店了，还可以', '短评打分': 4}
{'短评内容': '交通便利，环境优美', '短评打分': 5}
{'短评内容': '早餐丰盛，隔音不好！！！', '短评打分': 5}
{'短评内容': '每次来第一选择就是这里，环境好，出行方便，早餐品种较多，还有好吃的手工面，酒店房间里设施也不错。这次入住，拖鞋头上破了个洞，穿着有点别扭。', '短评打分': 5}
{'短评内容': '房间卫生差，晚上虫蚊多', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '离县政府不远，办事方便', '短评打分': 5}
{'短评内容': '不错吧，朋友说还可以', '短评打分': 4}
{'短评内容': '早上7点半到晚上7点半不供暖！早上7点半到晚上7点半不供暖！早上7点半到晚上7点半不供暖！12月的天气啊！第三天到晚上10点还沒空调，问总台，回答说忘了，体验极差！', '短评打分': 3}
{'短评内容': '环境不错，每次必选，价格实惠。', '短评打分': 5}
{'短评内容': '还不错，来常山都住在这里', '短评打分': 5}
{'短评内容': '不错。环境很好', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '住了好几个晚上，蛮好的', '短评打分': 3}
{'短评内容': '酒店内还是很不错的，可以说是江景房了。房间也还干净，酒店的位置也好，可以说就是市中心了，周边生活也还方便。唯一有欠缺的就是早餐太简单了，内容有些少了。', '短评打分': 5}
{'短评内容': '房间比较大，设施有点陈旧。地理位置不错。。。。。。', '短评打分': 5}
{'短评内容': '环境比较优雅，房间设施有点陈旧。在常山应该还算可以。。。。。。', '短评打分': 5}
{'短评内容': '酒店房间新，房型好，三楼还有Mini小公园，值得入住', '短评打分': 5}
{'短评内容': '柏丽大酒店设施真不错，可以算得上是四星级，各方面服务非常好', '短评打分': 5}
{'短评内容': '周边购物设施完备，酒店内房间新潮干净，非常值得推荐', '短评打分': 5}
{'短评内容': '地理位址还是不错的.四星标准硬件还可以.住了2个晚上.就是没有配电脑.外景房465元感觉有点贵了点.可能是过年的原因吧.感觉最晕的就是热水系统还不够完善.爬山回来9点想洗个热水澡没热水.询问服务台得到回答再等半个小时.可是等到半夜12点半还是没有热水.空调系统也不好.这么冷的天开了空调吹出来的就是风,一点也不热.没有洗澡就睡了.第一次来常山游玩.住宾馆没有洗澡.感觉就是不好.一点小小的建议:希望宾', '短评打分': 5}
{'短评内容': '房间不错，服务也很好', '短评打分': 3}
{'短评内容': '酒店位置挺好，很好找，房间在三楼。走廊超级大。外面还有个休息平台。\n淋浴和马桶是用透明玻璃隔断的，住的是商务大床。床区域是抬高的。总体还是很好的。', '短评打分': 5}
{'短评内容': '定的标准间（内景房），面积很大。228元，很不错。对于商务旅行，性价比很高。早餐还算过得去。可能这是常山县数一數二的宾馆了。\n唯一的缺点：感觉被子太潮了（“潮湿”的“潮”）。\n维二的缺点：头天晚上上网上不去，但由于没有急事，也没找宾馆解决。', '短评打分': 5}
{'短评内容': '很赞很赞！这个价格，能住到这么好的酒店，确实很意外啊，装修 房间布置都很不错，早餐也还可以的（就好不好吃能不能吃饱方面而言，如果特别挑剔的话就当我没说），下次来常山，还住这里！希望以后别涨价啊~~~~', '短评打分': 5}
{'短评内容': '这是我第二次入住，凭此就可证明酒店的价值，确实物超所值。', '短评打分': 5}
{'短评内容': '在常山算比较好的酒店了，小县城吗，下次去还是会去住的', '短评打分': 5}
{'短评内容': '想多住一晚，没有能安排出位置，只好流浪街头，郁闷了一晚。', '短评打分': 5}
{'短评内容': '该酒店的性价比令我惊喜，硬件环境及服务态度均很到位，超值！', '短评打分': 5}
{'短评内容': '环境不错，服务态度也好，值得入住！下次过去还会再住。', '短评打分': 5}
{'短评内容': '不错，挺好的，服务也不错，房间宽敞，就是热水临时出了点问题', '短评打分': 5}
{'短评内容': '酒店是目前该县城最好的酒店，卫生好，房间大。', '短评打分': 5}
{'短评内容': '很好！就是价格太高.................', '短评打分': 5}
{'短评内容': '酒店虽然不在市中心，但周边交通挺方便的，另外这里的服务非常好，服务员周到热情，房间硬件设施齐全，卫生条件干净整洁，住宿环境不错', '短评打分': 5}
{'短评内容': '干净卫生，设施完善，总体不错，价格可以再优惠些就好了', '短评打分': 5}
{'短评内容': '环境良好，设施完善，周围超市商场都有，推荐！', '短评打分': 5}
{'短评内容': '非常漂亮的酒店，很气派，早餐还行，就是没有西式的', '短评打分': 5}
{'短评内容': '很舒服、很干净、很暖和！以后还会来...[更多] \n', '短评打分': 5}
{'短评内容': '很好的宾馆  环境佳 设施新 服务好价格实惠 满分', '短评打分': 5}
{'短评内容': '酒店虽然不在市中心，但是交通出行挺方便的，酒店边上有个金佰汇超市，服务蛮好的，前台服务很热情周到，卫生条件不错，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间装修的很漂亮，卫生条件很好，干净整洁，住宿环境一流', '短评打分': 5}
{'短评内容': '酒店房间挺好的，装修的很清爽，房间硬件设施齐全，采光度很好，卫生条件不错，餐饮一般', '短评打分': 5}
