{'descr': '有点太小了', 'star': 4}
{'descr': '早餐还可以，自己有餐厅饭店，楼下餐厅点菜挺实惠，味道也可以，离古城较近，还是不错的', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '早餐很一般，房间里电视，鼠标，网络，均不好用，卫生间有反味，其他尚可。', 'star': 4}
{'descr': '早餐需要提高一下', 'star': 5}
{'descr': '在兴城算不错的吧，很方便，好评', 'star': 5}
{'descr': '一般吧，在这地方应该还算不错的', 'star': 3}
{'descr': '三星级老宾馆，在兴城还算可以吧。餐厅的饭菜不错。前台的服务挺好。', 'star': 4}
{'descr': '服务好，就是太旧了', 'star': 4}
{'descr': '价格合理，舒适合算', 'star': 5}
{'descr': '符合这个价位', 'star': 5}
{'descr': '酒店位置好，停车方便，服务好，设施完整', 'star': 5}
{'descr': '不错，当地应该算最好的酒店之一了', 'star': 5}
{'descr': '位置不错，距汽车站步行，5分钟。性价比高，餐厅比较便宜，但早餐10元一般般。', 'star': 5}
{'descr': '酒店位置比较方便，服务也比较好，性价比高。', 'star': 4}
{'descr': '酒店位置比较方便，服务也挺好的，餐厅饭菜味道不错。推荐。', 'star': 4}
{'descr': '在兴城就算不错的酒店了，最大的缺点是太吵，但没有什么太好的选择。', 'star': 1}
{'descr': '在兴城就算不错的酒店了，最大的缺点是太吵，但没有什么太好的选择。', 'star': 1}
