{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置环境很好，地铁、世纪公园、麦德龙超市、便利店一应俱全！房间大三居，很舒服！买买菜做做饭，叫叫外卖，很生活！下次带孩子还会住这里！', '短评打分': 5}
{'短评内容': '设施老化，空调不制热，床垫弹簧老化，下次不会入住。', '短评打分': 2}
{'短评内容': '环境好，旁边就是嘉里中心，厨房缺少盆和碗', '短评打分': 4}
{'短评内容': '参加会展住在这里非常方便，多人入住性价比比较高', '短评打分': 5}
{'短评内容': '地理位置佳 房间设施也不错 ', '短评打分': 4}
{'短评内容': '房间都很干净，附近环境很好，靠近展览会，吃饭的地方很多选择。', '短评打分': 4}
{'短评内容': '还可以，就是地铁站和公交都有步行8～10分钟。', '短评打分': 4}
{'短评内容': '位置很好', '短评打分': 4}
{'短评内容': '离展厅很近，位置很好', '短评打分': 4}
{'短评内容': '在小区里面，找起来有一点点麻烦。但是，服务很好，设施也不错。而且房间户型好，超大，可以一家人住。出差也都不错。周围吃东西也方便。。', '短评打分': 5}
