{'短评内容': '住了7天，真舒服，方便，值得推荐', '短评打分': 5}
{'短评内容': '房间很大，很舒服，唯一不足，停车费要自己付给龙湖西城天街', '短评打分': 5}
{'短评内容': '位置很好，下楼就是购物商城了，饮食，逛街购物，看电影，都就在商场里面了，房间卫生还可以，先到先得，房间很大，商务之旅，住这也方便，整体可以', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错，环境很好，也很干净', '短评打分': 5}
{'短评内容': '还行，对得起这个价位', '短评打分': 5}
{'短评内容': '挺干净的，特别是位置很好，性价比较高', '短评打分': 5}
{'短评内容': '类似于快捷酒店，但是私密性有比较好，地段离步行街很近，周围却并不嘈杂，价格经济，出游重庆一个不错的居住地', '短评打分': 5}
{'短评内容': '服务很好！环境也很好，性价比高', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间很大 酒店位置好 服务好 性价比很高', '短评打分': 5}
{'短评内容': '信价比还可以', '短评打分': 5}
{'短评内容': '东西齐全，床也挺大的，还比较喜欢，性价比不错', '短评打分': 5}
{'短评内容': '酒店位置很好哦，喜欢酒店的风格，卫生不错，住起来挺当心的', '短评打分': 5}
{'短评内容': '公寓老板人不错！我们第一次来不熟悉，老板还下来接我们，下次再来啊', '短评打分': 5}
{'短评内容': '房间很漂亮，老板人很好', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '非常好！地理位置很好，服务态度也好！房间特别宽，下次还要去！！！', '短评打分': 5}
{'短评内容': ' 这个酒店不错 便宜 位置又好', '短评打分': 3}
