{'短评内容': '环境非常一般', '短评打分': 4}
{'短评内容': '前台服务很好，管理适度，酒店相对治理有序，各种类型的房间具有不同特色，住客需自行体验，周边配套齐全。', '短评打分': 5}
{'短评内容': '很好，很干净，很喜欢。', '短评打分': 5}
{'短评内容': '房间干净卫生，服务热情。开车来的不方便停在，只能停马路边。宾馆单纯住宿，不供早点，宾馆附近很多餐馆。', '短评打分': 5}
{'短评内容': '房间干净卫生，服务热情，这个价位真的超值。交通方便，优其天津的摩拜.小黄车大街小巷到处是太方便了。毕需好评！', '短评打分': 5}
{'短评内容': '很好啊，很好啊，，??一一一。。。。。。。。。？', '短评打分': 5}
{'短评内容': '老板和前台都很熟了，多次住', '短评打分': 3}
{'短评内容': '感觉还不错，挺划算的，可以去住住', '短评打分': 3}
{'短评内容': '房间同价不同标准，卫生一般，平房，没窗户，冷，多亏了艺龙返现和红包，心里稍微宽慰点', '短评打分': 3}
{'短评内容': '房间小，卫生一般，没窗户，平房，冷', '短评打分': 3}
{'短评内容': '还不错，这一次住的房间没有味道了', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '无窗闷的慌。整体说不怎样！', '短评打分': 3}
{'短评内容': '脏乱小', '短评打分': 2}
{'短评内容': '位置不错，距离天大很近，周边小吃多很方便，卫生和设施太一般了，希望改善，除非省钱愿望强烈，否则下次不考虑了。', '短评打分': 4}
