{'短评内容': '酒店服务好也很卫生', '短评打分': 5}
{'短评内容': '酒店服务好也很卫生', '短评打分': 5}
{'短评内容': '酒店环境好，服务也可以', '短评打分': 5}
{'短评内容': '很不错哦，交通方便', '短评打分': 5}
{'短评内容': '设施老旧，服务不好。门坏了门禁卡打不开了，服务员也打不开，准备撞门。急中生智晃了一下门，打开了，服务员说退房别关门了。设施太旧。', '短评打分': 1}
{'短评内容': '为了坐车方便才住到这里的，，，，不好，房间小。关键是空调不行。天气很冷，屋子里开了空调也暖和不起来，破中央空调！！！！', '短评打分': 4}
{'短评内容': '由于是改造重修的，环境硬件方面还是有待改善，主要就是方便！', '短评打分': 4}
{'短评内容': '酒店已经改名为“襄阳翰琳八一大酒店”，地理位置还不错，离火车站不远，遗憾的是酒店没有餐饮设施，不能提供餐饮服务，需要到外面去解决。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '改名字了，店里和网上同价', '短评打分': 5}
{'短评内容': '房间很干净，出行很方便，下次还会来入住的。', '短评打分': 3}
{'短评内容': '挺好的～～～～～～～～～～～', '短评打分': 3}
{'短评内容': '环境不错，在市区里面方便，服务态度好', '短评打分': 3}
{'短评内容': '位置好，停车好停，干净，卫生，家庭房不错。', '短评打分': 3}
{'短评内容': '房间很宽敞，一应设施齐备，很干净，很舒适，不足之处是隔音不太好，晚上感觉比较吵，还有，大家记得瓶装水不是免费的哦！', '短评打分': 3}
