{'短评内容': '位于梦多多小镇附近，吃饭挺方便！', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间整体造型不错，简洁大方，但是卫生一般，没有洗发露，沐浴露瓶身发霉，没仔细看日期，然后没有喷头，淋浴用不习惯。不过位置不错，就在考场门口，房间对面的教学楼就是考场。', '短评打分': 4}
{'短评内容': '早餐不错！主要是在温州科技职业学院考试太方便了', '短评打分': 4}
{'短评内容': '早餐还好，有位置停车。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '还可以，马路边有点吵', '短评打分': 4}
{'短评内容': '房间装修原来风格应该不错，可惜现在太老旧，隔音效果极差，外面马路上的车来车往严重影响休息。还有房间对面房间一帮人在玩牌（不清楚是否赌博）乌烟嶂气。需要加强管理。', '短评打分': 3}
{'短评内容': '预定的白领大床房，到了告诉我没了，给我更好点的房间，价格一样，结果住了才发现是商务房间，价格比我定的房间少了60多，收费的时候居然还是按照白领大床房228收的，真他妈恶心', '短评打分': 1}
{'短评内容': '还可以的吧', '短评打分': 3}
{'短评内容': '房间挺破的 但是离考场近 有早餐 总之不是考试方便不值这个价格吧', '短评打分': 3}
{'短评内容': '这酒店离考场真不是一般的近，简直就是为温科院准备的。酒店住得还可以，此次行程唯一不足的就是当地的的哥不地道，明明我们在网上查过温州火车南站到酒店只有6、7公里的路，打的也是20几元钱的事，这个名叫戚威威的的哥小伙子居然收我们45元，当我们怀疑时他竟然铮铮有辞地指着行程表跟我们说是12.5公里，真是无语。可怜我们2个女的，又是晚上9点半了，连个车票都忘了要就被他摞在酒店门口，一阵风似的走了。这让我对', '短评打分': 4}
{'短评内容': '考试定的，离考场不是一般的近。设施陈旧就多理解吧，吃的挺多，合胃口的不多，将就吧，出来考试。', '短评打分': 4}
{'短评内容': '一般 去学校没办法只能住这里 最近', '短评打分': 3}
{'短评内容': '可以   就是空调不凉快', '短评打分': 3}
{'短评内容': '酒店不错，设施齐全，也挺干净的，就是房间有点小，不过，早餐很不错哦...', '短评打分': 5}
{'短评内容': '还行吧。不过我去的时候没有我要的房间。然后住里238的。郁闷了', '短评打分': 5}
{'短评内容': '就是过去入住的时候说找不到订单，不过还是住下来了。提一下，门窗不好。', '短评打分': 3}
{'短评内容': '服务还好', '短评打分': 3}
{'短评内容': '经常来住这家酒店的，性价比还不错的，现在2楼重新装修更好了，服务态度也很好。', '短评打分': 5}
{'短评内容': '挺好的，离火车站近.。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床比较硬，房间比较旧', '短评打分': 3}
{'短评内容': '紧邻温州科技技术学院，地理位置一般，网络管理态度不错，前台服务态度差', '短评打分': 5}
{'短评内容': '酒店入住还可以，离学校很近，吃饭比较方便，靠近森马。值得推荐', '短评打分': 5}
{'短评内容': '环境和房间还可以，就是早餐差了点。', '短评打分': 3}
{'短评内容': '酒店条件一般，周边环境比较乱，是一个物流集散地，但是到温州南站很顺路，有公交，早餐较差，但是菜做的味道可以。', '短评打分': 5}
