{'短评内容': '酒店很不错!早歺也很丰富', '短评打分': 3}
{'短评内容': '这家店还是不错的，设施也挺新了，反正下次还会继续住。', '短评打分': 5}
{'短评内容': '应该是咸阳地区最高档的酒店了。比较干净，外面打车也比较方便。', '短评打分': 5}
{'短评内容': '位置远点，酒店不错\n在新区，环境不错，就是人少点，周围还有温泉浴城。', '短评打分': 5}
{'短评内容': '酒店设施不错，餐厅不错，早上结账效率较低，交通一般，不是很好打车。', '短评打分': 1}
{'短评内容': '环境不错，尤其是枕头很舒服也很人性化的。餐厅的消费有一点点高。', '短评打分': 5}
{'短评内容': '环境不错，卫生质量好，房产宽敞，设施齐全，旁边就是海泉湾，价位也合适。', '短评打分': 3}
{'短评内容': '房间环境还不错，有浴袍和吹风机，空调挺热的，不足之处就是天花板的吊顶像棺材盖，希望你不是个太有想象力的人，虽然住16楼，路边的大车经过的声音依然传得上来。1点退房。', '短评打分': 5}
{'短评内容': '硬件不错，设施设备也比较新。\n电梯少点，上下不方便。\n床单有些不干净，需要加强。', '短评打分': 5}
{'短评内容': '很不错，以后来咸阳还会住，应该是四星吧，拍了照片，可惜没带数据线下次再住给大家看看', '短评打分': 5}
{'短评内容': '很好,但是出行不方便.如果没有开车，坐车是个问题', '短评打分': 5}
{'短评内容': '这家酒店值得推荐，就是进咸阳市堵车堵了3个小时，现在进城堵车是国情，没法。', '短评打分': 5}
{'短评内容': '好，非常好，早餐也可以就是很慢，房间不错。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '卫生设施还行，环境和价格算较合适，离机场也较近，就是咸阳有两个王朝，出租车司机都搞错了。 \n', '短评打分': 5}
{'短评内容': '酒店设施及服务都很好', '短评打分': 3}
{'短评内容': '很好，很开净…', '短评打分': 3}
{'短评内容': '整体良好，环境、卫生都不错，前台服务稍微有点拖沓，能改进一下更好！\n下次去咸阳一定还会入住！', '短评打分': 1}
{'短评内容': '我住的套房，房间很好，有两个大液晶，自动麻将机，服务也很好，在海泉湾旁边，就是离市区有点远，打车不容易', '短评打分': 5}
{'短评内容': '酒店很整洁，设施也很新，就是地理位置有点偏，前台结账速度太慢，等了半个小时之久，晕。。。', '短评打分': 5}
{'短评内容': '硬件设施不错，但服务远跟不上。房间不太隔音。希望下次去有所改善。', '短评打分': 5}
{'短评内容': '寝具很好，环境很棒，除了房间面积小点。不知为什么提价了！', '短评打分': 5}
{'短评内容': '  酒店不错，下次还会入住', '短评打分': 3}
{'短评内容': '价格合理  环境好  前台服务一般  离市区远了点', '短评打分': 5}
{'短评内容': '环境好，价格合理，就是离市区有点远 前台服务一般', '短评打分': 5}
{'短评内容': '物超所值，设施服务均好，地段稍偏但也方便。', '短评打分': 5}
{'短评内容': 'NICE HOTEL! THE SERVICE IS GOOD', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '套房干净，温馨，性价比高。\n早餐很好哦，服务业不错\n总之是值得推荐的', '短评打分': 5}
{'短评内容': '价格合适，酒店硬件档次也不错，就是服务人员水准有待提高，离海泉湾半站路。', '短评打分': 5}
{'短评内容': '房间的卫生设施还可以，酒店离市区挺远的我一般都是在市区住当时是因为确实要在附近才选择的，酒店环境和价格算是比较合适的，如果下次在附近办事其实还是可以参考的。', '短评打分': 3}
{'短评内容': '服务态度很好，硬件软件都还行，离机场也很近的酒店。性价比还是不错。除了那个房间的电视雪花点太多其他的都很好。', '短评打分': 5}
{'短评内容': '酒店不错房间还可以，价格也比较便宜，位置还行交通挺便利的。服务确实不错。', '短评打分': 5}
{'短评内容': '软件条件还是有待提高，位置距离市中心有占偏，不过交通还算方便.', '短评打分': 5}
{'短评内容': '干净，卫生，比较实惠，还是准4星的酒店。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店提供的一次性洗漱用品质量很好，服务特别贴心，周到，细致，房间卫生条件很好，干净整洁，总体感觉住宿条件很不错', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，内部卫生条件很好，干净整洁，服务态度很好，热情周到，住宿条件很不错', '短评打分': 5}
{'短评内容': '价格便宜，但配套设施不全。没有商场，一楼餐厅贵得要命，只有3个价格：￥38，￥68，￥128，附近交通不方便', '短评打分': 1}
{'短评内容': '好像是家新开业的酒店。房间装修的很好，布置的不错，硬件设施齐全，服务很好，周到热情，房间卫生条件不错，干净整洁，整体感觉住宿条件还是很不错的', '短评打分': 5}
{'短评内容': '房间装修的很时尚，卫生条件很好，干净整洁，服务不错，服务员很周到热情，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店服务一般，退房时还是蛮快的，房间装修的不错，比较上档次，卫生条件很好，干净整洁，床品睡着很舒服，住宿条件不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '咸阳机场打车到该酒店4O元肯定够了。但咸阳司机黑,多要钱成风。打车一定拿好警察给的登记卡,以威慑不法司机。', '短评打分': 5}
{'短评内容': '不错的酒店，就是服务不是很到位，餐厅服务员素质有待提高', '短评打分': 5}
