{'descr': '还行干净。', 'star': 4}
{'descr': '干净环境好', 'star': 3}
{'descr': '环境挺好的价格便宜', 'star': 4}
{'descr': '很好很满意', 'star': 5}
{'descr': '房间未打扫', 'star': 2}
{'descr': '和想象的还有很大差距', 'star': 5}
{'descr': '房间发霉了，地板上全是发霉的痕迹，味道很重', 'star': 5}
{'descr': '还不错，挺好的', 'star': 5}
{'descr': '还可以，就是淋浴喷头是固定死的，不是很方便使用。', 'star': 4}
{'descr': '房间没房户，冬季住还可以，夏天就受不了啦服务员态度很好，客户除了小了点，其它都还挺满意的，以后还会考虑住这', 'star': 5}
{'descr': '房间舒适，如果热天住不怎么行了。因为属于无窗房，交通方便，离马家堡地铁站很近。离火车南站也就一站路的距离。以后还会住这的', 'star': 5}
{'descr': '很特么难忘', 'star': 5}
{'descr': '还行，在北京这个价，可以了。', 'star': 5}
{'descr': '快捷酒店，较为便利，很满意。', 'star': 4}
{'descr': '一看就是开了很久的了屋里装修已经很旧了', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '还         凑活            吧，时间长了就没正事了！', 'star': 4}
{'descr': '酒店比较哪找，而且卫生条件也比较差，发票不在前台开，需要等', 'star': 1}
{'descr': '房间有点小', 'star': 3}
{'descr': '环境干净，床有点小，价格不错', 'star': 3}
{'descr': '这个酒店质量很赞的，里面东西很齐全，就是没有搜索到wifi，别的都很好，价格还很合理。', 'star': 5}
{'descr': '这个酒店质量很赞的，里面东西很齐全，就是没有搜索到wifi，别的都很好，价格还很合理。', 'star': 5}
{'descr': '环境不错，服务挺好的。南塔附近百米直线距离内居然有两个如家酒店！\n餐厅里菜做得还行，只是个人感觉菜里肉的口感稍差，可能冷冻时间长了点。', 'star': 5}
{'descr': '环境不错，服务挺好的。南塔附近百米直线距离内居然有两个如家酒店！\n餐厅里菜做得还行，只是个人感觉菜里肉的口感稍差，可能冷冻时间长了点。', 'star': 5}
{'descr': '还可以。就是没有吹风机', 'star': 3}
{'descr': '还可以。就是没有吹风机', 'star': 3}
{'descr': '就在鞋城对面，非常方便，房间格局有点不舒服，空间挺大…总体不错', 'star': 3}
{'descr': '就在鞋城对面，非常方便，房间格局有点不舒服，空间挺大…总体不错', 'star': 3}
{'descr': '酒店整体环境不错，价格偏贵一些', 'star': 3}
{'descr': '酒店整体环境不错，价格偏贵一些', 'star': 3}
{'descr': '挺不错的 很安静', 'star': 3}
{'descr': '挺不错的 很安静', 'star': 3}
{'descr': '招待所，尚在装修，不理想。\n本来是预定了七台河宾馆的，可以宾馆单方面突然说没房间，调换了。非常不满', 'star': 1}
{'descr': '挺好的，卫生很干净，也很安静，就是注意要经常检查卫生间的设施是否能用。这次房间的洗浴头不好，就内圈出水……', 'star': 5}
{'descr': '挺好的，卫生很干净，也很安静，就是注意要经常检查卫生间的设施是否能用。这次房间的洗浴头不好，就内圈出水……', 'star': 5}
{'descr': '环境优雅，房间干净，服务很好。位置很好。下次还来！', 'star': 5}
{'descr': '环境优雅，房间干净，服务很好。位置很好。下次还来！', 'star': 5}
{'descr': '帮朋友定的，酒店挺大，也挺干净，朋友很满意', 'star': 5}
{'descr': '帮朋友定的，酒店挺大，也挺干净，朋友很满意', 'star': 5}
{'descr': '卫生非常不错~~服务也很好。就是早上的时候，好像是打扫卫生的阿姨，声音大，应该是拖把与设施碰撞的声音……其他都很好，热水也很好~~一直信赖如家', 'star': 5}
{'descr': '卫生非常不错~~服务也很好。就是早上的时候，好像是打扫卫生的阿姨，声音大，应该是拖把与设施碰撞的声音……其他都很好，热水也很好~~一直信赖如家', 'star': 5}
{'descr': '太简单了，床头连衣服架都没有，害得我枕着衣服睡了一宿', 'star': 1}
{'descr': '太简单了，床头连衣服架都没有，害得我枕着衣服睡了一宿', 'star': 1}
{'descr': '住的很舒服，基本没有噪音\n淋浴的喷头不太好\n交通很便利', 'star': 5}
{'descr': '住的很舒服，基本没有噪音\n淋浴的喷头不太好\n交通很便利', 'star': 5}
{'descr': '不错，比较干净，交通便利，建议使用无线覆盖房间，方便有多台电脑的客人使用。', 'star': 3}
{'descr': '不错，比较干净，交通便利，建议使用无线覆盖房间，方便有多台电脑的客人使用。', 'star': 3}
{'descr': '非常好，服务态度也不错！这次去沈阳，就属该店最称心了！', 'star': 5}
{'descr': '非常好，服务态度也不错！这次去沈阳，就属该店最称心了！', 'star': 5}
{'descr': '很干净，房间很暖和，一如家的温暖', 'star': 3}
{'descr': '很干净，房间很暖和，一如家的温暖', 'star': 3}
{'descr': '招待所水平，不能因为价格便宜就无视环境卫生吧？', 'star': 1}
{'descr': '\n环境一般，在北京也就值这个价了，不过很不起眼。', 'star': 1}
