{'descr': '不错 很好@@@@@@@@@', 'star': 5}
{'descr': '隔音有点差', 'star': 3}
{'descr': '隔音效果不好', 'star': 3}
{'descr': '隔音效果不好', 'star': 3}
{'descr': '隔音效果不好', 'star': 3}
{'descr': '噪音有点大', 'star': 3}
{'descr': '非常实惠，房间舒适干净，设施齐备', 'star': 5}
{'descr': '好评。         ', 'star': 5}
{'descr': '硬件差了些，软件不错', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '很好，很满意', 'star': 5}
{'descr': '很好，很满意', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '设施一般，早餐还 可以', 'star': 4}
{'descr': '房间狭小，设施一般，空调不 制热', 'star': 3}
{'descr': '很方便，不错！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '酒店服务很好，环境不错，商务间有一点小，不过很干净，下次有机会还会来。', 'star': 3}
{'descr': '房间很干净，整体环境不错，锦江之星的统一标准。', 'star': 5}
{'descr': '房间比较吵，有些潮，很小，设施也比较简陋', 'star': 1}
{'descr': '听说是客栈才去的在网上看图片觉得房间挺可爱。虽然很小但是很温馨。房间隔音不算好，热水很足。和好朋友就够啦。周六价格比平时贵，希望周末价格更亲民！', 'star': 3}
{'descr': '服务好，但是我住的房间没有窗帘，路灯有点亮。', 'star': 3}
{'descr': '客栈不错,还可免费上网', 'star': 3}
{'descr': '还可以，就这价位，有点高星期六星期日去不值。', 'star': 5}
{'descr': '价格便宜，交通方便，房间还可以，但是没有洗漱用品这点不方便', 'star': 5}
{'descr': '很不错，房间很干净，我要的上下铺，都很大的，比想象中好很多的', 'star': 3}
{'descr': '很不错的服务态度，房间也安静，下次还会过来住', 'star': 3}
{'descr': '酒店还行，服务态度需要提高一些，环境不错。。。。。', 'star': 5}
{'descr': '地理位置较方便但条件真是太简陋。', 'star': 3}
{'descr': '＋这真是是个不错的地方，环境很好。', 'star': 3}
{'descr': '环境舒适，价格便宜', 'star': 3}
{'descr': '相当不错的酒店，以后有机会还是来咯！呵呵，，，', 'star': 5}
{'descr': '真的是太郁闷了，简直吵得要死，本来是想来睡个安稳觉的，这下搞得完全睡不着，设施哪里看起来都是旧旧的，白花钱了', 'star': 3}
{'descr': '   房间太小了，住的那一间的卫生间的隐私都没有。', 'star': 1}
{'descr': '房间干净、厕所较大、被褥干净', 'star': 3}
{'descr': '洒店还是比较卫生，但是房间有点小。性价比较高。', 'star': 5}
{'descr': '酒店环境不错，而且有无线网络，网速也很快哦！', 'star': 5}
{'descr': '住的榻榻米房，床很矮，感觉很特别。偶尔住一下还可以，明天还是准备换大床房。。。', 'star': 3}
{'descr': '酒店提供的无线网络速度不错哦，没有洗漱用品需要改善。', 'star': 5}
{'descr': '房间较小，床较软', 'star': 3}
{'descr': '酒店不错。干净。温暖。\n但是为什么没得返还现金消费券？！！', 'star': 5}
{'descr': '没洗漱用品', 'star': 3}
{'descr': '条件不好，满屋子都是洗澡水', 'star': 3}
{'descr': '只能说周边环境还不错，因为在商圈附近。但房间就很一般，连最起码的洗头液沐浴液和一次性拖鞋都没提供。和七天、如家快捷比起来要差好多。', 'star': 3}
{'descr': '房间太小，而且卫生不好，屋子里有小虫子，很吵，服务员态度很差跟欠了她钱一样，爱答不理的，晚上说不提供一次性洗漱用品，可以理解为了环保，但为什么连个拖鞋都没有，还要花钱买，不推荐住在这里，99块钱一晚上去其他地方住比这里好多了，去了就会后悔，定的是榻榻米，一看房间就傻眼了，就是一个床垫子放在地上，很不满意。。。枕头上都是黄色的斑块，住了就会后悔。。。。。反正我后悔了', 'star': 1}
{'descr': '还不错啊~干净实惠，值得入住的酒店。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店的卫生真的需要提高，浴室淋浴里和洗手池上放东西的玻璃托盘坏掉了要及时补上，不要放在那里不管，房间没有洗发水、沐浴露，那自带的也得给个地方放呀', 'star': 5}
{'descr': '地点离沙坪坝三峡广场步行街不远，吃的，逛得很全，不过房间的清洁程度需要提高，入住时桌子上有7、8个杯子印，各种颜色的，可见不是一个客人用的了，这么长时间不清理也有点儿。。。', 'star': 5}
{'descr': '很热情的服务人员，挺不错的，值得推荐！！！！！', 'star': 5}
{'descr': '很不错的酒店，小了点，但是服务人员很热情。值得推荐啊', 'star': 5}
{'descr': '好,酒店内侧的房间挺安静的.虽然小点,但一个人住也够了啊', 'star': 5}
{'descr': '服务不错，也挺方便的。很干净,晚上周围也很安静，就是位置稍微有点偏.大床很舒服.', 'star': 5}
{'descr': '周日到周六99，周四到周六129.空间不太好', 'star': 5}
{'descr': '还可以咯，以后有机会还是会去的，就是订到的概率比较少！', 'star': 5}
{'descr': '相当不错的客栈，以后有机会就会来住，不过很难订到！', 'star': 5}
{'descr': '很不错的。下次有机会，那个价格还是会住的，卫生方面还是很放心的。。', 'star': 5}
{'descr': '值得再来，不过比较难订到呀，最好提前2周订，2楼娱乐不错@', 'star': 5}
{'descr': '相当不错，性价比价高，特别是高低铺，以后有机会肯定住咯！', 'star': 5}
{'descr': '不错哦。。干净', 'star': 3}
{'descr': '很不错的青年旅社，价格公道，房间也挺舒服的，就是有点挤，没有窗户不透气，还有就是洗脸池太小了，完全没法洗脸。。。其他都很好，位置靠三峡广场，很方便', 'star': 5}
{'descr': '挺实惠的，但是的确吵，而且房间有异味，行李什么的也不是特别干净，但这个价位住这样，也可以了.还有公共娱乐设施做的不错。', 'star': 3}
{'descr': '第一次入住，感觉还是比较实惠的，在相同价位这里是相当不错咯，期望以后经常有机会来此！', 'star': 5}
{'descr': '总之是感觉不错。。。\n住了好几天了，下次还会再来。。。。', 'star': 5}
{'descr': '很好 很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '酒店离重庆大学及三峡广场都比较近，位置不错。看上去还是很卫生的。主要的缺点就是在马路旁边，比较吵。如量不介意吵的话，这个价钱还是很划算的。', 'star': 5}
{'descr': '帮朋友订的，听说不错，挺干净的，价格也不错，下次还订', 'star': 5}
{'descr': '房间不错，干净，价格合理', 'star': 3}
{'descr': '整体还不错，房间有点小，不过地方很温馨，还很环保，很喜欢', 'star': 5}
{'descr': '还比较干净啊', 'star': 3}
{'descr': '＋房间很干净，住着很舒服。不过周末房价有点小高！', 'star': 3}
{'descr': '＋房间很好，不过床垫子不舒服！', 'star': 3}
{'descr': '环境还好，就是洗衣没地方凉不方便，还有就是日用品须要自备。', 'star': 3}
{'descr': '优点：距离蠡湖等景区很近，晚上睡觉很安静，锦江的床枕一如既往的舒服\n缺点：大床房的房间有点小，是我住过最小的锦江之星', 'star': 5}
{'descr': '性价比高，住过好多次了，网速非常快，交通方便，吃饭方便，装修时尚', 'star': 5}
{'descr': '挺不错的，环境听好的，设施也挺齐全的，就是少了TT。。。', 'star': 5}
{'descr': '房间很干净，价格也很便宜。走廊中间有饮水机，可以取水喝。一次性的用具是自动售货机贩卖的，也很方便。缺点是隔音效果不太好，隔壁的电视声音也能听见，另外房间太小，活动不便', 'star': 5}
{'descr': '里面感觉很温馨,非常好,以后有机会还会再来.', 'star': 5}
{'descr': '房间很干净，因为是刚开的 所以各项设施都很新，感觉很舒服', 'star': 3}
{'descr': '服务非常不错，房间确实比较小，但是很温馨，走廊，大厅都设计得非常有趣。', 'star': 5}
{'descr': ' 挺温馨的,还可以,又平价', 'star': 3}
