{'descr': '房间小，设施不够全面，空调不好用', 'star': 4}
{'descr': '一般吧', 'star': 4}
{'descr': '酒店交旧。其他还行。距离西湖 城站都很近，很方便。', 'star': 5}
{'descr': '离火车站挺近的，价格合适，前台也挺好的，我看有说前台服务不好的，价格在呢，这么便宜你要求5星级服务是不是过分了呢', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '不错，唯一的缺点是没有停车场', 'star': 5}
{'descr': '酒店位置好 公交方便 干净', 'star': 5}
{'descr': '火车站附近，很方便，尤其是晚上很晚到达的时候，不用担忧打车的问题，因为杭州不好打车，住了第二次了。一切都挺好。', 'star': 5}
{'descr': '不错，性价比高', 'star': 5}
{'descr': '交通方便，房间还好。活动力度挺大的', 'star': 5}
{'descr': '离我要去学习的地方很近，房间没有窗户不太好……', 'star': 5}
{'descr': '    这家酒店什么都还不错，就是一同出差的朋友不能入住，只因朋友拿的是台湾的护照，只好让朋友另找其它家酒店了。', 'star': 5}
{'descr': '出差杭州定点酒店，价格会随着季节浮动，周六周日会高一些，学生假期也会高一些，但要在网上定房还是会很合适的。', 'star': 5}
{'descr': '火车站旁边 价位现在又可以了 卫生挺好 推荐', 'star': 3}
{'descr': '酒店位置距离地铁很近，离杭州站也近，我比较看重这个。', 'star': 3}
{'descr': '房间有点旧，可是卫生不错，态度也不错。小遗憾是没有wifi 。整体不错！', 'star': 3}
{'descr': '这家酒店在城站附近，算是比较便宜的一家了，相对于旁边的诸如汉庭、7天、如家等快捷酒店，绝对是性价比超高（上述几家价格都在两百七八至三百五，房间都差不多大小），而且有室外的衣服晾晒场所，对夏天不爱多带衣服的人来说，是个不错的人性化设计，房间也比较干净。当然，地处城站，交通便利自然是优势了，附近吃的东西虽谈不上特色，也还算方便。从前台的入住登记等流程上来看，也是比较正规的酒店，至少，你打开房门后，没有', 'star': 5}
{'descr': '总体一般，不过，没有早餐，不好，赶车可以住这里的。', 'star': 5}
{'descr': '离火车站近，环境一般，喜欢它家的红色被单，很温暖！', 'star': 5}
{'descr': '都住的四楼，第一次住的双人间卫生还行，第二次住的大床房，卫生条件有些差，房间非常拥挤。', 'star': 1}
{'descr': '酒店位置好，房间小，但齐全，这个价格很ok', 'star': 3}
{'descr': '酒店还算干净 离动车站近 比较方便  就是迷你房确实非常迷你啊', 'star': 5}
{'descr': '住的房间不大 但是又快捷的特点 很干净简洁 还不错 价位适中  前台还可以免费寄存 也没什么噪音 离火车站步行不到10分钟 交通方便 推荐', 'star': 5}
{'descr': '酒店离火车站很近，适合赶车的朋友。', 'star': 3}
{'descr': '房间小，还算干净,价格贵，性价比低,可能是位置好的原因吧,不坐火车的，不建议来', 'star': 3}
{'descr': '顺利入住，房间干净，墙壁色彩鲜艳，空调和电梯都是新的，交通方便，价位也不贵，值得推荐。', 'star': 3}
{'descr': '很不错。房间整洁，相对宽敞，比如家的性价比高一些。', 'star': 3}
{'descr': '挺干净的', 'star': 3}
{'descr': '交通方便，离火车站，河坊街，西湖都很近。房间不大，还比较干净。性价比还不错', 'star': 5}
{'descr': '还不错，方便好找,一下车站比较方便就找到了\n价钱也比较合理', 'star': 5}
{'descr': '交通比较方便，房间确实挺小，地处热闹地带，不错了', 'star': 5}
{'descr': '硬件太差了：踢脚线破烂不堪，前面也很脏；  最重要的是很吵，晚上睡不好！    两字评语：太烂！', 'star': 1}
{'descr': '离城站距离比较合适，周围的饭馆小吃比较方便。闹中取静吧。价格较旁边的要优惠。可惜第一次没有用消费券', 'star': 5}
{'descr': '标准间，176不算贵，就在城站边，虽然不是在西湖这样的景区周围，但是交通非常便利，可以搭公交到任何一个景区。\n酒店环境不错，可以跟他们要求靠小区的房子，这样比较安静。房间内部设施都比较完善，喜欢淋雨和卫生间分开的设计，唯一不足就是房子墙面不是干净。', 'star': 5}
{'descr': '房间很小，第一天睡得时候被子有味道，房间也有味道，通风不大好，有点潮湿，但是地理位置很不错，离火车站和河坊街都很近，步行到吴山广场西湖都可以，楼下吃的比较多，很方便，有吹风，服务态度也还可以~', 'star': 5}
{'descr': '离火车站很近，有热水、宽带、和机顶盒电视。很干净。。。。', 'star': 5}
{'descr': '位置不错，离火车站很近，房间大小也还可以，就是马路边有点吵', 'star': 5}
{'descr': '很好，比其他连锁酒店的备品还要齐全', 'star': 3}
{'descr': '房间太小，设施过于陈旧，价格适中，离河舫街非常近。', 'star': 3}
{'descr': '环境还不错！挺好的', 'star': 3}
{'descr': '每次到杭首选元和,服务员态度好环境好,最喜欢,下次还住这家', 'star': 3}
{'descr': '很舒服~房间也很大 还算干净 也不是很吵', 'star': 5}
{'descr': '出差的人住个人感觉不是很划算，自己出去玩住住行。离车站近 吃饭方便！', 'star': 1}
{'descr': '酒店确实离城战很近，就五到十分钟的行走路程。订的是迷你房，房间看着挺干净的，硬件也可以的，可以上网，写着是无烟房，但是进去后，还是感觉烟味很重，睡了一晚，睡衣上都是烟味。。。不知道是不是因为自己比较敏感的关系。对住宿条件要求不高的，想住城站边上的可以考虑。', 'star': 5}
{'descr': '不错的酒店，性价比还是比较高的。', 'star': 3}
{'descr': '房间小点，旧了点，住一天没问题，位置非常好，交通，游玩，吃饭，购物，都方便，步行范围内，钱就是冲这个花的', 'star': 3}
