{'短评内容': '干净整洁舒适明亮', '短评打分': 5}
{'短评内容': '本人于11月10日入住一晚，酒店位置在客运站附近，交通比较方便。我入住的是单人房，位于大厦顶楼，视野开阔。属于公寓式酒店，适合家庭出游，设施一般，卫生、服务尚可，总体来说，性价比很高。', '短评打分': 5}
{'短评内容': '本人于11月12日入住一晚，酒店位置在客运站附近，交通比较方便。我入住的是单人房，位于大厦顶楼，视野开阔。属于公寓式酒店，适合家庭出游，设施一般，卫生、服务尚可，总体来说，性价比很高。', '短评打分': 5}
{'短评内容': '本人于11月13日入住一晚，酒店位置在客运站附近，交通比较方便。我入住的是单人房，位于大厦顶楼，视野开阔。属于公寓式酒店，适合家庭出游，设施一般，卫生、服务尚可，总体来说，性价比很高。', '短评打分': 5}
{'短评内容': '经济实惠,方便快捷。', '短评打分': 5}
{'短评内容': '酒店还是不错', '短评打分': 5}
{'短评内容': '地方好小 不过还行吧对的起这个价了', '短评打分': 4}
{'短评内容': '来大庆看对象临时入住，感觉很多年头了，房间设置、装修等都很老。总体来说，还算干净，但是总感觉被子、褥子、屋子有点潮。', '短评打分': 3}
{'短评内容': '住的圆床房，价格很便宜，但是实在是太小了，建议选其他价位的房间住。不过周边环境还可以，吃饭的话很方便的。', '短评打分': 4}
{'短评内容': '整体感觉一般', '短评打分': 3}
{'短评内容': '出差临时入住。感觉还可以，只是没有吹风机，没有地垫，单头花洒。被子感觉有味道，像没有换过的感觉。装修风格老久，综合价位，还可以。', '短评打分': 4}
{'短评内容': '性价比高宾馆外面看一般！房间确很好很干净服务也好！', '短评打分': 3}
{'短评内容': '很好家庭房很宽敞，卫生干净服务专业热情！', '短评打分': 3}
{'短评内容': '个人觉得是一家老店，地点不错、卫生间无语！', '短评打分': 3}
{'短评内容': '前台服务很好，早餐 很简单', '短评打分': 3}
