{'短评内容': '这个季节住佳泰，经济实惠，环境不错，而且', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '酒店很棒 环境都很好 满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常满意，在这有美好的回忆！', '短评打分': 5}
{'短评内容': '房间陈旧，味浓，房间过于拥挤，很一般', '短评打分': 2}
{'短评内容': '一般，无线网不好', '短评打分': 2}
{'短评内容': '很干净很好', '短评打分': 5}
{'短评内容': '好贵', '短评打分': 5}
{'短评内容': '酒店床很小 晚上还有蚊子 没太睡好 盯了一身包', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境不错哦！周边去哪里都很方便哦！', '短评打分': 5}
{'短评内容': '环境不错，房价便宜', '短评打分': 5}
{'短评内容': '有窗户，房屋设置的很紧凑但不显得拥挤，酒店服务有待提高！总体来说还可以吧！', '短评打分': 4}
{'短评内容': '安静，干净，可以休息好。', '短评打分': 3}
{'短评内容': '干净服务还不错', '短评打分': 4}
{'短评内容': '换了个房间，这回的房间大小还可以。', '短评打分': 3}
