{'短评内容': '干净，整洁，舒适！', '短评打分': 5}
{'短评内容': '干净整洁！舒适！', '短评打分': 5}
{'短评内容': '舒适干净！', '短评打分': 5}
{'短评内容': '离珊瑚小学近，十四分钟到的样子，但是还是不如珊瑚小学旁的招待所近，但是胜在有停车场，卫生环境都还不错，周边安静', '短评打分': 5}
{'短评内容': '没有早餐，这点不好。', '短评打分': 3}
{'短评内容': '这次又来了，酒店不错。', '短评打分': 5}
{'短评内容': '设施一般，没有早餐，入住期间正好赶上“糖酒会”，性价比不高', '短评打分': 4}
{'短评内容': '入住免费停车', '短评打分': 5}
{'短评内容': '第二次预订，不错！', '短评打分': 5}
{'短评内容': '同事推荐的酒店，很不错！', '短评打分': 5}
{'短评内容': '很好，相当的好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '硬件条件从价位上讲是足够好了、晚上入住的、前台新人、什么也不知道、什么也解决不料、入住之后楼道里是非常嘈杂、鉴于听不懂方言、不知道是打架还是怎么的、硬件没问题、服务有待加强', '短评打分': 5}
{'短评内容': '很好的，去了很多次态度也很好，就是其他房有些贵', '短评打分': 5}
{'短评内容': '房间挺大，布置很有创意，床很舒服，只是中央空调声音有点大，其他很满意！', '短评打分': 5}
{'短评内容': '房间不错 就是没有窗户 特别闷  不知道是不是特价的原因', '短评打分': 5}
{'短评内容': '位置好找，安静，是住宿休息的好地方，并且还有免费停车场；服务也很到位，唯一不足就是房间的WLAN太不方便了！', '短评打分': 5}
{'短评内容': '最好是能把带窗子的房子直接170块，不要弄成208返38', '短评打分': 5}
