{'短评内容': '在这里出差住了半个多月，很干净，老板人也很好', '短评打分': 5}
{'短评内容': '一般，晚上有蚊子，没找到蚊香……', '短评打分': 3}
{'短评内容': '安静，整洁，店家特别热心', '短评打分': 5}
{'短评内容': '老板人很好，很热情，像自己亲人。强烈推荐。在外人心温暖最重要。', '短评打分': 5}
{'短评内容': '很不错哦，安静，卫生不错，就是地图标记错了，找了半天。其实离五中很近～', '短评打分': 3}
{'短评内容': '已经是第三次住了，房间很干净，通风很好，就是家的感觉，出行、吃饭都很方便。下次还会去……', '短评打分': 3}
{'短评内容': '真心不错的大房 家庭味道 离著名莫家街很近步行即使 交通方便 关键是老板为人诚恳 还来火车站接 这是第二次住了 适宜长住 谢', '短评打分': 3}
{'短评内容': '很干净很热情，赞！', '短评打分': 5}
{'短评内容': '非常不错，适合长期居住，值得推荐。', '短评打分': 5}
{'短评内容': '是一个住家，没有电梯，晚上楼梯没有灯，女士入住晚上不好出门，老板很热情，比较干净。', '短评打分': 4}
{'短评内容': '不是太好找，不过老板娘有找里面的住客来带路，不过百度地图定位错误，导致打车还有不行都找错地方了。建行家属楼，楼有些破，房子有些旧，不过床单都是新洗的，很干净，在旺季去西宁能以180的价格订到房间已经不错。老板娘人不错，还帮忙联系司机，不过司机开价太高，700/天也不愿意跑，后来找到别人600*4跑的路线，介绍的司机竟然说5000都不一定愿意去。还一直建议删减行程，所以也就另外自找司机了。一共两个房', '短评打分': 4}
{'短评内容': '因为住的是住家式的，楼房很旧，安全是个问题。', '短评打分': 3}
