{'短评内容': '客服非常热情，房间非常好', '短评打分': 5}
{'短评内容': '服务态度好软件硬件都好', '短评打分': 5}
{'短评内容': '房间很大，设备都是新的。房间赠有矿泉水和咖啡。特别是卫生间很干净特别装了晾衣收缩架，除了正常洗具外居然还有润肤露。5星好评。', '短评打分': 5}
{'短评内容': '早上酒店来火车站接了。房间挺干净。由于是淡季，酒店内没有早餐，提供的早餐券可以在附近的早餐店吃一碗牛肉面或2个蔬菜包子和一碗豆浆。', '短评打分': 5}
{'短评内容': '所处环境不错，相对安静，出行方便。接待人员热情客气，对于便捷连锁酒店来说，房间足够大，设施，房间用品也规范。隔壁院子可停车（一晚十元，但有人看）。关于早餐，我八点上去没有开门。', '短评打分': 5}
{'短评内容': '卫生干净，服务好，交通方便，推荐入住。', '短评打分': 5}
{'短评内容': '卫生干净，服务好，交通方便，推荐入住。', '短评打分': 5}
{'短评内容': '酒店感觉不错 就是出了点小问题 一朋友 没带身份证去给驾照还不行 去了趟派出所 哎也算一种体验 酒店是不错的', '短评打分': 4}
{'短评内容': '房间大，真心不错。', '短评打分': 5}
{'短评内容': '好得很！建议朋友首选凯盛。赞一个！', '短评打分': 5}
{'短评内容': '环境可以，房间挺大，就是热水断断续续。', '短评打分': 4}
{'短评内容': '房间很大很不错，唯一就是隔音不太好', '短评打分': 4}
{'短评内容': '房间卫生很好，wifi不行，时有时断，离夜市也近', '短评打分': 4}
{'短评内容': '酒店各顶设施较齐全，性价比不错，不贵，对面就有早餐店，除了停车不太方便外，其他还是比较满意，推荐入住。', '短评打分': 4}
{'短评内容': '帮妈妈订的房间 听她们说挺不错的 前台很热情', '短评打分': 4}
