{'短评内容': '温泉水质一流', '短评打分': 4}
{'短评内容': '讲真两百多的住一晚又泡又住又早餐很抵！服务态度又不错不会因为便宜就态度恶劣！隔离系金山温泉但贵很多！酒店内吃饭比出面贵d味道过得去但对于我太咸了！酒店外观还可以但里面设施不是一般的旧，住的房间管道设计问题必须关厕所门不然就臭，但可以开窗开门通风！整体还是干净的！很多香港人来泡足以证明距实惠啦', '短评打分': 4}
{'短评内容': '房间及温泉设施有点旧，但卫生及其它方面做得比较好，物美价便，环境好，水质清，适合一家大小度假散心！！！', '短评打分': 4}
{'短评内容': '早餐还行吧，温泉不错，酒店不要铺地毯吧，赶紧改瓷砖吧', '短评打分': 3}
{'短评内容': '我是带孩子过来玩的，宝宝玩得开心，最主要是这里的水质好，天天换水的。这里的设施比较陈旧，但性价比还是不错的，特惠价不用200元可以包住包泡还有早餐，而早餐就是4个套餐任选，要求不太高的话还是可以的，肠粉挺好的', '短评打分': 4}
{'短评内容': '温泉好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '总体不错，就是房子太旧了', '短评打分': 4}
{'短评内容': '已经是第二次去温泉乐园了，这里环境清幽，温泉水质好，很适合家庭度假，餐厅食品也不错，很有地方特色，尤其是提供的早餐。有待改善的是设施设备，已经落后了，需要装修改造。总体来说，感觉来这里挺舒适的，性价比高。', '短评打分': 4}
{'短评内容': '水干净，是温泉水，一家人去好好玩……', '短评打分': 5}
{'短评内容': '总体来说还是很不错哦，我们家每年都会去，环境比较安静，温泉池也有很多不同的选择，现在还增加了些设施，棒棒哒！周边吃东西也很实惠。', '短评打分': 5}
{'短评内容': '人少，水好，不贵，酒店设施稍差', '短评打分': 4}
{'短评内容': '还可以，相对安静，有点旧。', '短评打分': 3}
{'短评内容': '酒店虽然旧一点，但环境还是很好的，泡完温泉皮肤滑滑的，用温泉泡的鸡蛋很香、很好吃。温泉水也很干净。', '短评打分': 5}
{'短评内容': '房间设施超级陈旧。', '短评打分': 1}
{'短评内容': '环境尚可，温泉区还好，管房服务员态度很差，其它合格。', '短评打分': 3}
{'短评内容': '酒店环境很好，有温泉泡池，是室外的，水质很好，温泉在山脚下，周边都是绿色植物，住宿环境很好', '短评打分': 5}
