{'descr': '十一加这里最好的酒店了。早餐快捷酒店的标准。', 'star': 3}
{'descr': '房间里的地毯太脏，洗澡花洒水太小，早餐一般，网络不好', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '酒店所在地理位置有点偏，但酒店的环境还是不错的，比较安静，房间的卫生比较干净，早餐品种多样很丰富味道不错。', 'star': 4}
{'descr': '酒店所在地理位置有点偏，但酒店的环境还是不错的，比较安静，房间的卫生比较干净，早餐品种多样很丰富味道不错。', 'star': 4}
{'descr': '冬天没暖气，空调制热，卫生还好', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '交通便利，干净卫生，服务态度好！', 'star': 5}
{'descr': '早点不错，安静', 'star': 5}
{'descr': '还不错！卫生服务佳，交通便利！', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '不错的', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
