{'descr': '。', 'star': 5}
{'descr': '。', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '服务差，前台业务不熟，晚上十一点保安睡的迷糊，大门关着看着顾客开门也看不见。极其影响酒店服务质量和形象。', 'star': 3}
{'descr': '就是都是靠大桥旁有点吵', 'star': 5}
{'descr': '给朋友订的。 朋友说很好。 颜色很温馨 床也很舒服 还不贵', 'star': 5}
{'descr': '环境挺好的，酒店位置不错，就是靠马路有些吵，但是服务人员态度不错，给我们换了房间整体感觉挺好的，新装修的', 'star': 5}
{'descr': '地理位置很好，不偏僻，住宿价格在旅游旺季也不高，房间整体布局合理，挺安静的', 'star': 5}
{'descr': '很不错，重新装修以后环境特别好，服务也很好，强烈推荐', 'star': 5}
{'descr': '算不错的，不算亏了。。', 'star': 5}
{'descr': '不用在京东订 酒店会员卡不享受积分 早餐还没发免费吃', 'star': 5}
{'descr': '还没去，用券便宜的，去了会追评', 'star': 5}
{'descr': '应该叫公路大桥店', 'star': 5}
{'descr': '缺点人情味', 'star': 3}
{'descr': '缺少人情味,空调不让使，暖气又不暖，作为来自南方的我，第一次到哈尔滨感到不适。', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '干净，保暖，服务好！', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '条件还可以，周围吃饭也比较方便', 'star': 4}
{'descr': '服务很好，非常不错，还会来', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '不错，到的时间比较晚，凌晨快两点了，就睡了一晚，感觉还行，太累了。早餐有点不太好，停车不方便，没有专用停车位，路边怕贴条。', 'star': 4}
{'descr': '不错，到的时间比较晚，凌晨快两点了，就睡了一晚，感觉还行，太累了。早餐有点不太好，停车不方便，没有专用停车位，路边怕贴条。', 'star': 4}
{'descr': '酒店干净整洁，地理位置方便，早餐虽要自己花钱，但价格便宜品种丰富，非常满意。', 'star': 5}
{'descr': '地理位置比较方便 靠近公路大桥 旁边的一条小街上还有小市场 房间很干净也很宽敞 美中不足的是靠近二环桥的房间会比较吵闹 别的都还不错 值得推荐', 'star': 5}
{'descr': '和所有的如家都一样 房间很好很干净  价格也很合适', 'star': 5}
{'descr': '很干净  就是临街的房间有一点外面的噪音  但是总体很满意   以后还会去！', 'star': 5}
{'descr': '蛮好，很舒适,吃饭也方便，好吃。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '下水道堵塞，不过在我的强烈要求下，服务员过来清理了，在下水道中清理出很多杂物。尽管如此，这个酒店住的还是很舒服的，也不吵。', 'star': 5}
{'descr': '新开的酒店，环境还不错，就是交通不太方便，如果有车那就没问题了', 'star': 5}
{'descr': '还行，就是有吵，不过还会再来的。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，就是在马路边上有点吵，周边吃饭购物还是蛮方便的，房间20平，干净卫生！服务态度挺好！', 'star': 5}
{'descr': '酒店一如既往的干净，早餐也挺不错，唯一遗憾的是床边没有电源', 'star': 5}
{'descr': '环境不错，房间很大，很舒服，服务态度也不错！', 'star': 5}
{'descr': '不错，服务挺周到的，地段也挺好', 'star': 3}
{'descr': '蛮好的，环境优雅，就是不给多开票，不过我消费了一些零食洗发水什么的也就差不多了。另外早饭很赞！', 'star': 5}
{'descr': '比较干净，不错。早餐也挺好的，就是卫生间比较小。', 'star': 5}
{'descr': '不错，比较干净，也很安净，就是偏僻点', 'star': 3}
{'descr': '非常好，新装修的，离松花江不远，附近也有家乐福。', 'star': 5}
{'descr': '价值环境不错', 'star': 3}
{'descr': '很不错下次还会入住。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '安静舒适，房间白色基调也很清爽。位置有些偏远，不好找。', 'star': 3}
{'descr': ' 性价比较高的快捷酒店 交通较方便', 'star': 3}
{'descr': '最令人印象深刻的是服务人员的态度很好。不好的地方就是酒店的水温始终不够热，洗澡好冷。其他地方都可以。', 'star': 5}
{'descr': '位置有点偏，其他的都感觉不错，性价比蛮高的', 'star': 5}
{'descr': '位置真是有点偏，不好找。房间还可以。感觉蛮新的。', 'star': 5}
{'descr': '对于一家经济型酒店来讲应该是很不错了，只是位置有点不太好找', 'star': 5}
{'descr': '此店环境优雅，选择汉庭不错！', 'star': 3}
{'descr': '房间属于正房，阳光直射，有点热。   希望能加大窗帘。', 'star': 5}
{'descr': '如家，一年出差200天，只要有如家，我都是第一选择。 如家般的感受。', 'star': 5}
{'descr': '酒店还是不错的，就是太偏远了，想打个车都太难了，还得坐公交几站之后才能打到车', 'star': 5}
{'descr': '干净，就是有点吵', 'star': 3}
{'descr': '不错，干净', 'star': 3}
{'descr': '一般般，看在价格便宜的份上，交通倒是还可以，临近高架，吵得很。', 'star': 5}
{'descr': '很好，非常干净。汉庭值得信赖~~~~~~~', 'star': 5}
{'descr': 'feichangbucuo...................................................................', 'star': 5}
{'descr': '交通还不错！但是洗澡的设备太差了！！！！水量小、水温时冷时热！！！', 'star': 1}
{'descr': '一如既往的干净', 'star': 3}
{'descr': '电视太小，看得眼睛很累。\n房间打扫的太晚， 问什么不能在上午打扫房间那？\n该酒店的解释是： 房间太多，服务员少，打扫不过来。', 'star': 1}
{'descr': '地点比较偏僻，跟一个饭店同排门面，很容易走错了。门口没有公交站台', 'star': 5}
{'descr': '  房间很舒服', 'star': 3}
{'descr': '床很舒服  屋子也很暖  就是位置距市中心较远  离飞机场近', 'star': 5}
{'descr': '房间很小，但价格便宜，网速不是很快！总体还不错！', 'star': 5}
{'descr': '不错，位置有点偏。房间设备比较新，也挺整洁，下次还会入住。', 'star': 5}
{'descr': '就是它了，住习惯了，虽然又开始塞黄色卡片了。以后还是在附近工作，常来常往。', 'star': 5}
{'descr': '房间还可以 温馨干净 不过相比于220的价位也不大 可惜没有停车场 门前停车很不方便', 'star': 3}
