{'短评内容': '房间卫生几好，服务员态度ok。', '短评打分': 5}
{'短评内容': '酒店还行吧', '短评打分': 4}
{'短评内容': '出行很方便，价格合理。', '短评打分': 5}
{'短评内容': '出行很方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，出城方便。服务，卫生没得说。', '短评打分': 4}
{'短评内容': '我要的是无烟房，结果发现是有烟房，一晩上的臭烟味，害我老打喷嚏不好睡觉，拜托，能不能讲点信用，客人的要求被简单粗暴地忽视了', '短评打分': 4}
{'短评内容': '1、实际房型跟图片不一致，虚假。2、比连锁酒店差多。3、早餐糟糕得很，少、还做得很差。不给拍照。比快捷都差多了。完全不可能是星级酒店。', '短评打分': 2}
{'短评内容': '卫生还可以，地点稍偏。', '短评打分': 4}
{'短评内容': '新装修，就是房间小，不过值得啦！还有不知道是开平GDP差还是啥，前台服务员态度太差了', '短评打分': 3}
{'短评内容': '经常住，没别的说的，很好', '短评打分': 3}
{'短评内容': '酒店很大，位置好，客运站不远，就是旧了点，但还是值得推荐', '短评打分': 3}
{'短评内容': '服务态度真的确实差，明明有房间却告知不定，怒了', '短评打分': 3}
{'短评内容': '这个酒店很一般，没有达到三星的标准，早餐没什么可吃的，服务员也在你旁边一起吃，还有老鼠会出来晨跑锻炼。', '短评打分': 3}
{'短评内容': ' 晚班前台服務員態度很差', '短评打分': 3}
{'短评内容': '比较老的酒店，里面设施还不错，环境挺好。订了两级豪华套房，挺满意，卫生也很干净。早餐太简单了，可选非常少。', '短评打分': 3}
{'短评内容': '酒店规模很大，开平第一次来但没选错！值得推荐！', '短评打分': 5}
{'短评内容': '酒店比较陈旧，设施设备年代比较久，房间很大，很干净，对于4星标准的酒店来说，服务就很一般，酒店规模算是比较大，有游泳池，足疗，水疗之类的。位置不在市内，但离长途车站比较近，周边没什么吃的，比较不方便，价格方面对于4星级的酒店来说，不算贵，还待早餐，但是响应的在服务和硬件上勉强也算不上有4星的标准，有待提高！而且对于这样的酒店不算太难。。', '短评打分': 5}
{'短评内容': '房间尚可，价格不错，但服务一般，早餐较差，另所谓的泳池非酒店自带，20元一次贵了点。', '短评打分': 5}
{'短评内容': '已经不止一次入住这家店了， 不错的环境，交通便捷！！ \n房间不错，挺大的。 \n还送早餐呢', '短评打分': 5}
{'短评内容': '与想象的有些差距，但总体还不错。在开平应算是老牌酒店了。', '短评打分': 5}
{'短评内容': '环境不错,挺安静的', '短评打分': 3}
{'短评内容': '我住的是單人豪華房間\n花園酒店的房間不錯, 房間設施挺新的\n不過根據4粒星(網站提供的級數,不知道是否正確), 酒店未算豪華, 浴室只有站浴\n\n另外\n酒店的check out時間比一般酒店遲, 是兩點鐘, 十分好\n可惜早餐票列明退房時間是12點, 會造成誤會\n\n另外\n花園酒店的早餐款式很多\n很欣賞酒店的用心\n不過由於我住房的幾天 天氣特別冷\n可能酒店的熱盤不足夠\n嚴冬寒冷 很多食物都無法保持熱騰騰', '短评打分': 5}
{'短评内容': '酒店太老了，住着很不舒服，我们订的是一个两室一厅的套房，其中一间大床房是新装修过的，倒还好，另外一个双床房就非常的旧了，一个人住着有点吓人，另外早餐也太过简单，下次来开平不会再订花园酒店了，会挑一家新一点的来住', '短评打分': 1}
{'短评内容': '酒店靠近国道，自驾游出入很方便。内部装修设施不算时尚，但还算比较新，卫生也挺好。明珠酒楼的菜做得不错，而且价格也不贵。推荐~\r\n美中不足的是前台态度冷淡了些，全程没什么笑容。而且，床垫很硬，建议更换。', '短评打分': 3}
{'短评内容': '+酒店性价比很高，附近有海鲜大排档，好吃不贵。推荐！', '短评打分': 5}
{'短评内容': '值得入住，餐饮很有特色,有很好的性价比，值得品尝！', '短评打分': 5}
{'短评内容': '酒店的服务还不错，有事找打个电话很快就过来了，效率很高。', '短评打分': 5}
{'短评内容': '酒店配套的娱乐休闲设施比较全，房间的配置设施也很达标。', '短评打分': 5}
{'短评内容': '设施配置有些陈旧了，但是卫生很好，打扫的很干净舒适度还不错。', '短评打分': 5}
{'短评内容': '环境还可以主要是对我来说比较方便，服务也很满意。', '短评打分': 5}
{'短评内容': '这家酒店建称时间不短了，环境装饰都比较一般，地理位置比较方便，娱乐设施齐全。', '短评打分': 5}
{'短评内容': '+OK', '短评打分': 5}
{'短评内容': '酒店在国道旁边，位置还行吧，娱乐设施挺多的，蛮喜欢。', '短评打分': 5}
{'短评内容': '服务员有求必应，需要什么东西 ，说一声就可以了，还是比较及时到位的。', '短评打分': 5}
{'短评内容': '服务不错，没什么不满意的，不过感觉房间应该再装修一下，看起来有点旧了。', '短评打分': 5}
{'短评内容': '设施可以，服务嘛不错，不会给客人脸色看，基本满意。', '短评打分': 5}
{'短评内容': '酒店有桑拿和KTV，可以放松放松，设施还是可以的。', '短评打分': 5}
{'短评内容': '酒店服务还可以，设施一般，不过对开平来说还算可以。', '短评打分': 5}
