{'短评内容': '无线网没用', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错 就是设施有点旧   性价比很高  值得住', '短评打分': 4}
{'短评内容': '房间真心的宽敞，空调声音小，床软睡着舒服，还看了nba，定价合适。说说酒店配置不足的地方：顶部没有大灯，也没有小台灯(辛好我自带了一盏)，希望能改进。', '短评打分': 5}
{'短评内容': '空调差，环境一般', '短评打分': 3}
{'短评内容': '造型，舒適度，滿分', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '好！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店已经老了', '短评打分': 2}
{'短评内容': '服务差  厕所堵两次', '短评打分': 3}
{'短评内容': '交通方便干净卫生推荐', '短评打分': 3}
{'短评内容': '还不错。嘎嘎嘎嘎嘎嘎嘎嘎', '短评打分': 3}
{'短评内容': '脏！本来订了经济房，到了前台推荐我入住什么豪华大床房，房间与什么足浴所共享一个三楼，就是那种传说中的足浴场所，熏天的烟味，粘糊糊的地板，墙壁脱落的墙纸散发着霉味。房间没烧开水壶电吹风，要特别问服务员拿。最出奇的是，订了两晚的，第二天竟发觉服务员根本不来收拾房间，纸巾浴帽牙刷等物品当然也不会补充了。欣慰的是，空调和热水花洒竟还是好的！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '性价比很高，公寓式酒店，比较时惠。', '短评打分': 3}
{'短评内容': '不错，房间很新，床单什么的都很干净，空间也很大，只是不能刷卡这点就不太方便了。', '短评打分': 5}
