{'短评内容': '出差住房，订购流程方便快捷', '短评打分': 5}
{'短评内容': '出差住店，商城定购比其他平台便宜', '短评打分': 5}
{'短评内容': '其他都还好，卫生很干净！外面实在太吵了！早上还很吵，空调还有点小问题', '短评打分': 4}
{'短评内容': '环境不敢恭维，晚上被楼下的音乐吵的没法睡', '短评打分': 2}
{'短评内容': '诱骗消费者', '短评打分': 1}
{'短评内容': '环境挺好，但是收费东西太多，连一次性拖鞋都要收费，只有公用的胶拖不收费，我也是醉了', '短评打分': 4}
{'短评内容': '优点：环境及周边都可以，为什么还可以，而且酒店赠送了优酸乳和小面包礼品。缺点：酒店内热水只够一个人洗澡。不过酒店的服务不好，前台以及房屋中心的老大爷态度冷淡。我定的是商务房，却给我了一间大床房，虽然我提出后给我换了。这是因为我经常出差，各种房型比较了解。如果其他人不理解呢？这是欺骗消费者。以次充好。如果您对入住要求不高的话可以考虑这家，说实话此价格真不如选择快捷呢。', '短评打分': 3}
{'短评内容': '6666', '短评打分': 5}
{'短评内容': '非常好吃的酒店', '短评打分': 5}
{'短评内容': '酒店收银员服务态度差', '短评打分': 4}
{'短评内容': '6666666666666', '短评打分': 5}
{'短评内容': '666666666666', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般般吧、还好', '短评打分': 3}
{'短评内容': '还好吧离娱乐场所近', '短评打分': 5}
{'短评内容': '房间很大，江景很赞。有地下停车场，停车费的话预订前最好要先咨询一下前台，我们咨询的时侯是被告知，只有现场付房费那种才有免费停车，也包括“到店付”那种！！如果不在意停车费的就无所谓啦！！', '短评打分': 5}
{'短评内容': '不说了，照片说话，床上虫子好多，而已服务态度不怎么样，看网上订的就是这个态度，垃圾狗眼看人低。', '短评打分': 3}
{'短评内容': '这酒店现在不是一般的吵，不是正常人能够忍受的，从8点开始到半夜3点，原来没有这样，现在是根本没法住人的。前台还理直气壮我们酒店就是这样的。和携程确认入住的天数也确认不清楚，住5天你就数不清楚？？？', '短评打分': 3}
{'短评内容': '这酒店现在不是一般的吵，不是正常人能够忍受的，从8点开始到半夜3点，原来没有这样，现在是根本没法住人的。前台还理直气壮我们酒店就是这样的。和携程确认入住的天数也确认不清楚，住5天你就数不清楚？？？', '短评打分': 3}
{'短评内容': '这酒店现在不是一般的吵，不是正常人能够忍受的，从8点开始到半夜3点，原来没有这样，现在是根本没法住人的。前台还理直气壮我们酒店就是这样的。', '短评打分': 3}
{'短评内容': '硬件设施陈旧，周边太吵，卫生也不好，这个价格完全不值', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
