{'短评内容': '酒店不难找，在小榄镇算是比较出名的酒店，早餐不错，广东风味，房间不算大但比较干净，可以看到江景，非常漂亮', '短评打分': 5}
{'短评内容': '酒店大方干净。看江景不二的选择，下次还会继续选择小榄大酒店。', '短评打分': 5}
{'短评内容': '11楼的房间味道太重了，早餐还可以，很有广东的味道', '短评打分': 5}
{'短评内容': '11楼的房间味道太重了', '短评打分': 5}
{'短评内容': '环境各方面都不错的', '短评打分': 5}
{'短评内容': '交通方便，环境卫生。', '短评打分': 5}
{'短评内容': '酒店不错，就是周边环境一般', '短评打分': 4}
{'短评内容': '酒店周边环境非常的不错，但是房间的环境设施有待提高。', '短评打分': 5}
{'短评内容': '自我感觉，不咋地', '短评打分': 4}
{'短评内容': '就是离目的地近', '短评打分': 4}
{'短评内容': '房间比较旧，卫生一般，位置太偏，无线网络根本无法上网，打电话给前台，还说网络就是这样的，没办法，一句话了事 ，后悔住了一晚', '短评打分': 3}
{'短评内容': '环境还不错，傍江', '短评打分': 4}
{'短评内容': '装修很久了去客房还麻烦要换电梯', '短评打分': 3}
{'短评内容': '母体good就我OK咯OK啦空', '短评打分': 5}
{'短评内容': '室内环境有点旧，整体还可以', '短评打分': 3}
{'短评内容': '中山小榄大酒店,地处江边,环境优美,安静,空气清新,住房条件也不错', '短评打分': 5}
{'短评内容': '不错,有机会我还会去的', '短评打分': 5}
{'短评内容': '还可以。酒店确实是江景酒店。不过装修比较老，但是这个价格算是值得了！', '短评打分': 5}
{'短评内容': '周围环境非常不错，交通方便，床很舒服，套餐也好吃。', '短评打分': 5}
{'短评内容': '厕所地板全是脏 。豪华房。风景还行。房间床头灯是关不掉的，必须爬到床下去拔掉电源。无语啊。。房间这次住的没吹风机。空调不凉。', '短评打分': 1}
