{'短评内容': '哈哈哈哈哈哈还行', '短评打分': 5}
{'短评内容': '装修比较老，位置比较别扭。', '短评打分': 3}
{'短评内容': '还凑合吧，价格比较实惠。', '短评打分': 3}
{'短评内容': '酒店一般，比较旧', '短评打分': 3}
{'短评内容': '装修很旧，不值这个价，没特别原因建议另选。', '短评打分': 4}
{'短评内容': '出差还可以吧', '短评打分': 4}
{'短评内容': '老装修，离办事点近，吃饭方便。', '短评打分': 5}
{'短评内容': '离会场比较近，只是在郊区，周边饭店比较少，如果要吃饭，只能打的士，去的几天北京天气不是特别好，感觉雾霾比较重。周边有庆丰包子铺。', '短评打分': 5}
{'短评内容': '到北京会议中心开会，是附近最好的选择。价位合适，交通比较便利，房间整洁，装修和服务都不错，服务比较到位。整体而言，值得推荐。', '短评打分': 4}
{'短评内容': '酒店性价比很高，整体还是不错的。具体会议中心、法院都很近，如果去两个地方办事，住这家酒店是最方便的了。', '短评打分': 5}
{'短评内容': '迷你小床，不过交通挺方便', '短评打分': 5}
{'短评内容': '大堂感觉一般，服务一般。位置很便利。', '短评打分': 4}
{'短评内容': '马马虎虎', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '突击', '短评打分': 4}
{'短评内容': '大床房面积还行，设施有点旧，热水比较小，其他都还可以，正常水准。', '短评打分': 3}
{'短评内容': ' 酒店住宿条件很差', '短评打分': 3}
