{'短评内容': '适合带孩子  位置很好  停车方便', '短评打分': 5}
{'短评内容': '说是步行街店其实离得很远的，房间都是那样了，床品毛巾真的有些旧了，淋浴出水也很小，毛巾被子都有些漂洗不干净的感觉，酒店服务热情，交通还可以，对面可以停车', '短评打分': 5}
{'短评内容': '每次学习都住这里，感觉很有安全感！出门左拐过地道就是伟星时代大厦，大厦右边就是步行街，很多烧烤小吃，非常方便，还有水果店！真是不错哈', '短评打分': 5}
{'短评内容': '我住过最舒服的宾馆，感觉很不错', '短评打分': 5}
{'短评内容': '不错，房间还好', '短评打分': 5}
{'短评内容': '位置好 干净清爽', '短评打分': 5}
{'短评内容': '酒店在景区附近，很方便，服务不错。', '短评打分': 5}
{'短评内容': '不错哇，干净，房子也够大，京东订价格低102就可以做大床房', '短评打分': 5}
{'短评内容': '很好，干净整洁！', '短评打分': 5}
{'短评内容': '好的好的，，，', '短评打分': 5}
{'短评内容': '非常好的一次入住体验！交通位置极好，服务态度好！', '短评打分': 5}
{'短评内容': '在市中心，方便。', '短评打分': 5}
{'短评内容': '很不错，住很多次', '短评打分': 5}
{'短评内容': '非常宽敞', '短评打分': 5}
{'短评内容': '服务态度非常棒，很好的一次住房体验', '短评打分': 5}
{'短评内容': '性价比高，周边环境还可以，吃喝玩乐都有，交通方便，价格公道，早餐丰富，价格再优惠一些就更好了，以后还会住！', '短评打分': 3}
{'短评内容': '服务周到！方便安静', '短评打分': 5}
{'短评内容': '很不错，非常好。。就是十二月怎么没有这项预定了，太遗憾了。不过还是赞一个。', '短评打分': 5}
{'短评内容': '设施有点老。其他很好。服务很好。性价比非常高，怎么现在没有这项预定了？遗憾。', '短评打分': 5}
{'短评内容': '都还不错!设备齐全，价格也合适!', '短评打分': 4}
{'短评内容': '第二次定晚了，价格贵了点，原来微信绑定携程送的优惠券用不了，不知道怎么回事，客服也解释不清楚，不过如家的服务到是不错，', '短评打分': 5}
{'短评内容': '京东定的就是便宜，比我这个白金会员还要便宜。', '短评打分': 5}
{'短评内容': '酒店不错，酒店环境神马的挺好，就是不能再网上把房间预定了，到了随机给房间，洗澡水量很足。', '短评打分': 5}
{'短评内容': '还不错就是网络网上不能用了不知道怎么回事', '短评打分': 5}
{'短评内容': '就是便宜，也不能要求太高', '短评打分': 4}
{'短评内容': '交通很方便，房间比较干净，中央空调不给力，开到最低也是温吞吞的，好在入住的那天天气不热。', '短评打分': 5}
{'短评内容': '很干净很安静，而且房间还很大，不错！距离安徽师范大学很近，前台服务还可以，以后有机会还要去这里住！', '短评打分': 5}
{'短评内容': '很干净很安静，而且房间还很大，不错！距离安徽师范大学很近，前台服务还可以，以后有机会还要去这里住！', '短评打分': 5}
{'短评内容': '总体感觉不错，交通便捷，卫生条件也满意。下次继续订购。', '短评打分': 5}
{'短评内容': '总体感觉不错，交通便捷，卫生条件也满意。下次继续订购。', '短评打分': 5}
{'短评内容': '入住的是双人标准间~，房间整体感觉很好，卫生间稍小，卫生等各项都很好，服务很周到，另外酒店位置很好，基本满足我的出行需求~', '短评打分': 5}
{'短评内容': '入住的是双人标准间~，房间整体感觉很好，卫生间稍小，卫生等各项都很好，服务很周到，另外酒店位置很好，基本满足我的出行需求~', '短评打分': 5}
{'短评内容': '干净，服务周到，且没有骚扰电话。交通方便，离商业区近。', '短评打分': 5}
{'短评内容': '干净，服务周到，且没有骚扰电话。交通方便，离商业区近。', '短评打分': 5}
{'短评内容': '环境还可以，但是居然没有电吹风！', '短评打分': 3}
{'短评内容': '环境还可以，但是居然没有电吹风！', '短评打分': 3}
{'短评内容': '床很大，卫生间也还可以，就是空间有点小', '短评打分': 3}
{'短评内容': '床很大，卫生间也还可以，就是空间有点小', '短评打分': 3}
{'短评内容': '很舒适，很温馨，卫生间很有情调，我很喜欢', '短评打分': 5}
{'短评内容': '很舒适，很温馨，卫生间很有情调，我很喜欢', '短评打分': 5}
