{'短评内容': '舒适干净！服务态度好！不错！', '短评打分': 5}
{'短评内容': '环境很好。干净卫生。前台服务热情', '短评打分': 5}
{'短评内容': '酒店位置很好，在市中心，有立体停车位，早餐很丰盛，服务人员很热心，房间还有甜点呢！退房时总台美女很细心……', '短评打分': 5}
{'短评内容': '好 服务不错，环境也好，安静', '短评打分': 5}
{'短评内容': '早餐不错，前台服务人员态度好。很亲切。房间环境设施不错。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '设施有点旧，特别是办公桌', '短评打分': 4}
{'短评内容': '还不错吧，就是卫生间环境太老旧', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '价格合理，环境不错，周边有丰富商业街', '短评打分': 5}
{'短评内容': '还可以老酒店了，位置挺好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间的位置不错，只是无线网的信号有点差。早餐和停车也比较方便。是老的市中心。离得不远可以到齐山游玩。景点不收门票。人不多，还不错，值得去。酒店服务不错，年三十也能做好服务值得点赞！停车方便，对面就有小吃，附近有大型购物中心，交通方便，值得选择 ', '短评打分': 5}
{'短评内容': '房间的位置不错，只是无线网的信号有点差。早餐和停车也比较方便。是老的市中心。离得不远可以到齐山游玩。景点不收门票。人不多，还不错，值得去。酒店服务不错，年三十也能做好服务值得点赞！停车方便，对面就有小吃，附近有大型购物中心，交通方便，值得选择 ', '短评打分': 5}
{'短评内容': '房间的位置不错，只是无线网的信号有点差。早餐和停车也比较方便。是老的市中心。离得不远可以到齐山游玩。景点不收门票。人不多，还不错，值得去。酒店服务不错，年三十也能做好服务值得点赞！停车方便，对面就有小吃，附近有大型购物中心，交通方便，值得选择 ', '短评打分': 5}
{'短评内容': '酒店位于市中心，房价与硬件设施不匹配。价格偏高，前台服务人员态度很好。', '短评打分': 5}
{'短评内容': '房间挺大，就是有点陈旧和嘈杂，总体还不错，性价比较高。', '短评打分': 3}
