{'descr': '适合商务出差，在商务区内还算方便。', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '早餐稍微简单了点，房间还是不错的。', 'star': 5}
{'descr': '简单干净安静。', 'star': 4}
{'descr': '挺干净，挺肃静。', 'star': 5}
{'descr': '准备到附近的学校考试，离家太远，只好提前一天住在酒店里了', 'star': 5}
{'descr': '不错， 每次开车去北京都住这里。', 'star': 5}
{'descr': '不怎么样。。', 'star': 3}
{'descr': '交通方便，停车方便。每次开车进京首选。', 'star': 5}
{'descr': '一般吧，还可以', 'star': 3}
{'descr': '太老了太旧了太隐蔽了，服务态度挺不错', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '很好。。。。', 'star': 5}
{'descr': '酒店周边环境高大上，办公好地方。距离地铁站不远，离会展中心特别近，选择这里不错的，周边的外卖也很多。饭店也不错，有庆丰和兰州拉面啥的', 'star': 4}
{'descr': '方便，周边沒有什麼', 'star': 3}
{'descr': '酒店还行，房间也挺大的，水杯都是一次性的，让人放心。总之不错', 'star': 5}
{'descr': '离客户那里很近，北京雾霾实在是太大，酒店就坐落在某个商务楼的中心，同仁医院亦庄分院后门那里，因为不挨着马路，比较安静，但是不导航不是很好找，暖气很厉害，外面寒冬，房间盛夏，设施都不错，每天还有两瓶免费矿泉水。四楼洗澡水比较小，下水道有点不是很通。比较吐槽就是早上自助餐要18元，晚上自助餐要38，有点贵啊。', 'star': 5}
{'descr': '北京雾霾是在是太大，酒店就坐落在某个商务楼的中心，同仁医院亦庄分院后门那里，因为不挨着马路，比较安静，但是不导航不是很好找，暖气很厉害，外面寒冬，房间盛夏，设施都不错，每天还有两瓶免费矿泉水。四楼洗澡水比较小，下水道有点不是很通。比较吐槽就是早上自助餐要18元，晚上自助餐要38，有点贵啊。', 'star': 5}
{'descr': '非常棒', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '下午办的入住手续，然后就出去吃饭了，晚上8点多临时有事没住，还是收了一天房费', 'star': 3}
