{'短评内容': '是因为太久不知道该国经济学家在你心里是不是要', '短评打分': 5}
{'短评内容': '其他还可以，就是楼上KTV非常吵！超级吵！真的很吵！想不明白酒店里的KTV为什么隔音如此如此如此之差！！！大半夜、一首首劲爆歌曲！如何入睡！', '短评打分': 3}
{'短评内容': '酒店有点老，总体还可以', '短评打分': 4}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '很好很舒适', '短评打分': 5}
{'短评内容': '可以很好', '短评打分': 5}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '不错，继续住。', '短评打分': 5}
{'短评内容': '房间很好，早餐很好', '短评打分': 4}
{'短评内容': '房间很好，早餐很好', '短评打分': 5}
{'短评内容': '房间很好，早餐很好', '短评打分': 5}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '干净 服务不错 象山出差一直住这家酒店', '短评打分': 5}
{'短评内容': '服务态度好，房间还免费升级了', '短评打分': 5}
{'短评内容': '服务态度好，房间还免费升级了', '短评打分': 5}
{'短评内容': '硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！硬件软件都不错！', '短评打分': 5}
{'短评内容': '太新的酒店，新的连房间里装修的味道都没有褪尽，新的连房间里的水泥印都还在，不喜欢这样“新”的感觉。不过，房间比较大，设施看上去还不错，但房间的窗设计得太失水准了。', '短评打分': 1}
{'短评内容': '房间里面设施很好，没有新装修的味道，下次来还会入住。', '短评打分': 5}
{'短评内容': '酒店档次很高，有自己的特色，服务到位，值得推荐', '短评打分': 5}
