{'短评内容': '位置比较好的酒店', '短评打分': 5}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '非常不错的酒店，环境什么都不错。', '短评打分': 5}
{'短评内容': '很不错 午饭好吃 位置适合 在江岸区 交通便捷 多条公交和轨道交通在此，就是有点堵 amazing！', '短评打分': 5}
{'短评内容': '还可以的吧', '短评打分': 4}
{'短评内容': '房间很大，外面有沙发，门口打的或滴滴叫车都可以，交通方便，商务出行首选！', '短评打分': 5}
{'短评内容': '酒店装修时间久，设备老化，味道重。酒店门口就是引桥，四面八方走路出门都不方便，住了一晚再也待不下去了', '短评打分': 2}
{'短评内容': '服务好，环境好，地理位置优越、方便出行，棒棒哒', '短评打分': 5}
{'短评内容': '交通方便，服务很好', '短评打分': 5}
{'短评内容': '对的起这个价格', '短评打分': 5}
{'短评内容': '服务不错，有雨伞，送小食品', '短评打分': 4}
{'短评内容': '太旧了，网速也慢，不会再住。', '短评打分': 2}
{'短评内容': '很不错喔，物有所值！', '短评打分': 5}
{'短评内容': '可以，我来了好几次了，打算以后来还是在这里吧，上次朋友告诉我在这里蛮好的，我这次特意来这里看看，结果还是不错', '短评打分': 5}
{'短评内容': '总体上还可以，距离办事地点比较近', '短评打分': 4}
{'短评内容': '位置不错，设施很新，卫生一流，房间的床垫很舒服。服务还有改进的空间，前台感觉不是很热情，可能是太忙了吧。还是值得推荐的酒店。', '短评打分': 5}
{'短评内容': '位置不错，设施很新，卫生一流，房间的床垫很舒服。服务还有改进的空间，前台感觉不是很热情，可能是太忙了吧。还是值得推荐的酒店。', '短评打分': 5}
{'短评内容': '飯店房間很大，但飯店房間設備較舊了', '短评打分': 4}
{'短评内容': '酒店有点老，但是服务还是不错。', '短评打分': 4}
{'短评内容': '房间干净整洁。很安静。设施齐全。楼层也很好。', '短评打分': 5}
{'短评内容': '装修老旧，不值得推荐！电视机还是台式，地毯跟招待所差不多！', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '价格偏高，设备陈旧，再降低100元-150元，可以再考虑入住，比中原国际大酒店价格低的很多的格瑞思值得推荐', '短评打分': 1}
{'短评内容': ' 服务一般,信价比低', '短评打分': 3}
{'短评内容': '整个酒店给人的感觉就是闹哄哄的，主要这是长江委开会的定点酒店。所以没什么说的，如果你在附近开会，这是家不错的酒店，比较近，档次也是中上。如果不是开会，我不建议推荐这家酒店，好像去哪儿都比较远的样子，武汉打车也不好打。酒店内的设施中等，第一天晚上临街，因为双层玻璃，不算太吵。如果可能的话，最好还是要间不临街的房间。隔音效果一般，隔壁两个女孩子吵到凌晨2点。', '短评打分': 1}
{'短评内容': '环境很不错，服务也还可以，卫生条件OK！', '短评打分': 5}
{'短评内容': '服务人的英文不好。相比武汉其他的酒店，其他的还过得去。', '短评打分': 5}
{'短评内容': '酒店太老了，需要服务提升，但是离办事的地方近就选择了！', '短评打分': 5}
{'短评内容': '酒店很陈旧，装修太老，前台服务很好。免费升级成套房了', '短评打分': 3}
{'短评内容': '周围环境一般，性价比一般！办事方便！其他还好了！', '短评打分': 5}
{'短评内容': '交通方便。环境也还好，服务一般，就是餐饮有点贵，', '短评打分': 5}
{'短评内容': '酒店一般，设施太旧。', '短评打分': 3}
{'短评内容': '酒店陈旧，没有4星标准，连基本的沐浴露也是廉价货，实在没看出来是4星的', '短评打分': 1}
{'短评内容': '“己入住”', '短评打分': 3}
{'短评内容': '位置不错，房间也算可以。装修有些老，尤其是卫生间。', '短评打分': 5}
{'短评内容': '这个酒店离我汉口的朋友较近，所以这几年每次回汉口我都要来这家酒店住几天，基本上都是住11楼的商务单间，因为装修比较新，也干净整洁，但是电视信号很差，很多频道是雪点或者没信号，希望改进。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，服务很好，硬件还行，就是装修方面不够时尚，可能是老酒店的原因吧，最重要是价格合理，性价比较高，还会选择继续入住。', '短评打分': 3}
{'短评内容': '酒店前台服务非常好，住起来很舒适，价位也很公道，值得赞的一家酒店。。。。', '短评打分': 5}
{'短评内容': '卫生间嗅味很大,下水道透溴气.毛巾很差.与四星级酒店标准很不符.', '短评打分': 1}
{'短评内容': '位置不错，但价格贵了点。', '短评打分': 5}
{'短评内容': '酒店大堂柜台内很乱.服务员形为不规范.根本不符四星标准.卫生间更差.下氷道管回流臭气.门框脚腐浊坏.毛巾很旧.早晨40元自助歺没什么吃.总体感觉价格达刭四星级.硬件和服务标准和二星级差不多.如果不是区位好,和长委在那里优势.这个四星级酒店生存很危险.', '短评打分': 1}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '酒店设施非常陈旧，服务业很一般，交通很不方便，叫出租都很困难。', '短评打分': 1}
{'短评内容': '很老的酒店了，设施陈旧，卫生也很一般。只是位置不错，紧邻长江二桥靠近江边。不推荐！', '短评打分': 1}
{'短评内容': '大堂接待效率低', '短评打分': 5}
{'短评内容': '非常不错的酒店，尤其是前台的MM们，很漂亮，很热情.下次还会入住.', '短评打分': 5}
{'短评内容': '卫生还可以很干净，设施完善，地理位置交通方便，服务热情周到，性价比很好', '短评打分': 3}
{'短评内容': '房间设施比较旧，距离机场近', '短评打分': 5}
{'短评内容': '酒店房间陈旧了一些设施也比较老,位置还可以离办事地点很近所以只能选择这家酒店,卫生和服务还不错.', '短评打分': 5}
{'短评内容': '最近几年每年回国到武汉探亲访友基本上都住这家酒店，因为离同事朋友比较近，要知道武汉上下班高峰特别是出租车交车的时候打的太不方便了。主要是住位于11楼518的商务单人间，因为装修不久，房间很宽大明亮，地毯还比较干净，有挂墙的液晶彩电，卫生间也很现代，感觉不错，最早我也曾住过低档点的房型，感觉实在是不配四星，这次去也短暂在套间住过半天（因为我定的房还没腾出来就另开了间套房让我暂时休息），感觉比较老旧了', '短评打分': 5}
{'短评内容': '位置不太好，乘车不方便，价格偏高，服务和环境还行，设施也不错', '短评打分': 5}
{'短评内容': '&lt;br /&gt;\n和该酒店一起的还有金三九酒店在惠济路,金三九银海酒店在江汉二路也不怎么样最好也别去其实这些酒店付近也有一些不错的同类酒店肯定会比这三家好呀  :&lt;br /&gt;\n&lt;br /&gt;\n&lt;br /&gt;\n&lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '酒店不太好特别是大堂 感觉太不好了不象四星级的房间也不怎么样 服务太一般了 不是不值价是太不划算了希望有所改进', '短评打分': 3}
