{'短评内容': '五星标准，闹市中，KTV、浴场娱乐配套齐全，价格上档次', '短评打分': 5}
{'短评内容': '恩 还可以  延迟退房不错不错(*๓&acute;╰╯`๓)♡', '短评打分': 5}
{'短评内容': '酒店硬件可以的，周围吃饭也比较便捷，早餐比较丰富，值得推荐，还送了礼物，谢谢', '短评打分': 5}
{'短评内容': '早餐丰富、房间干净。', '短评打分': 4}
{'短评内容': '酒店大厅不错有了圣诞节的氛围，服务员的服务一般，房间还可以，早餐一般，总体价格有点偏高。', '短评打分': 5}
{'短评内容': '早餐还可以，房间宽敞干净。服务很好，送水果酸奶。因为下雨前台还送了一把雨伞。', '短评打分': 5}
{'短评内容': '早餐不错 房间环境也不错', '短评打分': 5}
{'短评内容': '好的', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间 比较大，设施较好。早餐丰富，不错的酒店', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 5}
{'短评内容': '房间蛮干净的。床也舒服，这次行程很赶，晚上到店后基本上就休息', '短评打分': 5}
{'短评内容': '帮老爸定的，据说还是很不错的', '短评打分': 5}
{'短评内容': '环境是不错。很干净。', '短评打分': 5}
{'短评内容': '还算不错的酒店', '短评打分': 4}
{'短评内容': '还可以吧，中等', '短评打分': 4}
{'短评内容': '每次出差都会选择这里', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '一般太一般，餐饮较贵，总台服务一般。', '短评打分': 4}
{'短评内容': '一般太一般，餐饮较贵，总台服务一般。', '短评打分': 4}
{'短评内容': '一般太一般，餐饮较贵，总台服务一般。', '短评打分': 4}
{'短评内容': '设施很不错的酒店，在当地也算很有名气的，商务出行非常适合的酒店', '短评打分': 5}
{'短评内容': '环境很好房间很大很干净自助也很多值得推荐下', '短评打分': 5}
{'短评内容': '在衢州来说算是一家最好的酒店了，总体还可以。', '短评打分': 3}
{'短评内容': ' 酒店环境不错，设施全新，但服务质量还很加强。', '短评打分': 3}
{'短评内容': '衢州最好的酒店衢州最好的酒店衢州最好的酒店衢州最好的酒店衢州最好的酒店', '短评打分': 5}
{'短评内容': '衢州最好衢州最好衢州最好衢州最好衢州最好衢州最好', '短评打分': 5}
{'短评内容': '酒店客房不错，早餐过于简单。住十楼，夜间歌声扰人。总体不错。', '短评打分': 3}
{'短评内容': '房间很大，很不错！衢州整个地方这家酒店已经是当地最好的酒店了。', '短评打分': 5}
{'短评内容': ' 房間很棒', '短评打分': 3}
{'短评内容': '酒店环境不错，住着很舒适，赞一个！', '短评打分': 3}
{'短评内容': '入住的是行政豪华单间，房间还不错，服务也可以', '短评打分': 5}
{'短评内容': '这家应该是当地算很好的酒店了吧。各方面都不错', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 3}
{'短评内容': '新开的酒店，设施新但服务各方面需要改善的地方很多，服务人员的态度好但貌似服务行业经验不足，刚好入住日又遇到大型会议人多，感觉不是很有次序和效率。地方不在衢州城区，有点偏，不过衢州也不大，还好。二楼的中餐厅比较推荐，味道好。', '短评打分': 1}
{'短评内容': '可能是衢州最好的酒店吧，没有找到比这更好的。满意推荐', '短评打分': 5}
{'短评内容': '酒店整体不错,就是吃早餐时服务员太度不好.', '短评打分': 3}
{'短评内容': '早餐餐厅服务水平需要提高。送咖啡来没送咖啡勺。点菜档的小厨师把订单搞混，等半天没有，过去问结果早被别人拿走了。无语。可能开业时间不长，还需要时间磨合。礼宾部的小伙子服务不错。', '短评打分': 5}
{'短评内容': '酒店设施很新，房间布置的挺舒服。我订的是豪华单间和标准间。不知道早餐如何，明天去试试。', '短评打分': 3}
{'短评内容': '非常好，以后去衢州就住这里了非常好，以后去衢州就住这里了非常好，以后去衢州就住这里了非常好，以后去衢州就住这里了非常好，以后去衢州就住这里了非常好，以后去衢州就住这里了', '短评打分': 5}
{'短评内容': '非常好就是偏了一点，以后去衢州就住这里了', '短评打分': 5}
{'短评内容': '\u3000衢州铭豪大酒店拥有设备齐全、欧陆时尚设计的总统套房、商务套房、行政套房、豪华客房、标准房，有中央空调及独立的温控系统。提供宽带上网设施、国内（国际）直拨电话、国际卫星电视、VOD点', '短评打分': 5}
{'短评内容': '房间空间很大，设施也很好，自助餐不错。周边有点不方便', '短评打分': 3}
{'短评内容': '不错的酒店，开业1年不到，比较新，里面设施都是按照五星标准设置，靠近衢江边上，但是距离市区远了点，比较偏。', '短评打分': 5}
{'短评内容': '性价比很高,值得入住.自助餐种类稍少.房间里的装修很新.房间里的电脑很好用,很多喜欢玩的游戏,数字电视也很给力.下次肯定还会去,5星的标准房费才4百多.', '短评打分': 5}
{'短评内容': '十门市价有更便宜的', '短评打分': 3}
{'短评内容': '值价相当，就是晚上蚊子太多了。', '短评打分': 3}
