{'短评内容': '服务态度不错，店面不大实则里面内有乾坤。', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置可以。旁边就是公交车', '短评打分': 5}
{'短评内容': '别的都还好，就是外面太吵了，灯也不够亮', '短评打分': 4}
{'短评内容': '房间卫生不好，有气味', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比蛮不错的', '短评打分': 5}
{'短评内容': '很不错的～蛮喜欢这个地方！！学校附近，而且下面吃的也多！最适合比较懒而且比较喜欢干净的人，对于我就喜欢近，是一个比较好的选择！！', '短评打分': 5}
{'短评内容': '继续连续入住该酒店，还是挺不错的，价格也比较实惠，每次都是在这里给家人订房子，毕竟离家里很近的嘛，可以的。', '短评打分': 5}
{'短评内容': '经常订这家酒店，因为我父亲要在这边装修房子，所以每次都住这里，这里还挺卫生的，蛮方便，价格的话也不贵。可以', '短评打分': 5}
{'短评内容': '这房间，我进去10分钟门口就有人发卡片，塞了10多张在门口，我就纳闷了，他怎么知道这房间里有人，还知道这房间里就一定是个男人，是不是店员自己跑上去塞在门口的，想必大家都懂了，当初订这里就是看重卫生，可是虫子特多，被咬了两个大脓包，过去5天了还没好，要是小孩被咬了估计要去打针了，早上外面6，7点就有躁音，车声和工地上的声音，绵绵不绝，至于环境，反正地板很旧，很多划痕。有空调和电脑，我我只能说要是有其', '短评打分': 3}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '精致', '短评打分': 5}
{'短评内容': '房间挺干净 不算很大 前台校对信息校对了挺久', '短评打分': 4}
{'短评内容': '和老公带着儿子住的，房间还挺大，就是窗户是靠楼梯的，有点不安全，打电话前台可否多送床被子，前台说没有，要的话要等到十二点，酒店难道连备用的被子都没有？', '短评打分': 3}
{'短评内容': '空调总漏水', '短评打分': 3}
{'短评内容': '酒店比较人性化，有事情马上响应，出差可以考虑。', '短评打分': 5}
{'短评内容': '价位合理，比七天酒店的优势，在于房间有电脑。', '短评打分': 5}
{'短评内容': '位置还可以，前台服务员态度好，也能够开发票，不错。', '短评打分': 5}
{'短评内容': '各方面总起来很好的，确实如果电脑上网不限定电脑就更好了，自己搞个文件什么的很麻烦', '短评打分': 5}
{'短评内容': '服务好，价格适中，环境不错，内部设计很好', '短评打分': 5}
{'短评内容': '房间小巧实用，设备齐全，周围吃行都很方便。值得推荐。', '短评打分': 5}
{'短评内容': '在大学校区周围，很方便，房间小巧实用，充满了艺术氛围。', '短评打分': 5}
{'短评内容': '好，不错！经常住着，洗澡上网都方便，就是网速不给力！房间太小了', '短评打分': 5}
{'短评内容': '环境很,位置也不错,很舒适,值得入住\\\\', '短评打分': 5}
{'短评内容': '干净，洗手设计不合理，停车不fangb\n', '短评打分': 3}
{'短评内容': '不错，房间很干净，有电视、电脑，很方便，住着很舒服。', '短评打分': 5}
{'短评内容': '这家店性价比很高的，环境也不错，旁边吃的又多。强推！', '短评打分': 5}
{'短评内容': '  小了点，有点小旧  洗手间的马桶 不好用  淋浴的下水有问题 下不去水  这个很不方便啊', '短评打分': 5}
{'短评内容': '很有创意的一个旅馆，环境舒适，价格实惠，值得推荐', '短评打分': 5}
{'短评内容': '还不错，就是开始的那间电脑不是很好，但是还是来修了，不错', '短评打分': 5}
{'短评内容': '房间太小的啦，东西倒是齐全。地方还好找，市中心', '短评打分': 5}
{'短评内容': '房间虽小，装饰有气氛。适合年轻人入住。价格合理。', '短评打分': 5}
{'短评内容': '还不错，虽然房间有点小，但是这个地段这个价格很划算', '短评打分': 5}
{'短评内容': '这个房间装修得很有艺术气息,房间的各个设施都很好!价格很合适,适合经济型的人入住!觉得美中不足的就是浴室在洗澡时有股下水道的气味~', '短评打分': 3}
{'短评内容': '酒店位置一般，周边环境一般，比较老旧的城区。房间之间装修有点儿特色。但是，服务员态度一般，不能刷卡。房间很小，也就摆2张大床的空间，卫生间只有一个帘子，没有门，马桶和洗脸池紧挨着，危险系数较高。刚进屋时一股厕所臭味，开门、开窗放好一会儿。机器用的还是无盘工作站，本来想连自带的小无线路由用WiFi的，未果。总得来说以129元的价格，比较我之后住的154元的锦江之星，服务和硬件上的差异远远大于价格上的', '短评打分': 1}
