{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '还不错，就是周边环境一般。', '短评打分': 5}
{'短评内容': '还不错，交通方便', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '还行，早餐不错', '短评打分': 4}
{'短评内容': '可以 很舒适', '短评打分': 5}
{'短评内容': '交通十分便利，周围的美食也挺多。服务态度十分好。', '短评打分': 5}
{'短评内容': '环境服务都非常好，每次出差都住那里', '短评打分': 5}
{'短评内容': '很方便。。', '短评打分': 5}
{'短评内容': '位置不错，环境好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置不错，环境很好', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '房间较大，条件可以。', '短评打分': 5}
{'短评内容': '房间挺干净，感觉不错', '短评打分': 5}
{'短评内容': '短期住可以，出差周期长的话估计会崩溃？房间不隔音，楼上走路听的清清楚楚，半夜三更能听到楼上搬东西', '短评打分': 3}
{'短评内容': '出差首选的一家酒店。各方面都还不错，最大的问题是房间不隔音，楼上走路搬东西声音很大，半夜三更被吵醒', '短评打分': 3}
{'短评内容': '很好，我住了4天，我回乐山的话一定又会选这一家。房间挺大的，干净的。酒店位置方便。前台态度非常好。', '短评打分': 5}
{'短评内容': '酒店环境不错，装修简单整洁', '短评打分': 3}
{'短评内容': '本来没有对这个小宾馆有更多的期待，只是因为它的现金返现较其他酒店高，就选了它。入住后的感觉还是不错的，干净，安静，早餐也不错的。位置也好，到其他公司去办事都很方便，附近的饭店也不少，就餐也很方便。挺好', '短评打分': 5}
{'短评内容': '还可以，吃东西也很方便，房间挺温馨，不大。交通便利。', '短评打分': 5}
{'短评内容': '酒店位置较好，服务好。房间靠马路稍微有点吵。。整体较满意。。。', '短评打分': 3}
{'短评内容': '比上次入住,感觉它的床垫换了,当然就可以了.', '短评打分': 5}
{'短评内容': '陈旧，设施简单，很一般的酒店，价格不贵，但没有一些新修的商务酒店干净舒适', '短评打分': 1}
{'短评内容': '交通方便。价格适中。装修有些陈旧了，卫生条件还有改进的空间', '短评打分': 5}
{'短评内容': ' 还不错，很方便。下次还会入住', '短评打分': 3}
{'短评内容': ' 美客美家挺干净，价格不贵，服务态度很好。不过我们想吃乐山烧烤，在周围找不到，离肯德基等快餐店也比较远。', '短评打分': 3}
{'短评内容': '十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错十分不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间没有想象中的好，很多装饰都显得有点陈旧了，特别是墙壁给你感觉很不精致。房间比较宽敞，也比较干净，总的来说还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置不错，就在市中心，周边有很多购物的地方还有小吃店，旁边就是公交车站，交通出行方便，服务蛮好的', '短评打分': 5}
{'短评内容': '卫生条件挺好的，房间里面打扫的很干净，硬件设施很齐全，服务比较到位，住宿环境特别好，下次还会住的', '短评打分': 5}
{'短评内容': '装修的很有特色，交通出行比较便利，房间装修的很有新鲜感，价格也很公道', '短评打分': 5}
{'短评内容': '位置不错，出行蛮方便的，服务还可以吧，服务员随叫随到，比较及时，房间设施齐全，网速较快，卫生条件很好，住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店感觉挺好的，价格合适，房间装修的不错，灯光很柔和，住着很温馨', '短评打分': 5}
{'短评内容': '距离旅游景点蛮近的，周边有乐山大佛，房间配备的设施比较全，服务态度一般，性价比较高', '短评打分': 3}
{'短评内容': '住过两次了，房间卫生条件很好，打扫的蛮干净的，这里的服务态度不错，服务员都很尽职尽责，卫生间洗澡水很热，随时可以洗，住宿条件不错', '短评打分': 5}
{'短评内容': '房间布置的很温馨，主要以白色调为主，很适合年轻人，酒店距离中心广场较近，出行很方便，服务蛮到位的', '短评打分': 5}
{'短评内容': '酒店离乐山图书馆不是很远，出行比较方便，房间以暖色调为主，住着很温馨，这里的服务很到位，办事效率很高，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '性价比很高的酒店，位置好，就在市中心，出行方便，房间卫生很好，服务到位，舒适度不错', '短评打分': 5}
