{'短评内容': '房间不大，地理位置方便', '短评打分': 2}
{'短评内容': '整体感觉一般吧，毕竟不是后面的大酒店，差别还是蛮大的，不过早餐在大酒店，还不错！', '短评打分': 4}
{'短评内容': '早餐品类较多，不错。酒店位于市中心，出行、购物方便，卫生环境不错，淋浴设施条件不错，提供24小时都有热水。不足之处房间略显小。', '短评打分': 5}
{'短评内容': '早餐不错，离江心屿很近，打车起步价。去五马街也不远，溜达溜达就去了。有收费停车场。出门不远就是九山公园，早晨出去拍了几张照片。推荐一下。', '短评打分': 4}
{'短评内容': '还可以！！', '短评打分': 4}
{'短评内容': '很好，不错！', '短评打分': 5}
{'短评内容': '好，早餐很好', '短评打分': 5}
{'短评内容': '不能网上直接付费比较头疼，希望可以直接网上付费，快速入住', '短评打分': 5}
{'短评内容': '早餐借主楼的东风，很丰盛。房间无线不太灵光老是掉线，只好用流量了。周围小吃店不少，蛮方便。房间偏小，但在同类地段性价比还可以', '短评打分': 5}
{'短评内容': '无线很差  这电视机也不多提了   不过床很舒服    提供的早餐也很好  看个人要求吧  有好有坏', '短评打分': 4}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店在闹市区，早餐很不错。', '短评打分': 5}
{'短评内容': '整体环境不错，特别是早餐很不错。', '短评打分': 5}
{'短评内容': '房间不错，早饭也很好，，总体还是不错的、', '短评打分': 5}
{'短评内容': '房间挺好，环境也不错，早餐也挺好，如果有机会，下次还回来住的。', '短评打分': 5}
{'短评内容': '环境不错，早餐也很好、、有机会下次还还来住的。', '短评打分': 5}
{'短评内容': '房间还行，早餐不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '早餐正如网友所说的，不错。属于性价比比较高的。', '短评打分': 5}
{'短评内容': '早餐、午餐、晚餐都不错，房间还算干净，就是标间有点吵', '短评打分': 5}
{'短评内容': '房间还不错，周围交通也便利，早餐比想象中好，吃的挺满意', '短评打分': 5}
{'短评内容': '不错，在温州能找到这样的酒店。性价比比较高，看网上好评率就同类酒店相比最高，就选定这家了，看网上都说他们家的早餐很好吃，果然没让人失望。房间设施都挺好，单人间有点小，下次再去玩就和朋友去住住三人间。', '短评打分': 5}
{'短评内容': '已到达酒店成功入住三人房，交通方便，火车票代售点也非常近就在就门口右转处，很满意', '短评打分': 3}
{'短评内容': '房间设施不能算特别好 隔音插 倒干净整洁但对于背包客来说市一个不错的选择 推荐的另外一个理由就是他们的早餐 在酒店得母公司二楼 早餐的价值对得起这个放假 再次推荐', '短评打分': 5}
{'短评内容': "很好给朋友开的'", '短评打分': 3}
{'短评内容': '交通便利，价格实惠，早餐丰盛，每次都住这', '短评打分': 5}
{'短评内容': '早餐正的太正点了，住他们家就图这个早餐，其他还真没啥亮点，服务员态度可亲！！\n\n退房时间是在12点，不好！伤不起伤不起！\n\n房间总体过得去！推荐，记得吃他们家早餐！！', '短评打分': 5}
{'短评内容': '早餐不错，推荐！中午的自助餐也不错！下次入住', '短评打分': 5}
{'短评内容': '很一般的环境,设施太简单,隔音不是很好,床品很脏很脏', '短评打分': 1}
{'短评内容': '位置不错，早餐丰盛，每次出差都住这，习惯了', '短评打分': 5}
{'短评内容': '给同事定的房间,同事觉得出行方便,早餐不错', '短评打分': 5}
{'短评内容': '老顾客了，一直都住，还不错…', '短评打分': 3}
{'短评内容': '性价比还可以，就是卫生间设施差点，早餐还不错！', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 3}
{'短评内容': '刚刚已评论过了，是一家性价比极高的酒店，提一点建议就是洗手间能否加一个整体浴室，因为洗过澡后里面全是水，下次还去入住', '短评打分': 5}
{'短评内容': '经常住这家酒店，除了这次热水小了些，其他都很不错。有些评价说这不好那不好的，其实实这家酒家服务还是不错的，必竟是四星级酒店的下属经济酒店，特别是免费的早餐是同四星级顺生酒店是完全相同的，非常好，下次来温州还会住这里，当然如果喜欢在繁华位置的人选 这里有一点点偏了，但温州是个特别小的城市，顺生之星的公交特别方便，公交站名就叫：西站，给其它客人说一下。总之睡价比非常高', '短评打分': 5}
{'短评内容': '酒店整体环境不错，就是酒店的大堂不明显和顺生大酒店有区分，对客人有不尊重的感觉。', '短评打分': 5}
{'短评内容': '舒适，早餐不错，以后还会在住，推荐大家尝试', '短评打分': 5}
{'短评内容': '早餐真的很好，房间也比较不错，性价比高。唯一的缺点就是刚刚装修过，油漆味浓。', '短评打分': 5}
{'短评内容': '每次都住这，价格便宜，早餐丰盛，性价比高', '短评打分': 5}
{'短评内容': '交通便利，价格实惠，早餐丰盛，每次来都住', '短评打分': 5}
{'短评内容': '交通便利，价格实惠，早餐丰盛，每次来都住', '短评打分': 5}
{'短评内容': '早餐不错..蛮丰富的！住在靠路的一边，晚上比较吵；对于睡眠质量较差的人而言，是比较痛苦的；位置还可以吧..', '短评打分': 5}
{'短评内容': '还可以,自助餐不错', '短评打分': 3}
{'短评内容': '本人经人介绍入住此酒店。坏境一般，停车不便，还要付费，早餐非常丰富，空调很响，晚上很吵，让人睡不着觉！希望能有所改善，以后会经常入住此酒店，希望能没有后顾之忧！', '短评打分': 5}
{'短评内容': '住的一般，早餐还行', '短评打分': 3}
{'短评内容': '已经是第二次入住了，一如既往的好感觉。只是临街的房间晚上有点不够安静，如果睡眠质量不好的人住起来就不舒服了。', '短评打分': 5}
{'短评内容': ' 设施比较陈旧，蚊子很多，', '短评打分': 3}
{'短评内容': '房间不大，但是交通方便，早餐不错。早餐厅在顺生大酒店楼下，有无线上网，服务也不错。', '短评打分': 5}
{'短评内容': '交通便利，但卫生间比较小，热水不稳定，一会冷一会热，可能是用的人多，水压不稳定', '短评打分': 5}
{'短评内容': '性价比高，交通方便，旁边就是旅游集散中心', '短评打分': 5}
{'短评内容': '每次出差都住这，性价比高，早餐是去旁边顺生大酒店吃，很丰盛', '短评打分': 5}
{'短评内容': '房间还不错，挺干净的', '短评打分': 3}
{'短评内容': '酒店前台服务较差，房间内淋浴的水太小，卫生间较小，蚊子也较多。\n\n不过早餐不错。', '短评打分': 5}
{'短评内容': '酒店还可以,以后到温州还会住这儿.就是空调很旧了声音狠大的.', '短评打分': 5}
{'短评内容': '酒店还可以,早餐也很好的.停车有点不方便,要停地下车库还要停车费5元.酒店的空调旧了声音很响.', '短评打分': 5}
{'短评内容': '每次都住这，交通比较方便，旁边就是旅游集散中心，旅游挺适合。热水不太稳定，一会冷一会热，可能是水压不稳，用的人多就忽然冷。客服打算卫生的小姑娘太热情了，每天都强烈要求给我们换床单，表扬', '短评打分': 5}
{'短评内容': '就在顺生大酒店旁边，自助早餐很丰盛，但大床房只有一个早餐，买一份30元，标间有2个早餐，但标间贵30元，所以一个道理', '短评打分': 5}
{'短评内容': '位置很好，赠送早餐也比较值，虽然那早餐体现不出4星级酒店的档次。\n可怕的是顺生之星，作为附属楼，质量太差了。晚上睡觉，突然床板猛摇，还以为地震了，仔细听，不知道是不是隔壁房间还是楼下房间的人在做功课，那强度，以后要拆这楼，不用装炸弹，叫50人同时摇床就好了。', '短评打分': 1}
{'短评内容': '温州市中心，交通方便房型丰富，设施齐备，性价比较高，适合商旅入住', '短评打分': 5}
{'短评内容': '环境挺好,房间宽敞干净,交通方便,每次出差都住这里', '短评打分': 5}
{'短评内容': '不错性价比很高', '短评打分': 3}
{'短评内容': '还不错吧，性价比好，交通也算方便，下次还会考虑来这儿住的', '短评打分': 5}
{'短评内容': '早餐不错，房间小了点，不过价格便宜，早餐非常好', '短评打分': 5}
{'短评内容': '再次入住。老顾客了，不错', '短评打分': 3}
{'短评内容': '温州市中心，四星级，房型丰富，设施齐备，性价比较高，适合商旅入住。', '短评打分': 5}
{'短评内容': '早餐超值', '短评打分': 3}
{'短评内容': '酒店的设备很旧，但是交通很方便。早餐也不错', '短评打分': 5}
{'短评内容': '服务员素质差别很大，前台女服务员态度很好，晚上的男服务员态度极差，要床被子还被他训，其实我们也是为宾馆节能，没开空调。。。', '短评打分': 3}
{'短评内容': '位置方便，附近吃东西也可以，放假很合理，每次来都住这边', '短评打分': 3}
{'短评内容': '非常方便，早餐丰盛', '短评打分': 3}
{'短评内容': '房间小，设施一般，但干净整洁。在四星级的顺生大酒店里吃自助早餐，很丰盛。地理住置优越，住于商业繁华的大马路上，餐馆、便利店、美', '短评打分': 3}
{'短评内容': '早餐算好的吧，不过房间空调噪音实在太大，晚上根本不能睡，', '短评打分': 5}
{'短评内容': '早餐很不错,地理位置也很好,就是停车要收费,很不合理.', '短评打分': 5}
{'短评内容': '早餐实在是太棒了，可以说是这几年出差以来最好的早餐，太舒心了，另外定的时候显示房间无窗，实际入住的时候有窗，感觉小赚了把，哈哈', '短评打分': 5}
{'短评内容': '早餐其实是在顺生大酒店的自助餐厅吃的，真的是让人记忆深刻，干净优雅的环境。自助餐，中式、西式，各种面包、咖啡、豆浆、牛奶、果汁、水果色拉，培根、鸡排、水蒸蛋、面条、馄饨、油条等等等等，真的是琳琅满目。本人还定制了两个单面煎的煎蛋，那种嫩嫩的感觉好棒。我住的是大床房，158一晚，房间整体感觉很干净，空间也挺大的，床软硬适中，让我感觉很舒服。不过空调感觉不是很好，灯光不是很亮。卫生间没有别人说的那么小', '短评打分': 5}
{'短评内容': '早餐不错，房间一般，不过与这个价位还相匹配的。', '短评打分': 5}
{'短评内容': 'Small rooms, but nice breakfast!', '短评打分': 5}
{'短评内容': 'Good value for money!', '短评打分': 5}
{'短评内容': '房间挺大的。就是洗手间太小了。早餐不错。', '短评打分': 5}
{'短评内容': '比预想的差了点，不过，早餐还不错。下雨天气不好，', '短评打分': 5}
{'短评内容': '房间又旧又脏，空调都是坏的，除了早餐是亮点，其他一无是处。', '短评打分': 5}
{'短评内容': '交通比较方便，卫生也很好，早餐也很好，服务也好。但是空调打不暖，床也比较硬。', '短评打分': 5}
{'短评内容': '总的来说还不错！性价比还可以，房费里面含了一顿自助早餐。房间干净，清爽，就是夜里比较吵，房间里的空调像拖拉机，声音很大，这个不太好，早餐还是不错的。只是太不人性化，孩子穿了鞋子正好1.2米，硬是要收30元早餐费。有点死相的。而且说一句，温州的吧台、餐厅服务员态度都不怎么样，爱理不理，跟我们常州的服务比比差远了。不习惯。', '短评打分': 5}
{'短评内容': ' 早餐不错，房间装修有些旧。空调声音重。', '短评打分': 3}
{'短评内容': '酒店很老，卫生条件一般，反正很一般！', '短评打分': 3}
{'短评内容': '离闹市区近，早餐好，房间舒适，价格适中~交通方便', '短评打分': 5}
{'短评内容': '地理位置很好，在市中心，早餐也不错，就是停车要收费，不能理解。', '短评打分': 5}
{'短评内容': '一般，不过早餐很不错，价格也是比较划算的。', '短评打分': 5}
{'短评内容': '外商住了感觉还满意,由其是有免费早餐自助。', '短评打分': 5}
{'短评内容': '环境很好，早餐自助超好', '短评打分': 3}
{'短评内容': '环境好，离商业区近，早餐自助超好', '短评打分': 3}
{'短评内容': '酒店设施一般，早餐很不错，其实价格也还可以，一般消费还是值得的。', '短评打分': 5}
{'短评内容': '卫生情况不是很好，发现2只小蟑螂，单人房面积小了一点，早餐很丰富！', '短评打分': 5}
{'短评内容': '房间不怎么样，就很一般，不过早餐相当不错，很丰盛。', '短评打分': 5}
{'短评内容': '这一次住的还不错！房间在2楼，整体感觉价格合理！房间比较整洁！唯一有点不满意的是空调声音较大！', '短评打分': 5}
{'短评内容': '装饰有点陈旧，墙壁油漆有所脱落，离市中心也不是很近。但是价格相对比较便宜，在接受范围内，免费送早餐一份。', '短评打分': 1}
{'短评内容': ' 这次来住了单人间,感觉室内环境都可以,综合对比还符合性格比,就是晚上睡觉外面有点吵!   早饭还是一样很给力的!', '短评打分': 3}
{'短评内容': '-不怎么样。设施差,旧,不灵光。', '短评打分': 3}
{'短评内容': '单人房有点小，不过还是挺好的。送的早餐很好，总体来说很值的。', '短评打分': 5}
{'短评内容': '酒店一般，定了2间标间.到了才给我留了一间，不得只能再要了一个单人间.', '短评打分': 3}
{'短评内容': '在管理上面还是有点缺陷，这个纯属个人意见。有个别服务员态度比较恶劣，但是只有领导来赔礼道歉，当事人不亲自去跟客人道歉。其她几个还可以的。', '短评打分': 1}
{'短评内容': '这家酒店其它一般，不过真的早餐很棒的，价格也是还可以的，很实惠。', '短评打分': 5}
{'短评内容': '房间条件比较旧，隔音不好，房间也比较小，总是有股说不出的味道，唯一一点就是早餐还比较丰富', '短评打分': 1}
{'短评内容': '房间一般，自助餐是不错啦，这样的酒店吃这样的早餐，感觉很好', '短评打分': 5}
{'短评内容': '第二次入住了，感觉还可以，比较实惠，早餐也不错', '短评打分': 5}
{'短评内容': '新装修了门面，环境还不错\n就是早上，楼下的店铺开的比较早，影响休息。', '短评打分': 5}
