{'短评内容': '垃圾的一B，绝对不要住这', '短评打分': 2}
{'短评内容': '很不錯的酒店', '短评打分': 5}
{'短评内容': '还不错，附近热闹吃饭方便，去机场也方便。', '短评打分': 5}
{'短评内容': '我一直觉得这个格林不错，哈哈', '短评打分': 5}
{'短评内容': '早餐不包，不知道能不能加床，位置还可以，有用车场，是否适合孩子这个问题太傻，没法回答', '短评打分': 5}
{'短评内容': '京东多快好省', '短评打分': 5}
{'短评内容': '离浦东机场远，做早上的航班不方便，地铁最早的6:18分，', '短评打分': 5}
{'短评内容': '经济，实惠，干净，整齐，温馨', '短评打分': 4}
{'短评内容': '携程订的140.只能开票118.谁赚走了，扯蛋！', '短评打分': 1}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '环境还可以，就是离地铁有点路', '短评打分': 4}
{'短评内容': '超级偏僻，从浦东机场到酒店至少四五十元……', '短评打分': 1}
{'短评内容': '环境可以服务态度好', '短评打分': 5}
{'短评内容': '住宿简单方便，周边歺饮购物方便', '短评打分': 3}
{'短评内容': '多次入住，经济实惠', '短评打分': 5}
{'短评内容': '位置不错，', '短评打分': 4}
{'短评内容': '服务很热情，而且很干净', '短评打分': 3}
{'短评内容': '为便于第二天赶飞机订的。离地铁较近。方便干净。', '短评打分': 5}
{'短评内容': '我订的是998风暴房，很划算也很舒服，房间打扫的也很干净，离川沙地铁站挺近的（步行大概12分钟左右），赶早班飞机的话挺方便的，6：15川沙往浦东机场方向的首班地铁，6：35到浦东机场，特别推荐！', '短评打分': 5}
{'短评内容': '房间很干净 就是离地铁走路15分钟路程 其他都挺好的', '短评打分': 5}
{'短评内容': '开玩笑，998房有18平？哪个房间有这个大小啊？', '短评打分': 5}
{'短评内容': '房间很干净，也很安静，服务周到度在提高些更好，比如川沙介绍，周围饮食，出租叫车等！', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': '房间超级棒，床大还干净，服务态度也特好，价格还便宜！！！', '短评打分': 3}
{'短评内容': '昨天从沈阳回来，到浦东机场都7点多了，所以找个提前预定了格林豪泰，又住了一次，再赞一个', '短评打分': 5}
{'短评内容': '离浦东机场挺近的，吃饭也方便，房间设施也不错，可以', '短评打分': 5}
