{'短评内容': '房间挺大的，也很干净，就是装修比较旧，住着还可以吧', '短评打分': 4}
{'短评内容': '迎宾楼房间小，床小，设施陈旧，晚上灯光特别暗，强烈建议酒店换亮点的日光灯，优点是被子和床还算干净', '短评打分': 4}
{'短评内容': '挺好的 安静 特别适合居住 早餐样式多 很好吃 特别喜欢。                       ', '短评打分': 5}
{'短评内容': '价格还可以，环境太差', '短评打分': 3}
{'短评内容': '卫生没法说了，卫生间很大异味，排风扇还坏了，空调正吹着床，怎么调风向也没用，总体感觉还不如村里弄的小旅馆呢', '短评打分': 1}
{'短评内容': '承德县老牌酒店，不指第一次住了。酒店服务很好，周边购物等业很方便就是迎宾楼的设施比较老，但是这个价格还是可以的，希望能重装一下那样竞争力会更强！', '短评打分': 4}
{'短评内容': '热水不怎么热', '短评打分': 4}
{'短评内容': '酒店很好，迎宾楼有点老旧，但是这个价钱也是超值的', '短评打分': 5}
{'短评内容': '硬件设施很差，', '短评打分': 2}
{'短评内容': '非常差', '短评打分': 2}
{'短评内容': '招待所的配置，我只能说呵呵。你懂的。', '短评打分': 3}
{'短评内容': '干净卫生，价格便宜，服务热情。', '短评打分': 5}
{'短评内容': '设施比较老，不过住了几次感觉还不错', '短评打分': 5}
{'短评内容': '这是同事每年出野外必住的酒店，今年推荐给我们，感觉还可以，因为是一个小地方，有这样一个酒店也不错。老师和学生都还满意。', '短评打分': 4}
{'短评内容': '贵宾楼的房间还算是可以的，服务和其他方面还行。', '短评打分': 3}
{'短评内容': '不错，挺好，设备陈酒店', '短评打分': 5}
{'短评内容': '非常满意，住的是三人间，属于小型套间的样式，有三个屋子，一张大床外加两张小床（分别在两个屋子），有一个客厅，共三台空调，六张沙发，极其适合一家三口旅游时居住，失去承德旅游的不二选择吧，但是设备略显陈旧，不过运转均正常。早餐真的可以撑死人的，丰盛加自助，想吃不饱都难。', '短评打分': 5}
{'短评内容': '  还不错，服务周到挺干净的，就是迎宾楼设施老了点', '短评打分': 3}
{'短评内容': '停车场足够大，房间不大，比较干净。', '短评打分': 3}
{'短评内容': '酒店服务很好，三人房间非常合适，一个大床两个小床很适合有小孩的一家三口住，房间干净设备齐全。', '短评打分': 5}
{'短评内容': '不错的国营宾馆，适合自驾游，停车场超大、安全，距离避暑山庄高速半小时车程，15元路费。早餐相当丰富，自助管够。只是房间的设备较陈旧（迎宾楼）。', '短评打分': 5}
