{'短评内容': '很脏，价格太贵，不划算，服务态度一般!', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '前台工作人员不太友好，好像是单位宾馆。比较牛X。还没入住就要求10点前退房，住不住随便你。', '短评打分': 4}
{'短评内容': '房间干净、无味，夜间睡觉很安静！', '短评打分': 3}
{'短评内容': '服务非常差，酒店管理存在很大问题。', '短评打分': 3}
{'短评内容': '宾馆前中的服务都有待改善', '短评打分': 3}
{'短评内容': '比较简陋，早餐没以前好吃了！！', '短评打分': 4}
{'短评内容': '位置还不错，旁边不远处有连锁的“菜肴故事”和“家常菜”。房间比较干净，服务一般。', '短评打分': 5}
{'短评内容': '服务，房间设施都很一般，不值这个价钱。下次不会再去。', '短评打分': 1}
{'短评内容': '性价比不错 到景区也很近，服务也算周到。', '短评打分': 5}
{'短评内容': '酒店不错,价廉物美', '短评打分': 3}
{'短评内容': '设施很差，卫生与服务态度也不好，就是离八一广场很近，性价比很低', '短评打分': 1}
{'短评内容': '位置还可以，可是周围的环境不好。晚上也马路的汽车声音太吵了...', '短评打分': 1}
{'短评内容': '隔音效果不好，晚上很吵，没办法休息，设施很差，就是位置方便点', '短评打分': 1}
{'短评内容': '位置在市中心很方便，就是价格有点贵，价格如果能在优惠些，还是值得推荐的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '如果价格再低点就很好了!', '短评打分': 5}
{'短评内容': '地理位置处于市中心,出门吃饭很方便.酒店设施较陈旧,房间较小,没有中央空调,性价比一般,由于不需要信用卡担保,适合午夜到达的客人预订入住一晚.', '短评打分': 3}
{'短评内容': '挺一般', '短评打分': 3}
{'短评内容': '地理位置真的很棒，就是环境不是特别好，我住的是特价房，客房里的空间有点狭窄，设备也感觉比较陈旧，有点像小旅店。', '短评打分': 3}
{'短评内容': '比较普通,性价比不高,软件硬件都比较一般.服务员挺热情.最大的优点是离广场近,走过去5分钟.', '短评打分': 3}
