{'短评内容': '服务很好，但是房间里烟味太重。', '短评打分': 4}
{'短评内容': '前台小何小顾人超好，房间很干净，还有小礼品，住的很开心，下次来再住这里', '短评打分': 5}
{'短评内容': '位置好、早餐好、性价比很好', '短评打分': 5}
{'短评内容': '服务很好，第一次来入住，提前打电话问我房间要求，房间有水果，前台服务很到位赞', '短评打分': 5}
{'短评内容': '张家港住的最舒服的酒店 温度也可以调节 尤其服务态度特别好', '短评打分': 5}
{'短评内容': '安静整洁', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '位置好！环境不错！价格小贵！', '短评打分': 5}
{'短评内容': '每次来张家港都住这里，距离步行街不远。 虽然在十字路口处，但是房间很安静，内部绿化做的很棒。200-300区间内，住这里还是不错的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '安静，卫生，服务好', '短评打分': 5}
{'短评内容': '服务一流，给我们免费做了升级。孩子在早餐时出了鼻血，马上有几位服务员过来关心，并且提上毛巾和纸巾，非常贴心。下次一定还来', '短评打分': 5}
{'短评内容': '还不错，交通方便。', '短评打分': 4}
{'短评内容': '不错~', '短评打分': 5}
{'短评内容': '设施太老旧，还不如连锁快捷酒店。这个价钱，常规的三星都可以住上。住过后，真心不推荐。', '短评打分': 2}
{'短评内容': '酒店的位置比较安静，房间设施感觉还不错，挺干净的。早餐品种多而丰富，选择的多样化，总体概况还不错，值得推荐大家入住。', '短评打分': 5}
{'短评内容': '设施有点旧，床也不宽，实在是一般。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常好', '短评打分': 3}
{'短评内容': '酒店安排的房间，是东楼，电梯出来后手上门牌号吗大于走廊上门排指示号码的范围。感觉是个违章建筑。环境非常一般，出来安静一点，没有值得提的地方。有点不值308元的价格', '短评打分': 1}
{'短评内容': '原张家港巿政府的指定接待酒店，设施和服务自然没得说，下次再去张家港还住这里、', '短评打分': 3}
{'短评内容': '总体满意，不错！', '短评打分': 3}
{'短评内容': '算在市中心，但性价比一般\n不含早餐\n\n设施略显旧了', '短评打分': 1}
{'短评内容': '干静，陈旧，贵而服务一班，弄脏浴巾竟收50元清洗费，买条新的也不用呀，还是古式又小又薄旧的发黄！\n\n国内海外，住店过百，十几年第一次开眼，要不是公差肯定找经理投诉。', '短评打分': 1}
{'短评内容': '服务不错，卫生间很满意，冲淋房和浴缸分开设置。', '短评打分': 5}
{'短评内容': '环境很好，暖气也足！交通方便 挺好的！！！', '短评打分': 5}
{'短评内容': '酒店就在市中心，干净，闹中取静，值得推荐。', '短评打分': 5}
{'短评内容': '着实让人无语的酒店，纠结，还好只是一晚。。。。', '短评打分': 1}
{'短评内容': '住着比较踏实，卫生也不错！软件最好是能够提高点', '短评打分': 5}
{'短评内容': '名义上的四星酒店，实际不过三星标准，是因为不在主楼么，感觉档次较低。不过服务还算可以，换了一次房间，还挺爽快。', '短评打分': 3}
{'短评内容': '房间不错，比较干净', '短评打分': 3}
{'短评内容': '酒店不错，位置较好，但是早餐一般。价格不是很便宜，而且不能使用消费券。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间比较老旧了，设施也一般。性价比不高。\n网络还不通，但服务还行。', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，设施也还行，性价比高 \n', '短评打分': 5}
