{'descr': '服务太差了，卧槽', 'star': 5}
{'descr': '服务态度很好', 'star': 0}
{'descr': '此酒店环境不好，卫生条件差，设施陈旧，洗漱用品不好，实为一个个体小旅馆，不知携程也介绍这样的小旅馆，大跌眼镜。', 'star': 2}
{'descr': '很好 适合常住 家一样的感觉 舒适 干净 到景点很方便', 'star': 5}
{'descr': '他这里说是酒店式，可是到了那里服务什么的太不好了，', 'star': 1}
{'descr': '老板娘人很好，叔叔阿姨也不错，环境嘛！??，不过还算不错！', 'star': 4}
{'descr': '环境不错，下次还来', 'star': 5}
{'descr': '房间挺不错的，干净整洁！电视、冰箱、空调、洗衣机一应俱全！还可以上网哦！还可以做饭！很贴心的服务，感觉像家一样的！很适合短租的人！在西站附近，坐车很方便哦！', 'star': 5}
{'descr': '原本以为在西站附近会比较吵，但是没想到挺安静的。房间也很干净，空调，洗衣机，冰箱，电视机一应俱全！最重要的是，可以做饭哦！很适合短住的客户，老板也很热情！', 'star': 5}
{'descr': '预订后到了前台告知没有房间，说是忘了关掉预定系统了。不过老板娘还不错吧，给带到对面的一个快捷酒店安排入住。只是对面的酒店条件太差，卫生间灯是坏的，跟前台说了，前台回复说是有玻璃窗门，开房间灯里面是能看见的。早上起来洗澡也没有热水。总之这是一次不愉快的入住经历。', 'star': 5}
{'descr': '    酒店住了，环境真得很好，交通也很方便，房间很有家的感觉，该有的都有，还有洗衣机，冰箱等～住得很满意～', 'star': 3}
{'descr': '房间很大很宽敞也很温馨,设施很齐全还有冰箱和洗衣机呢.服务也很热情', 'star': 3}
{'descr': '不错的住宿，挺舒服，空间也够大，离汽车站近', 'star': 5}
{'descr': '蛮不错的，典型的公寓性质，房间很大，硬件设置比较一般，但相对于价格比较实惠了，蛮不错的， 适合短途居住，里面还可以做饭', 'star': 5}
{'descr': '东西很多，房间好大的，洗衣机，冰箱都有，这个没想到。可惜床会响，美中不足吧，总之还不错啦', 'star': 5}
{'descr': '不错 房间很大 施舍也全 关键老板娘的服务态度很好很到位 至于附近的交通很便利 值得住', 'star': 5}
{'descr': '酒店不错，大而卫生，而且酒店人员服务态度超好，满分！', 'star': 3}
{'descr': '房间功能齐全，宽敞舒适，除了靠马路稍微吵点外，其他都很满意！', 'star': 5}
{'descr': '服务挺好的，交通也比较方便。坐汽车到扬州西站的话，很方便，出站没多远就是。', 'star': 5}
{'descr': '很不错的酒店', 'star': 3}
{'descr': '老板娘人很好，很热心，不过冰箱自己洗了才能用.', 'star': 5}
{'descr': '地方比较难找，七天酒店对面，房间很大，还不错', 'star': 3}
{'descr': '绝对值得入住的一家酒店，房间大的惊人，家居的一切东西都有，最想不到的居然还有冰箱洗衣机，还有灶台电磁灶这些东东，要是中短期旅游居住，绝对是一流的选择！洗漱用具很全，尤其是洗发水沐浴露都是大瓶装，比那小袋装的方便多了。\n楼下那间远大面馆吃的东西确实不错，很好吃。\n服务态度和质量也让人很满意，就是找门不大方便，呵呵，汽车西站向西走一百多米，丽晶都市公寓A座就是，注意一下大楼东侧有一个门进去上电梯就到。', 'star': 5}
{'descr': '房间超大。真的 而且很干净~~都是新的。。有冰箱 。洗衣机还有。。沙发。天。。。这个是我猪的最好的房间', 'star': 5}
