{'短评内容': '床很软很舒服自助餐很值', '短评打分': 5}
{'短评内容': '可以可以 附近有点嘈杂 交通方便', '短评打分': 1}
{'短评内容': '没住过这样的酒店，服务太垃圾，地下停车场保安说停满了停边上停车场，结果人家不认酒店停车券，停车费就付了30元！坑！在房间中没人敲门门被打开了，早上还在洗澡，居然认为我们退房又来开门，无语的酒店！永远不会再来住了！', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店环境还行，早餐也不错', '短评打分': 5}
{'短评内容': '很安静，适合休息，出差，游玩落脚好去处', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好，很好很好很好，非常好非常好非常好，好的不要不要的好的不要不要的好的不要不要的', '短评打分': 5}
{'短评内容': '第二次入住了，这次选的套房够大，很舒服。', '短评打分': 5}
{'短评内容': '还行，房间大也不是很大', '短评打分': 5}
{'短评内容': '性价比很好的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '退房比较慢。', '短评打分': 4}
{'短评内容': '价格实惠，对面就是市政府和法院，安全', '短评打分': 5}
{'短评内容': '入住那天居然遇到停电，在大堂等了半个多小时，还遇到个奥客，门口挡住路，让移一下都不肯，酒店人员沟通后还是一样，导致那天心情超级不好的。', '短评打分': 4}
{'短评内容': '不错的酒店，网络有些差', '短评打分': 3}
{'短评内容': '性价比较高，房间空间大，也比较整洁。就是空调风力档位3个都是一样的效果，都是强力风，吹得空气很干。', '短评打分': 5}
{'短评内容': '前台只有一个人在负责，退房太慢，晚上10点洗澡水都不热了。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还行，不错，下次可以住，凑字数', '短评打分': 4}
{'短评内容': '出差住挺好', '短评打分': 5}
{'短评内容': '还可以还可以还可以', '短评打分': 5}
{'短评内容': '房间很干净， 早餐一般了。\n地理位置也还好。\n', '短评打分': 5}
{'短评内容': '环境很不错，房间很大，住得很舒服，值得下次再住', '短评打分': 5}
{'短评内容': ' 房间很大，大床也很舒服。', '短评打分': 3}
{'短评内容': '酒店新的，蛮干净，硬件设施不错。软件服务也好，还有点心和水果送，赞！', '短评打分': 5}
{'短评内容': '8个人订了3个悦景大床和一个至尊欧景，说实话刚进至尊欧景确实有点失望，不过跟悦景大床比是好的多了~总的来说价格还是偏贵了~环境是不错，周边去吃饭或者去沃尔玛都很近，驾车的朋友会很方便。只是去的时候导航搜不到这个酒店，绕了一会路。', '短评打分': 5}
