{'descr': '还行吧，临时住一下，在旁边一栋楼办事的，也是替人定', 'star': 5}
{'descr': '离地铁站近，虽然很小，但性价比高', 'star': 5}
{'descr': '可惜没住进去，因为证件的原因', 'star': 5}
{'descr': '。。。。。。。。。。。。', 'star': 2}
{'descr': '房间很不错，交通超级方便', 'star': 5}
{'descr': '出差旅游好地方', 'star': 5}
{'descr': '很好 住了好几次', 'star': 5}
{'descr': '不错 价格实惠', 'star': 5}
{'descr': '隔音太差，晚上很吵，其它都一般', 'star': 3}
{'descr': '交通非常好，服务也不错', 'star': 5}
{'descr': '房间有点小，但是交通方便', 'star': 5}
{'descr': '电视没有台，不过区位非常好', 'star': 4}
{'descr': '好评', 'star': 5}
{'descr': '酒店和地铁四号线很近很近，周围吃的也很丰富', 'star': 5}
{'descr': '地段超级好，就在地铁站对面，就是房间小了点，也很干净', 'star': 5}
{'descr': '太差了 在线支付完了 到店里问我要押金 不然叫我退单 另外房间小的不能再小了 不干净 这次上当了', 'star': 1}
{'descr': '挺好的性价比不错啊', 'star': 5}
{'descr': '小了点，不过离地铁很近，吃饭购物很方便', 'star': 5}
{'descr': '交通便利，干净卫生。', 'star': 5}
{'descr': '卫生不错，房间比较干净', 'star': 5}
{'descr': '卫生不错，房间比较干净', 'star': 5}
{'descr': '卫生不错，房间比较干净', 'star': 5}
{'descr': '卫生不错，房间比较干净', 'star': 5}
{'descr': '除了交通方便外没什么性价比……', 'star': 1}
{'descr': '真心太差，不过也就这价格了，不建议优先选择', 'star': 2}
{'descr': '一般', 'star': 1}
{'descr': '好', 'star': 4}
{'descr': '住了几天～一般般', 'star': 3}
