{'短评内容': '早餐还可以', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '帮朋友定的，具体没去酒店，附近环境挺好的', '短评打分': 5}
{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '买的2晚 标准间，付了256块钱，之前说返77×2也就是154块钱。退房之后携程说我没用优惠券，不能返。投诉携程了，如果不回复，过两天我就把卸载这个APP了。杯子脏，隔音差（2.3点晚上被吵醒），第二天让去打扫房间，给我“哦”了一下，难道不应该打扫吗？马桶冲水也不想说了，不会再住。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店服务态度好！服务员人热情，有人一直将你送至房间，省去了自己找房间的痛苦，真心不错！而且价格也比较实惠。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '晚上跟老公临时找的睡觉地方，边上是KTV，特别吵，枕套都发黑了，特别脏。不敢脱衣服睡觉。', '短评打分': 3}
{'短评内容': '各方面都很好，但是！空调的声音实在太响乐，即使你不开，楼下空调的声音也能烦死你。而我又是个睡眠质量不太好的，所以就悲剧了。。。', '短评打分': 4}
{'短评内容': '房间设施比较陈旧，服务一般，无奈之选。', '短评打分': 3}
{'短评内容': '舒服，不贵', '短评打分': 5}
{'短评内容': '给朋友们订的，超值，有包月。', '短评打分': 3}
{'短评内容': '不错，床可以横着睡。。。', '短评打分': 3}
