{'短评内容': '帮朋友定的，说一般', '短评打分': 3}
{'短评内容': '一切都好，就是靠卫生间的那面墙墙纸发霉脱落，看上去有点恶心。建议局部装修或整改，不要因为这一点点欠缺影响这个酒店的环境。', '短评打分': 5}
{'短评内容': '住的挺舒服的也很干净', '短评打分': 5}
{'短评内容': '位置不错，出门很方便。 来之前已经知道一定是比较旧的酒店，所以特意订了行政套间，略好一些。 能看出以前还是不错的，但是过时了，陈旧了，老板也不乐意花钱去更新了。 从进门起，一切都是从节俭出发的，大厅不开灯的，前台只开两个小灯，电梯走道都不开灯的。 怀疑自己进了一家吸血鬼黑暗酒店，哈哈哈。 但行政套房还是不错的，除了靠窗的办公椅扶手上的皮被太阳晒化了粘一手之外，其他没什么不愉快。 哦，对了，客房服务', '短评打分': 4}
{'短评内容': '停车场小，前台黑灯瞎火，老旧得很。', '短评打分': 3}
{'短评内容': '无早餐，位置不错', '短评打分': 3}
{'短评内容': '一般般，还行', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般般一般般', '短评打分': 3}
{'短评内容': '和星级不符的酒店 幸好就一晚将就下了', '短评打分': 3}
{'短评内容': '性价比高，卫生需改进。', '短评打分': 4}
{'短评内容': '酒店在路边，很容易找到，性价比不错，服务态度也不错。', '短评打分': 3}
{'短评内容': '比较旧，没什么人气，大厅昏暗', '短评打分': 3}
{'短评内容': '酒店比较安静，值得拥有', '短评打分': 3}
{'短评内容': '携程越来越完蛋，这种房子，除了房间大点，啥也不是。', '短评打分': 3}
{'短评内容': '挺好的一个酒店，干净整洁，也比较安静，下次还会选择入住的。', '短评打分': 3}
