{'短评内容': '千万别去，去了绝对后悔', '短评打分': 2}
{'短评内容': '交通便利。', '短评打分': 2}
{'短评内容': '家庭公寓式的酒店，比较温馨，设施齐全，就是位子不是很好找', '短评打分': 5}
{'短评内容': '打着如家招牌的烂酒店，不是看到如家我都不会定！厕所一进去就臭的很，最多值100都委屈了，到处又烂又脏，停车一晚上42元，还300多一晚上了，水管响的很，蚊子又多！沙发用床单铺的，还是脏的，房间设施都不一样，沙发都不敢坐，感觉爆脏啊，从来都不评论的，一进去就到了贫民窟都不说，一进去感觉旅游的心都受影响了，携程必须投诉！！！水壶不关会一直响！带孩子千万不要住！', '短评打分': 2}
{'短评内容': '地理位置优越，交通便利临近回民街', '短评打分': 5}
{'短评内容': '真心不建议，以前住过同层的房子比这个好，这个房间里卫生间开灯的地方是坏的，卫生间超级臭，我来了才在收拾房子。被单上血迹，电视是个摆设，打开了一共三个台，还全是闪电，灯黑的我都不想说。哎，不开心。', '短评打分': 4}
{'短评内容': '别住', '短评打分': 1}
{'短评内容': '价格给力！！', '短评打分': 3}
{'短评内容': '服务态度好，好评', '短评打分': 5}
{'短评内容': '帮朋友定的！不错哈！离小寨几步路', '短评打分': 4}
{'短评内容': '哈哈哈！经常来住！老板人不错', '短评打分': 5}
{'短评内容': '环境差除外，国庆住房后，说是要退钱的，到现在没有退，真心不知道是不是受骗了！', '短评打分': 1}
{'短评内容': '房间太差', '短评打分': 1}
{'短评内容': '脏乱差，老板态度极差', '短评打分': 1}
{'短评内容': '绝对的烂，连小宾馆都不如，是住过最差的旅店，名字是误导，还如家公寓连锁，让人简直想骂人，从来没有听过住店还要电费自理，真是学习了。', '短评打分': 1}
{'短评内容': '环境不太好，周边还是挺繁华，到大雁塔两站路', '短评打分': 3}
{'短评内容': '酒店没有任何告知，正在洗澡时停电，电话问前台说14度电用完断电了！等半小时人才上来。另外：电梯要等10到15分钟很慢！建议不要入住', '短评打分': 3}
