{'descr': '特别差', 'star': 1}
{'descr': '价格合适，住的一般，勉强吧。', 'star': 3}
{'descr': '卫生弄得挺差。住两天只给了一回一次性洗漱用品。毛巾不敢用', 'star': 3}
{'descr': '有史以来住的最差的快捷酒店，根本就是旅店，枕套上脏死，难道不换床单被罩还是洗的就这水平？饮水机上的水像自来水，电视只有四个台，网根本用不了，淋浴洗手池居然都没凉水，找人修一调说好了，结果还能烫死人', 'star': 3}
{'descr': '环境挺好，跟如家差不多，就是无线不给力', 'star': 3}
{'descr': '一般吧，被子很旧了，其他还算干净', 'star': 3}
{'descr': '交通便利，很好', 'star': 5}
{'descr': '酒店交通方便 楼下有超市和小吃（那家兄弟面馆的茄子饭不错），但是酒店的房间有点小，但是100元也不错啦', 'star': 5}
{'descr': '总体挺不错的，挺便宜的了，床很大，临街确实有点吵', 'star': 3}
{'descr': '你要来这家的话 那就做好整晚不能睡的准备吧\n水泵声音 有节奏的能叫到过年= =\n前面说已经更新水泵系统\n假的了\n根本是无法改变\n这次住宿让我们对天津印象差极了\n极度扫兴！！！！！！！！！', 'star': 1}
{'descr': '这个价位已经很不错了，不能刷卡，位置有点偏。。。', 'star': 5}
{'descr': '性价比很高，比附近北站如家便宜多了，也比附近其他宾馆便宜', 'star': 5}
{'descr': '性价比挺高的，下回还订它，并且离河北客运站很近', 'star': 5}
{'descr': '很好很实惠，物有所值，，以后还会光临这家酒店。', 'star': 5}
{'descr': '感觉不错，物有所值', 'star': 3}
{'descr': '感觉不错，物有所值', 'star': 3}
{'descr': '酒店不错，很有情调…住的很舒服…下次还会光顾…', 'star': 3}
{'descr': '酒店不错，很有情调…住的很舒服…下次还会光顾…', 'star': 3}
{'descr': '同事出差临时过渡入住的，性价比也算不错了，以后出差会考虑继续合作。', 'star': 5}
{'descr': '同事出差临时过渡入住的，性价比也算不错了，以后出差会考虑继续合作。', 'star': 5}
{'descr': '主要是干净，其他设施还不错，毕竟这价格。', 'star': 3}
{'descr': '主要是干净，其他设施还不错，毕竟这价格。', 'star': 3}
{'descr': '酒店位置离办事地方很近，也挺干净的。', 'star': 3}
{'descr': '酒店位置离办事地方很近，也挺干净的。', 'star': 3}
{'descr': '环境很好！价格合理！', 'star': 3}
{'descr': '环境很好！价格合理！', 'star': 3}
{'descr': '环境不错！挺舒服的！推荐入住！', 'star': 3}
{'descr': '环境不错！挺舒服的！推荐入住！', 'star': 3}
{'descr': '一分钱一分货吗，性价比还可以，服务态度蛮好的，就是隔音效果不好', 'star': 5}
{'descr': '一分钱一分货吗，性价比还可以，服务态度蛮好的，就是隔音效果不好', 'star': 5}
{'descr': '很不错，经济实惠，物有所值，第一次入住感觉不错！', 'star': 5}
{'descr': '很不错，经济实惠，物有所值，第一次入住感觉不错！', 'star': 5}
{'descr': '房间还不错，床很大，很舒服。', 'star': 3}
{'descr': '房间还不错，床很大，很舒服。', 'star': 3}
{'descr': '离天津站 比较近 酒店就在路边 比较好找 环境挺好的 就是毛巾之类的消毒水味道太重 不敢用 由于挨着马路边 还是有噪音 但是睡眠质量好的就不用担心啦', 'star': 5}
{'descr': '离天津站 比较近 酒店就在路边 比较好找 环境挺好的 就是毛巾之类的消毒水味道太重 不敢用 由于挨着马路边 还是有噪音 但是睡眠质量好的就不用担心啦', 'star': 5}
{'descr': '不知道什么原因，给了一间没有窗户的房间！房间比较小！很一般的感觉，不过100元，还算值！', 'star': 3}
{'descr': '不知道什么原因，给了一间没有窗户的房间！房间比较小！很一般的感觉，不过100元，还算值！', 'star': 3}
{'descr': '还可以了。。', 'star': 3}
{'descr': '还可以了。。', 'star': 3}
{'descr': '价格合适，房屋很大，各种设施齐全，有半个家的感觉！值得入住！', 'star': 5}
{'descr': '价格合适，房屋很大，各种设施齐全，有半个家的感觉！值得入住！', 'star': 5}
{'descr': '总体还可以价廉物美，就是有点吵离公路比较近。', 'star': 3}
{'descr': '总体还可以价廉物美，就是有点吵离公路比较近。', 'star': 3}
{'descr': '服务态度好', 'star': 3}
{'descr': '服务态度好', 'star': 3}
{'descr': '房间比较整洁', 'star': 3}
{'descr': '房间比较整洁', 'star': 3}
{'descr': '环境不错，挺干净的，物有所值吧，总体来说还不错', 'star': 5}
{'descr': '环境不错，挺干净的，物有所值吧，总体来说还不错', 'star': 5}
{'descr': '酒店很好.很安静.热水很好很满意', 'star': 3}
{'descr': '酒店很好.很安静.热水很好很满意', 'star': 3}
{'descr': '很不错啊，，设施挺齐全，服务态度也很好，会再来的', 'star': 5}
{'descr': '很不错啊，，设施挺齐全，服务态度也很好，会再来的', 'star': 5}
{'descr': '性价比高，房间有点小，隔音的确是确是不行啊，仔细观察发现窗户边有个窟窿，两个房间相通。汗啊！！！！', 'star': 5}
{'descr': '性价比高，房间有点小，隔音的确是确是不行啊，仔细观察发现窗户边有个窟窿，两个房间相通。汗啊！！！！', 'star': 5}
{'descr': '一个电灯开关坏的 床很小 晚上睡着差点滚下来 电视信号很差 饮水机不能加热 让他换一个 说换不了 害我下雪天喝冷水 导致喉咙痛 出门在外喝冷水感冒 难受要死', 'star': 1}
{'descr': '一个电灯开关坏的 床很小 晚上睡着差点滚下来 电视信号很差 饮水机不能加热 让他换一个 说换不了 害我下雪天喝冷水 导致喉咙痛 出门在外喝冷水感冒 难受要死', 'star': 1}
{'descr': '第二次入住福祥酒店，印象很好。\n交通便利，周围超市商店饭店齐全，公交车也很多，出行便利。\n酒店设施齐全，服务态度好，而且最晚可以下午2点离店，十分方便房客。', 'star': 5}
{'descr': '第二次入住福祥酒店，印象很好。\n交通便利，周围超市商店饭店齐全，公交车也很多，出行便利。\n酒店设施齐全，服务态度好，而且最晚可以下午2点离店，十分方便房客。', 'star': 5}
{'descr': '第三次住了，这次上不了网，电视没信号，说是刮大风，妈呀，楼不会塌吧', 'star': 5}
{'descr': '第三次住了，这次上不了网，电视没信号，说是刮大风，妈呀，楼不会塌吧', 'star': 5}
{'descr': '还行吧 总体还可以  服务员态度很一般吧 还有就是电视信号很差很差的  看着看着就没了 ', 'star': 5}
{'descr': '还行吧 总体还可以  服务员态度很一般吧 还有就是电视信号很差很差的  看着看着就没了 ', 'star': 5}
{'descr': '不错，实惠。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，实惠。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '第二次入住了，不错，值得推荐。 上次住2楼，这次住5楼，暖气太给力了，热的流鼻血了。。。', 'star': 5}
{'descr': '第二次入住了，不错，值得推荐。 上次住2楼，这次住5楼，暖气太给力了，热的流鼻血了。。。', 'star': 5}
{'descr': '环境还不错，服务员的态度还算可以。价位也算是适中！', 'star': 5}
{'descr': '环境还不错，服务员的态度还算可以。价位也算是适中！', 'star': 5}
{'descr': '总体还可以，服务员太无也一般，环境也算可以', 'star': 5}
{'descr': '总体还可以，服务员太无也一般，环境也算可以', 'star': 5}
{'descr': '性价比挺高的，这个价格对得起这个位置和设施。  吹风机要押50元前台去租，大厅的地挺滑的，我穿的拖鞋就差点滑倒，要注意哦。。', 'star': 5}
{'descr': '性价比挺高的，这个价格对得起这个位置和设施。  吹风机要押50元前台去租，大厅的地挺滑的，我穿的拖鞋就差点滑倒，要注意哦。。', 'star': 5}
{'descr': '洗澡的水实在是太小了，隔音设备非常差，不知道是楼上还是隔壁的人说话感觉就在你耳边说话一样，周边吃东西也不是很方便，好像没什么超市，不过胜在价格便宜，床也蛮大的，出差在外的朋友可以考虑一下', 'star': 5}
{'descr': '洗澡的水实在是太小了，隔音设备非常差，不知道是楼上还是隔壁的人说话感觉就在你耳边说话一样，周边吃东西也不是很方便，好像没什么超市，不过胜在价格便宜，床也蛮大的，出差在外的朋友可以考虑一下', 'star': 5}
{'descr': '环境还不错，唯一不好的是住的房间里面的冲凉房的花洒坏了', 'star': 5}
{'descr': '环境还不错，唯一不好的是住的房间里面的冲凉房的花洒坏了', 'star': 5}
{'descr': '酒店卫生还可以，就是有点太小，标间的床太小了，交通还算方便。', 'star': 3}
{'descr': '酒店卫生还可以，就是有点太小，标间的床太小了，交通还算方便。', 'star': 3}
{'descr': '房间总体来说还行，热水，暖气都很好，对的起这个价格，唯一不足的就是后来结账时让服务员开张发票，服务员满脸的不高兴，肉了20多分钟才给开', 'star': 5}
{'descr': '房间总体来说还行，热水，暖气都很好，对的起这个价格，唯一不足的就是后来结账时让服务员开张发票，服务员满脸的不高兴，肉了20多分钟才给开', 'star': 5}
{'descr': '卫士情况不错，服务也可以。就是房间有点小，卫生间隔音差些。酒店周边正在拆迁，显得比较杂乱，冷清。', 'star': 5}
{'descr': '卫士情况不错，服务也可以。就是房间有点小，卫生间隔音差些。酒店周边正在拆迁，显得比较杂乱，冷清。', 'star': 5}
{'descr': '酒店环境不错，房间面积有点小，不过两个人很温馨', 'star': 5}
{'descr': '酒店环境不错，房间面积有点小，不过两个人很温馨', 'star': 5}
{'descr': '非常好，下次还会入住，很干净，给个好评！！！！\n', 'star': 5}
{'descr': '非常好，下次还会入住，很干净，给个好评！！！！\n', 'star': 5}
{'descr': '房间很舒适、布局非常好、设施很齐全。非常适合居住，向大家推荐！', 'star': 5}
{'descr': '房间很舒适、布局非常好、设施很齐全。非常适合居住，向大家推荐！', 'star': 5}
{'descr': '不错 信价比很高 住了3天 第2天半夜还有现场直播服务 隔壁的天津妹妹很放得开 声音大的像就在身边', 'star': 5}
{'descr': '不错 信价比很高 住了3天 第2天半夜还有现场直播服务 隔壁的天津妹妹很放得开 声音大的像就在身边', 'star': 5}
{'descr': '在天津还算可以！性价比高！就是床单不是很干净，', 'star': 3}
{'descr': '在天津还算可以！性价比高！就是床单不是很干净，', 'star': 3}
{'descr': '环境很好-老顾客了！', 'star': 3}
{'descr': '环境很好-老顾客了！', 'star': 3}
{'descr': '地点挺容易找的，价格也很合适，附近交通便利，有超市有饭店，整体条件还不错。但是，隔音效果太差了，我是去考试的，开房时特地说要安静点的房间，可是当晚被隔壁吵死了，而且酒店附近有KTV，晚上唱歌声音也隐约能听见，这让一心想安静的我很是难过。而且枕头不干净，床上还有头发。', 'star': 5}
