{'短评内容': '挺好的，交通便利，环境也很安静，离301.302都很近', '短评打分': 5}
{'短评内容': '位置很不错，也挺干净的，服务态度好，推荐！！', '短评打分': 5}
{'短评内容': '酒店位置很好，前台服务不错，也很干净', '短评打分': 5}
{'短评内容': '环境挺好，然后前台的服务特别好，也挺干净的，总之满意', '短评打分': 5}
{'短评内容': '设施很差，', '短评打分': 3}
{'短评内容': '服务非常好，房间也很干净。位置超级棒，在302医院检查身体，非常方便。', '短评打分': 5}
{'短评内容': '环境还可以！', '短评打分': 5}
{'短评内容': '环境还可以！', '短评打分': 5}
{'短评内容': '打车方便，但热水温度不太热', '短评打分': 5}
{'短评内容': '干净，开到最大水比拉尿还小，北京零下几度，水只是一点点温度，冬天敢冲冷水的可入住。门口在建楼。', '短评打分': 2}
{'短评内容': '特价房，门口建筑物装修，稍微有点吵，别的都不错！', '短评打分': 4}
{'短评内容': '非常好，房间干净，舒适。', '短评打分': 5}
{'短评内容': '房间卫生5星 前台服务5星 周边环境五星', '短评打分': 5}
{'短评内容': '地方真难找', '短评打分': 3}
{'短评内容': '环境还可以，性价比还可以，四环边上，这价位，值得推荐', '短评打分': 5}
{'短评内容': '还行呢，离医院近，不是第一次住了', '短评打分': 3}
{'短评内容': '挺好的离医院近第二次住了', '短评打分': 3}
{'短评内容': '酒店很一般，倒是挺干净的。', '短评打分': 3}
{'短评内容': '酒店环境不怎么样，不推荐。', '短评打分': 3}
{'短评内容': '该店距离解放军302医院非常近，在解放军302医院的北侧仅一道之隔，非常适合去解放军302医院看病的客人，从该店不行到解放军302 医院南门挂号大楼仅需要大约5分钟时间。', '短评打分': 5}
{'短评内容': '需要去302医院就医可以选这里，的确很近，方便就医。', '短评打分': 5}
{'短评内容': '不错，温馨！', '短评打分': 3}
{'短评内容': '主要考虑起早到302医院挂号，预订了这家酒店。条件虽然很一般，没有电梯，但价格不贵，性价比还是不错的。早餐很简单，但也很便宜，六元钱。要去302医院可考虑住这里。', '短评打分': 5}
{'短评内容': '还好 还好  还好  ， 位置不错 适合去302 医院看病的', '短评打分': 5}
{'短评内容': '房间太旧，比较小，电视也老，不象是商务酒店，没有边上的七天酒店干净。', '短评打分': 3}
{'短评内容': '  不错，环境还行', '短评打分': 3}
{'短评内容': '环境挺差 还耍不了银行卡', '短评打分': 3}
