{'短评内容': '房间很干净，空间也很大，就是大堂在装修，感觉很不好找前台', '短评打分': 5}
{'短评内容': '返60是咋回事儿？', '短评打分': 5}
{'短评内容': '返60是咋回事？', '短评打分': 5}
{'短评内容': '有停车场，交通方便', '短评打分': 5}
{'短评内容': '位置很好，很方便', '短评打分': 5}
{'短评内容': '服务不错，扩大宣传力度', '短评打分': 5}
{'短评内容': '不行，网络不行，房间一般，周围没有任何小吃', '短评打分': 5}
{'短评内容': '这家酒店确实不错，设施齐全，干净卫生，每次去郑州，都是住这家，特别不错，现在对面的路也修好了，很方便，也很好找，好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店就在省博物馆对面，旁边不远就是国贸360和丹尼斯商城。房间干净整洁，双层隔音玻璃，空调给力，前台服务很好！', '短评打分': 5}
{'短评内容': '挺好的，停车方便。                                           ', '短评打分': 5}
{'短评内容': '小单间，感觉暖气不太热，夜里有点儿冷。', '短评打分': 4}
{'短评内容': '很不错，很干净，推荐入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间挺大，也很干净', '短评打分': 5}
{'短评内容': '入住912房间 干净整洁 推荐入住', '短评打分': 5}
{'短评内容': '这家酒店挺干净的，住着还不错', '短评打分': 3}
{'短评内容': '断断续续上不去网，前台就一个人办入住和退房业务，等待时间久，某天夜里停电停水，糟糕', '短评打分': 1}
{'短评内容': '交通便利，就是说的房间有网线，却经常上不去网', '短评打分': 5}
{'短评内容': '交通便利，干净舒适。但是住了五天，早餐只有一天是有鸡蛋的，而且是那天9点多了才有。', '短评打分': 5}
{'短评内容': '还好吧，就是前台办业务就一个人，入住退房都非常慢', '短评打分': 5}
{'短评内容': '很好，环境好，价格公道，就是门不是特别隔音，早餐也是8点多一点就基本只剩主食了了。', '短评打分': 5}
{'短评内容': '安静，  交通便利，  早餐还可以，  很方便', '短评打分': 5}
{'短评内容': '农业路店住房环境不错，有院子，院内绿化很好，停车也方便', '短评打分': 3}
{'短评内容': '优点：1，酒店的环境还是可以用整洁卫生来形容的，\n      2，提供早餐，\n缺点：1，虚假宣传，图片上商务单间有电脑，实际上没有。\n(我是冲电脑去的结果大失所望)\n     2，卫生间隔墙是仿墙砖的塑料，背面是空的，得小心。', '短评打分': 5}
{'短评内容': ' 停车方便，客房空间宽敞，性价比高。', '短评打分': 3}
