{'短评内容': '还行吧。。。', '短评打分': 5}
{'短评内容': '蛮好的，值得一宿！', '短评打分': 5}
{'短评内容': '不错，价格也不贵，交通也方便，服务态度也不错，下次还来', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '只是房间有点小，其他还可以。', '短评打分': 4}
{'短评内容': '只是房间有点小。其他还可以。', '短评打分': 4}
{'短评内容': '性价比高，有需要下次再来', '短评打分': 5}
{'短评内容': '酒店地理位置好，距离地铁站近，交通方便，房间干净整洁，性价比高。', '短评打分': 5}
{'短评内容': '房间很宽敞，设施齐全，晚上到的很晚，但是入住很方便，好评！', '短评打分': 5}
{'短评内容': '很难找得到', '短评打分': 5}
{'短评内容': '很好，挺舒服的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以，第一次尝试京东上订酒店，是京东委托去哪儿订的', '短评打分': 5}
{'短评内容': '设施有点太简单了，房间够大，更显得很空！感觉7天这几年没有什么进步！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店环境不错，出行方便', '短评打分': 5}
{'短评内容': '还行，就是地方小，没有停车场', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净卫生，交通也方便！', '短评打分': 4}
