{'短评内容': '比较满意，硬件设施差', '短评打分': 3}
{'短评内容': '房间设施陈旧，墙上有渗水痕迹，房间看起来脏脏的', '短评打分': 3}
{'短评内容': '很有意思', '短评打分': 4}
{'短评内容': '位置真的不好找。找了近一个小时。厦门路号编码有问题，左边在23号路口，我徘徊了老半天，都找不到21号，往里走就是27号了，然后31号，右边又是3号-11号，对于这样的路号设置，实在是无语，问了很多人，都不知道21号在哪。。。终于，看到路边的一个荧光屏广告，写着再往里走80米再找到。 我服了厦门的政府，有这样排号的。', '短评打分': 4}
{'短评内容': '房间有点味道，设施比较齐全但晚上开在一起的咖啡吧要吵闹到12点多，之后倒是很安静！早餐太晚，赶着考试没吃上就走了', '短评打分': 4}
{'短评内容': '不错哦。离厦门大学和南普陀寺都挺近的。酒店环境也还可以。服务态度不错。早餐还蛮好吃。', '短评打分': 5}
{'短评内容': '酒店很温馨，很不错。老板服务态度很好。', '短评打分': 3}
{'短评内容': ' 厦门悦雅居酒店挺难找，出租车司机都不知道。', '短评打分': 3}
{'短评内容': '住的306，比较梦幻，适合蜜月情侣。喜欢家庭旅馆的可以尝试，和星级酒店完全不同的感受。早餐的三明治做的不错。', '短评打分': 5}
{'短评内容': '环境清静，离厦大很近，挺方便的，性价比不高，房价有点贵。房价也没有想象中好，可能是旧了吧，屋外环境还是不错的。', '短评打分': 5}
{'短评内容': '离厦大和南普陀很近，环境和服务在家庭旅馆中还算不错。\n别致的院子和一旁的酒吧很有特色。\n不足的是房间有些小，地方也有些难找。', '短评打分': 5}
{'短评内容': '没有介绍里的好，一般', '短评打分': 4}
{'短评内容': '房间很有特色，楼下的酒吧也比较方便，位置在小山坡上。早餐简单，老板和服务员比较热情主动。', '短评打分': 5}
{'短评内容': '房间很好，很舒适，电视特别好，值得赞赏！\n服务态度不是特别好，早餐很贵而且很少，而且地方很难找。', '短评打分': 5}
{'短评内容': '区位：酒店位于南华路，地理位置很不错，公交坐着也方便，去厦大与南普陀寺也就步行5分钟的路程。\n设施：定的206风雅，一室一厅，满现代的装修风格，圆床，床正上的天花板还有片镜子，很好玩。但是格局有点点问题，厕所较小，门口正对床，排水不够好，而且打扫不算干净，防滑垫上有杂物，洗手池下柜子上有灰尘，不像完整打扫过。客厅的茶几上花的不行。估计房间就只换了被褥而已，不得不说是遗憾。\n服务：服务的小哥和小妹感', '短评打分': 5}
{'短评内容': '酒店服务员态度很差，下面吧台的服务很好，房间有异味，怎么沟通都补个换房，吊的要死，真的是没法沟通啊', '短评打分': 1}
{'短评内容': '酒店交通便利，房间小了点……', '短评打分': 3}
{'短评内容': '房间比较小', '短评打分': 3}
{'短评内容': '位置很好,也很温馨,有小院，晚上出来坐感觉不错，就是早餐太简单了，都是即食品，盒装的八宝粥也上了，如果早餐好好做一做就更好了', '短评打分': 5}
{'短评内容': ' 房间有点小', '短评打分': 3}
{'短评内容': '交通方便，步行就可到达厦门大学和南普陀寺。酒店环境优雅、温馨，店家的猫猫很可爱，朋友们很喜欢。', '短评打分': 5}
{'短评内容': '房间很干净有点潮，就是第二天没人搞卫生，没人整理房间，没人倒垃圾。地理位置不错，离厦大西村，南普陀不太远。', '短评打分': 5}
{'短评内容': '酒店交通很便利，靠近厦门大学，理工学院还有南普陀山，外出就餐几次都步行。酒店位于一条咖啡馆街，很舒服的感觉。酒店里面挺干净的，就是有点小，接待人员很耐心，楼下还有一个院子和咖啡吧台，不错不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间比较小所以卫生间干湿区没有分，要是中间拉个帘子就更好了，早餐要八点以后提供，早走的旅客就吃不到了。', '短评打分': 5}
{'短评内容': '非常满意，一定向朋友推荐！酒店就在国际青年旅馆的后面，距离厦大近。因为在巷子里的关系，非常安静，周围都是普通民居。这条巷子有几个著名的咖啡馆，很有格调，拍照效果好~出了南华路对面有个下坡楼梯，走下去有各种小店，美食也不少~可以去厦大对面的商业一条街逛逛，那里很繁华。酒店有个美丽的小院子，很惬意。内里设施齐全崭新，房间宽敞，床很软。整体感觉安全、舒适、方便。酒店的保安和清洁阿姨都很热情友好。不足之处', '短评打分': 5}
{'短评内容': '因为是预订的，飞机晚点凌晨2点到也收了当晚全额的房费，我们住了两晚，感觉有些贵，不过第一次住这种家庭式的旅馆，感觉很亲切，晚上在院子里荡秋千也蛮惬意的，早餐提供的松饼也特别好吃，不过只有一种选择，有些单一。这里闹中取静，离厦大和南普陀很近，出来散步也不错。一起去的朋友住的是和雅，日式比较有新意，卫生间也大，就是房间内走动空间比较小，一家三口有些挤。', '短评打分': 5}
{'短评内容': '该酒店不错，干净，地理位置不错，去难普沱，厦大，走15分就到，就是早点不会变化，价格偏贵。', '短评打分': 3}
{'短评内容': '距离厦门大学和鼓浪屿很近，还是挺方便的。', '短评打分': 5}
{'短评内容': '一共只有十几间房吧，收拾的还算干净清爽。有阳光的日子里，在院子晒晒太阳也很舒服。距离厦大很近。唯一缺点就是早饭没的选择只有一种。', '短评打分': 5}
{'短评内容': '在理工学院下车后往厦大方向走50米就看到南华路口，往路口里走100米左右就到酒店了。酒店很安静，离厦大、南普陀都可步行前往，5分钟就到，方便。到轮渡、中山路、曾厝垵、胡里山炮台都有公交车。喜欢酒店的布局，小花园、餐厅和早餐都比较别致，进楼刷卡，比较安全。房间大小合适，比较实用，只是卫生间如果干湿分区明显一点就更好了。我住的那间沁雅马桶有点坏了，希望老板能尽快维护一下。总体来说，还是比较满意的。', '短评打分': 5}
{'短评内容': '南华路咖啡一条街上,位置还可以,早餐也不错,就是太晚了,我们出去玩基本上是赶不上的,另外,有两条南华路,一个单号,一个双号,店家没有提醒,所以跑了冤枉路', '短评打分': 5}
{'短评内容': '位置不错，第二天房间免费升级到套房，很温馨很舒服。', '短评打分': 5}
